,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,29634,23775,26681,26862,24913,25256,27394,24109,21060,14586,-,-,-,-,-,-,-
1,Market Cap Growth,-5.87%,-5.87%,-2.60%,11.42%,18.30%,73.16%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,25886,20027,22908,22850,20875,21218,23389,19849,20223,13749,-,-,-,-,-,-,-
3,Last Close Price,37.63,30.19,33.88,34.11,31.34,31.77,34.46,30.33,26.34,18.24,-,-,-,-,-,-,-
4,PE Ratio,58.80,47.18,49.75,45.83,41.72,44.85,53.08,54.75,59.08,43.74,-,-,-,-,-,-,-
5,Forward PE,45.34,34.37,34.32,35.31,34.74,36.69,43.90,42.86,41.14,-,-,-,-,-,-,-,-
6,PS Ratio,5.44,4.37,5.04,5.23,4.98,5.22,5.86,5.36,4.84,3.39,-,-,-,-,-,-,-
7,PB Ratio,5.52,4.43,4.97,5.10,4.62,4.80,5.37,4.87,4.25,3.00,-,-,-,-,-,-,-
8,P/TBV Ratio,4.62,4.62,5.19,5.33,4.82,5.01,5.63,5.11,4.46,3.15,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,675.82,-,141.02,125.65,-,-,36.61,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,47.47,37.10,-,26.04,27.30,28.29,25.98,19.83,-,-,-,-,-,-,-
11,EV/Sales Ratio,4.76,3.68,4.33,4.45,4.18,4.38,5.00,4.41,4.65,3.19,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,43.68,33.78,44.92,40.62,38.40,39.35,49.70,52.94,62.36,47.52,-,-,-,-,-,-,-
13,EV/EBIT Ratio,48.00,37.13,50.20,44.71,42.34,43.24,55.15,59.30,70.64,53.36,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,574.89,-,118.47,107.28,-,-,34.51,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.07,0.07,0.07,0.07,0.07,0.07,0.11,0.11,0.09,0.11,-,0.28,0.31,0.31,0.07,0.07,0.07
16,Debt / EBITDA Ratio,0.60,0.43,0.75,0.52,0.82,0.58,0.79,0.87,1.04,1.43,-,1.09,1.43,0.76,0.16,0.17,0.17
17,Debt / FCF Ratio,-,-,-,8.98,-,2.11,2.49,-,-,1.32,-,-3.04,-,-,0.58,0.74,1.49
18,Asset Turnover,-,0.68,0.68,0.61,0.67,0.65,0.66,0.60,-,-,-,-,-,-,1.30,-,
19,Inventory Turnover,-,-,4.38,4.25,4.07,5.04,4.90,4.98,4.51,-,-,-,-,-,-,2.64,-
20,Quick Ratio,-,-,2.33,2.38,2.64,2.35,2.62,2.74,3.17,2.99,-,1.18,-,0.97,-,0.89,0.89
21,Current Ratio,-,-,2.70,2.76,3.03,2.70,2.95,3.07,3.54,3.36,-,1.70,-,1.48,-,1.47,1.47
22,Return on Equity (ROE),9.63%,7.00%,11.73%,9.40%,12.46%,11.38%,13.53%,7.43%,-,-,22.45%,19.36%,46.04%,36.63%,35.12%,-,
23,Return on Assets (ROA),-,3.25%,4.43%,3.16%,3.42%,5.30%,4.23%,3.48%,-,-,-,-,-,-,8.34%,-,
24,Return on Capital (ROIC),8.36%,4.62%,6.19%,4.47%,4.80%,7.16%,5.64%,4.61%,-,-,9.66%,9.63%,18.02%,24.81%,21.23%,-,
25,Return on Capital Employed (ROCE),-,-,7.65%,8.74%,8.27%,8.42%,7.56%,6.13%,5.28%,4.83%,-,19.67%,-,26.33%,-,16.82%,8.41%
26,Earnings Yield,1.70%,2.12%,2.01%,2.18%,2.40%,2.23%,1.88%,1.83%,1.69%,2.29%,-,-,-,-,-,-,-
27,FCF Yield,-,0.00%,0.15%,-0.10%,0.71%,0.80%,1.06%,1.93%,2.73%,-,-,-,-,-,-,-,
28,Dividend Yield,0.93%,-,-,-,-,1.12%,-,-,-,1.17%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,3.13%,181.74%,2.34%,2.50%,2.82%,102.93%,3.78%,2.35%,5.59%,3.75%,4.86%,0.82%,-,0.32%,0.32%
30,Buyback Yield / Dilution,0.09%,-3.84%,2.18%,0.35%,0.05%,-20.34%,-26.66%,-25.57%,-25.28%,-2.53%,-,2.63%,-1.08%,-,-,-,-
31,Total Shareholder Return,1.02%,-3.84%,2.18%,0.35%,0.05%,-19.22%,-26.66%,-25.57%,-25.28%,-1.35%,-,2.63%,-1.08%,-,-,-,-
