,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,1479,1396,1330,1237,1308,1235,1195,1079,1130,1071,1030,1035,1121,1080,999.03,999.03
1,Other Revenue,-,-16.94,16.94,-,23.49,-11.24,11.24,-,39.19,-25.7,25.7,-,39.3,-8.25,4.12,4.12
2,Revenue,1479,1379,1347,1237,1332,1224,1206,1079,1169,1046,1056,1035,1160,1072,1003,1003
3,Revenue Growth (YoY),11.09%,12.70%,11.64%,14.61%,13.87%,17.02%,14.19%,4.27%,0.80%,-2.41%,5.29%,3.18%,-,-,-,-
4,Cost of Revenue,-2263,797.98,757.03,708.45,792.13,677.24,672.04,635.37,762.57,647.9,684.15,673.87,2756,-1311,655.48,655.48
5,Gross Profit,3743,581.24,589.49,528.45,539.44,546.53,534.04,443.81,406.82,397.83,372.02,361.14,-1596,2383,347.67,347.67
6,"Selling, General & Admin",-753.64,290.05,237.6,225.99,237.21,227.37,220.69,173.52,196.54,179.78,161.39,152.43,590.93,-272.69,136.35,136.35
7,Research & Development,-618.75,197.36,213.91,207.47,184.91,177.94,206.53,160.92,160.76,156.22,147.85,137.77,490.28,-232.35,116.17,116.17
8,Other Operating Expenses,4926,-13.88,-3.72,-6.16,6.57,-18.23,-15.14,7.83,5.44,-8.39,-9.68,-3.02,-2793,2768,-8.53,-8.53
9,Operating Expenses,3551,476.3,448.39,426.5,431.05,386.91,411,344.17,365.04,327.55,297.46,290.13,-1706,2262,244.46,244.46
10,Operating Income,191.34,104.94,141.1,101.95,108.39,159.62,123.04,99.64,41.77,70.28,74.57,71.01,110.27,120.63,103.21,103.21
11,Interest Expense,-82.67,-3.09,-0.38,-0.38,-1.46,-1.8,-1.92,-2.25,-2.79,-3.24,-3.18,-3.95,-3.92,-11.16,-0.65,-0.65
12,Interest & Investment Income,3.85,9.19,19.47,54.01,16.84,17.41,16.7,19.62,9.84,9.39,11.12,4.48,24.58,1.31,5.58,5.58
13,Currency Exchange Gain (Loss),-,-0.57,0.57,-,15.6,-20.46,20.46,-,20.5,-0.75,0.75,-,-17.01,4.41,-2.2,-2.2
14,Other Non Operating Income (Expenses),12.3,-2.01,-1.53,-8.71,-12.21,2.59,-1.62,-4.82,-12.95,5.6,3.91,-9.57,-10.16,6.01,-2.88,-2.88
15,EBT Excluding Unusual Items,124.82,108.47,159.22,146.87,127.16,157.37,156.65,112.2,56.37,81.28,87.17,61.98,103.75,121.19,103.05,103.05
16,Gain (Loss) on Sale of Investments,0.31,-0.28,-0.03,-,-,-,-,-,-,-,-,-,-0.74,0.74,-0.37,-0.37
17,Gain (Loss) on Sale of Assets,-0.07,-0.03,0.1,-,0.5,0.45,-0.26,-,-,0.17,-0.19,-,0.02,-,-,-
18,Asset Writedown,2.85,-2.85,-1.13,1.13,-0.77,-4.06,-0.21,0.21,11.77,-12.13,1.74,-1.74,-0.03,0.01,-0,-0
19,Other Unusual Items,-0.18,-6.59,6.69,0.08,19.22,-0.69,0.12,-0.12,45.03,-,-,-,56.33,-4.17,2.08,2.08
20,Pretax Income,127.73,98.72,164.85,148.08,146.11,153.06,156.3,112.29,113.17,69.32,88.72,60.24,159.33,117.77,104.76,104.76
21,Income Tax Expense,-1.42,5.6,8.45,22.83,-15.36,10.09,-11.22,21.12,-1.26,2.08,5.1,-7.95,12.72,13.53,4.83,4.83
22,Net Income,129.15,93.12,156.4,125.25,161.47,142.97,167.52,91.17,114.43,67.24,83.63,68.19,146.61,104.24,99.93,99.93
23,Net Income to Common,129.15,93.12,156.4,125.25,161.47,142.97,167.52,91.17,114.43,67.24,83.63,68.19,146.61,104.24,99.93,99.93
24,Net Income Growth,-20.02%,-34.87%,-6.64%,37.38%,41.11%,112.63%,100.32%,33.70%,-21.95%,-35.49%,-16.32%,-31.76%,-,-,-,-
25,Shares Outstanding (Basic),807,778,767,797,777,795,770,798,646,628,613,637,630,-,630,630
26,Shares Outstanding (Diluted),807,778,767,797,777,795,770,798,646,628,613,637,630,-,630,630
27,Shares Change (YoY),3.84%,-2.18%,-0.35%,-0.05%,20.34%,26.66%,25.57%,25.28%,2.53%,-,-2.63%,1.08%,-,-,-,-
28,EPS (Basic),0.16,0.12,0.20,0.16,0.21,0.18,0.22,0.11,0.18,0.11,0.14,0.11,0.23,-,0.16,0.16
29,EPS (Diluted),0.16,0.12,0.20,0.16,0.21,0.18,0.22,0.11,0.18,0.11,0.14,0.11,0.23,-,0.16,0.16
30,EPS Growth,-22.98%,-33.42%,-6.31%,37.45%,17.26%,67.88%,59.53%,6.72%,-23.87%,-,-14.06%,-32.49%,-,-,-,-
31,Free Cash Flow,-,-19.11,27.06,-264.85,257.15,20.39,-37.1,-61.34,296.07,56.72,115.16,-69.5,-221.13,29.04,51.91,51.91
32,Free Cash Flow Per Share,-,-0.02,0.04,-0.33,0.33,0.03,-0.05,-0.08,0.46,0.09,0.19,-0.11,-0.35,-,0.08,0.08
33,Dividend Per Share,-,-,-,-,0.357,-,-,-,0.214,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-,66.64%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,253.01%,42.14%,43.78%,42.72%,40.51%,44.66%,44.28%,41.12%,34.79%,38.04%,35.22%,34.89%,-137.58%,222.34%,34.66%,34.66%
36,Operating Margin,12.93%,7.61%,10.48%,8.24%,8.14%,13.04%,10.20%,9.23%,3.57%,6.72%,7.06%,6.86%,9.51%,11.26%,10.29%,10.29%
37,Profit Margin,8.73%,6.75%,11.62%,10.13%,12.13%,11.68%,13.89%,8.45%,9.79%,6.43%,7.92%,6.59%,12.64%,9.73%,9.96%,9.96%
38,Free Cash Flow Margin,-,-1.39%,2.01%,-21.41%,19.31%,1.67%,-3.08%,-5.68%,25.32%,5.42%,10.90%,-6.72%,-19.06%,2.71%,5.17%,5.17%
39,EBITDA,204.65,118.26,154.73,115.27,121.71,170.87,135.76,110.9,53.03,75.21,85.17,75.94,115.19,124.16,106.74,106.74
40,EBITDA Margin,13.83%,8.57%,11.49%,9.32%,9.14%,13.96%,11.26%,10.28%,4.53%,7.19%,8.06%,7.34%,9.93%,11.59%,10.64%,10.64%
41,D&A For EBITDA,13.31,13.31,13.63,13.31,13.31,11.26,12.72,11.26,11.26,4.92,10.6,4.92,4.92,3.53,3.53,3.53
42,EBIT,191.34,104.94,141.1,101.95,108.39,159.62,123.04,99.64,41.77,70.28,74.57,71.01,110.27,120.63,103.21,103.21
43,EBIT Margin,12.93%,7.61%,10.48%,8.24%,8.14%,13.04%,10.20%,9.23%,3.57%,6.72%,7.06%,6.86%,9.51%,11.26%,10.29%,10.29%
44,Effective Tax Rate,-,5.67%,5.12%,15.42%,-,6.59%,-,18.81%,-,3.00%,5.75%,-,7.99%,11.49%,4.61%,4.61%
45,Revenue as Reported,-,1379,1347,1237,1332,1224,1206,1079,1169,1046,1056,1035,-,-,-,-
