,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,4101,4129,4389,4656,4581,4551,4721,4806,-,1282,-,1232,-,1101,1101
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.4,1.4
2,Cash & Short-Term Investments,4101,4101,4129,4389,4656,4581,4551,4721,4806,-,1282,1232,1232,1102,1102,1102
3,Cash Growth,-11.92%,-10.48%,-9.27%,-7.02%,-3.13%,-,255.00%,283.15%,290.10%,-,16.28%,11.76%,-,-,-,-
4,Accounts Receivable,-,988.11,923.35,805.58,887.55,784.77,756.52,722.64,718.8,-,656.72,-,767.98,-,551.63,551.63
5,Other Receivables,-,14.57,21.5,18.11,27.85,12.64,14.57,14.19,10.37,-,7.29,-,9.25,-,6.54,6.54
6,Receivables,-,1003,951.57,832.84,924.08,806.6,779.01,736.82,738.11,-,664.01,-,785.46,-,564.94,564.94
7,Inventory,-,731.69,726.84,698.5,694.77,563.57,541.66,537.37,590.35,-,791.68,-,1021,-,991.84,991.84
8,Other Current Assets,-,97.55,73.79,73.13,109.51,101.73,99.2,86.16,80.89,-,75.11,-,35.57,-,84.34,84.34
9,Total Current Assets,-,5933,5881,5994,6384,6053,5971,6081,6216,-,2813,-,3074,-,2744,2744
10,"Property, Plant & Equipment",-,1851,1727,1569,1425,1250,1082,700.34,605.87,-,420.44,-,337.02,-,275.63,275.63
