,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,2135,1999,2293,1610,1467,1517,1066,1248,1086,1263,Upgrade
1,Short-Term Investments,1336,-,1412,-,1407,-,491.2,-,1571,-,Upgrade
2,Trading Asset Securities,-,0.79,-,1.84,-,2.36,-,2.19,-,2.01,Upgrade
3,Cash & Short-Term Investments,3471,2000,3705,1611,2874,1520,1557,1250,2657,1265,Upgrade
4,Cash Growth,-6.32%,24.09%,28.93%,6.05%,84.55%,21.54%,-41.39%,-1.16%,31.31%,-26.74%,Upgrade
5,Accounts Receivable,3734,2388,5806,12490,2849,3509,4459,3722,2759,3355,Upgrade
6,Other Receivables,11821,32.97,23.37,13.09,28.9,14.98,21.67,15.1,15.26,13.75,Upgrade
7,Receivables,15555,2421,5830,12503,2878,3524,4481,3737,2775,3369,Upgrade
8,Inventory,2553,2985,2691,3234,3251,2584,2791,3094,2329,2913,Upgrade
9,Prepaid Expenses,-,9947,10205,10311,9139,9249,8123,6765,5943,5501,Upgrade
10,Other Current Assets,661.35,1770,616.07,2179,1108,523.2,891.29,2054,484.26,2726,Upgrade
11,Total Current Assets,22240,19122,23048,29838,19250,17400,17844,16901,14188,15773,Upgrade
12,"Property, Plant & Equipment",5215,5550,5599,5750,6153,6503,6707,7058,6766,7242,Upgrade
13,Long-Term Investments,471.81,462.18,572.75,612.61,664.29,690.39,663.63,653.27,635.44,634.29,Upgrade
14,Other Intangible Assets,116.9,134.02,146.5,159.58,168.03,184.35,198,212.91,216.17,292.65,Upgrade
15,Long-Term Deferred Tax Assets,57.17,60.38,48.26,57.17,37.14,38.93,33.6,35.46,21.6,25.08,Upgrade
16,Other Long-Term Assets,103.34,109.2,76.06,87.13,143.71,118.31,171.81,52.65,45.65,52.1,Upgrade
17,Total Assets,28205,25438,29490,36504,26416,24935,25618,24916,21873,24021,Upgrade
18,Accounts Payable,14139,11598,16232,22075,12243,10633,1453,9114,1174,6938,Upgrade
19,Short-Term Debt,3989,4081,2971,4136,3482,3694,4159,4263,3849,5158,Upgrade
20,Current Portion of Long-Term Debt,839.46,127,441.52,128.8,130.77,856.15,975.64,1021,89.51,674.99,Upgrade
21,Current Portion of Leases,245.06,289.88,274.3,299.31,364.77,363.15,338.79,374.47,334.5,373.17,Upgrade
22,Current Income Taxes Payable,78.6,64.94,84.11,63.5,84.05,86.01,67.83,41.22,56.63,68.8,Upgrade
23,Current Unearned Revenue,60.66,58.49,69.2,173.76,164.25,178.67,166.66,254.12,98.84,120.13,Upgrade
24,Other Current Liabilities,1082,497.35,467.91,646.01,703.95,389.9,9793,1147,7763,1465,Upgrade
25,Total Current Liabilities,20434,16718,20541,27523,17172,16201,16954,16215,13365,14798,Upgrade
26,Long-Term Debt,646.42,1445,1493,1555,1593,969.28,905.13,896.26,1088,1135,Upgrade
27,Long-Term Leases,1935,2060,2130,2155,2504,2671,2777,2932,2844,3057,Upgrade
28,Long-Term Deferred Tax Liabilities,234.87,249.04,241.58,249.39,248.82,263.94,271.55,284.67,276.52,289.5,Upgrade
29,Other Long-Term Liabilities,134,141.79,137.1,173.41,84.29,55.88,48.39,27.25,40.15,66.23,Upgrade
30,Total Liabilities,23412,20640,24560,31673,21618,20212,21006,20418,17667,19400,Upgrade
31,Common Stock,4731,4731,4731,4731,4731,4731,4731,4731,4731,4731,Upgrade
32,Retained Earnings,-1540,-1669,-1580,-1723,-1769,-1925,-1997,-2140,-2270,-2398,Upgrade
33,Comprehensive Income & Other,1489,1609,1599,1622,1635,1732,1738,1776,1629,1834,Upgrade
34,Total Common Equity,4681,4671,4750,4630,4597,4538,4473,4368,4091,4167,Upgrade
35,Minority Interest,111.82,126.88,180.23,201.2,201.57,185.45,138.6,130.71,114.81,454.11,Upgrade
36,Shareholders' Equity,4793,4798,4930,4831,4798,4723,4612,4498,4205,4621,Upgrade
37,Total Liabilities & Equity,28205,25438,29490,36504,26416,24935,25618,24916,21873,24021,Upgrade
38,Total Debt,7655,8003,7310,8274,8074,8554,9155,9487,8205,10398,Upgrade
39,Net Cash (Debt),-4184,-6003,-3605,-6662,-5200,-7034,-7598,-8237,-5548,-9133,Upgrade
40,Net Cash Per Share,-0.37,-,-0.32,-,-0.46,-0.62,-0.67,-,-0.49,-,Upgrade
41,Filing Date Shares Outstanding,11400,11400,11400,11400,11400,11400,11400,11400,11400,11400,Upgrade
42,Total Common Shares Outstanding,11400,11400,11400,11400,11400,11400,11400,11400,11400,11400,Upgrade
43,Working Capital,1807,2405,2507,2315,2077,1199,889.37,685.98,823.05,974.74,Upgrade
44,Book Value Per Share,0.25,0.25,0.26,0.25,0.24,0.24,0.23,0.22,0.20,0.21,Upgrade
45,Tangible Book Value,4564,4537,4603,4470,4429,4354,4275,4155,3874,3874,Upgrade
46,Tangible Book Value Per Share,0.24,0.24,0.24,0.23,0.23,0.22,0.22,0.20,0.18,0.18,Upgrade
47,Land,-,4100,-,4011,-,4032,-,3729,-,3836,Upgrade
48,Machinery,-,197.61,-,161.44,-,157.59,-,174.05,-,166.97,Upgrade
49,Construction In Progress,-,8.01,-,0.32,-,5.09,-,415.07,-,390.08,Upgrade
