,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,844,1140,684,684,958,844,923,1026,912,1505,1505,Upgrade
1,Market Cap Growth,66.67%,66.67%,-28.57%,-18.92%,3.70%,-17.78%,1.25%,-31.82%,-39.39%,0%,-4.35%,Upgrade
2,Enterprise Value,5139,7270,4469,6086,6359,8063,8660,9394,6575,11092,11123,Upgrade
3,Last Close Price,0.07,0.10,0.06,0.06,0.08,0.07,0.08,0.09,0.08,0.13,0.13,Upgrade
4,PE Ratio,172.49,9.43,-,5.07,-,4.18,4.42,7.64,-,-,-,Upgrade
5,Forward PE,-,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76,9.76,Upgrade
6,PS Ratio,0.02,0.06,-,0.04,-,0.02,0.02,0.04,-,0.08,-,Upgrade
7,PB Ratio,0.29,0.24,0.14,0.14,0.20,0.18,0.20,0.22,0.20,0.36,0.33,Upgrade
8,P/TBV Ratio,0.25,0.25,0.15,0.15,0.21,0.19,0.21,0.24,0.22,0.39,0.39,Upgrade
9,P/FCF Ratio,-,3.09,-,0.50,-,0.32,-7.82,-,-,0.76,-,Upgrade
10,P/OCF Ratio,-,2.85,-,0.49,-,0.32,-15.58,-,-,0.75,-,Upgrade
11,EV/Sales Ratio,0.12,0.36,-,0.38,-,0.16,0.16,0.36,-,0.63,-,Upgrade
12,EV/EBITDA Ratio,5.45,22.65,-,16.74,-,8.19,9.02,22.19,-,43.21,-,Upgrade
13,EV/EBIT Ratio,13.38,36.49,-,25.00,-,10.86,11.96,30.49,-,79.83,-,Upgrade
14,EV/FCF Ratio,-8.82,19.68,-,4.42,-,3.10,-73.34,-,-,5.58,-,Upgrade
15,Debt / Equity Ratio,1.60,1.60,1.67,1.48,1.71,1.68,1.81,1.99,2.11,1.95,2.25,Upgrade
16,Debt / FCF Ratio,-,20.72,-,5.31,-,3.10,-72.44,-,-,4.13,-,Upgrade
17,Return on Capital Employed (ROCE),4.40%,2.56%,-,2.72%,-,8.03%,8.29%,3.56%,-,1.63%,-,Upgrade
18,Earnings Yield,2.96%,10.60%,-,19.74%,-,23.91%,22.62%,13.08%,-,-6.32%,-,Upgrade
19,FCF Yield,-69.10%,32.41%,-,201.31%,-,308.48%,-12.79%,-102.73%,-,132.10%,-,Upgrade
