,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,196,217,286,322,424,573,1086,1444,1098,1623,2041,Upgrade
1,Market Cap Growth,-32.59%,-32.59%,-32.39%,-43.75%,-60.99%,-60.33%,-1.09%,-11.03%,-46.22%,-35.24%,-21.89%,Upgrade
2,Enterprise Value,34180,35029,34340,35724,36907,37685,35615,25210,24900,17728,16174,Upgrade
3,Last Close Price,0.16,0.18,0.24,0.27,0.35,0.48,0.91,1.21,0.87,1.29,1.51,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,4.14,-,4.58,Upgrade
5,Forward PE,-,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,7.46,Upgrade
6,PS Ratio,0.06,0.07,0.08,0.10,0.10,0.10,0.17,0.15,0.11,0.19,0.28,Upgrade
7,PB Ratio,0.15,0.08,0.08,0.07,0.08,0.07,0.12,0.14,0.12,0.25,0.21,Upgrade
8,P/FCF Ratio,6.22,-,-1.40,-,-,-0.68,-,-,-,-,-,Upgrade
9,P/OCF Ratio,1.03,1.03,-5.07,-,-,-0.84,-,-,-,-,-,Upgrade
10,PEG Ratio,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,Upgrade
11,EV/Sales Ratio,11.04,11.31,10.00,10.71,8.62,6.77,5.49,2.60,2.50,2.04,2.21,Upgrade
12,EV/EBITDA Ratio,84.21,98.34,38.32,26.14,25.95,39.66,30.91,9.24,9.50,8.58,7.42,Upgrade
13,EV/EBIT Ratio,-,-,-,73.06,71.77,252.26,-,12.61,12.79,12.35,9.98,Upgrade
14,EV/FCF Ratio,1086.53,-,-168.05,-,-,-44.77,-,-,-,-,-,Upgrade
15,Debt / Equity Ratio,12.27,12.27,8.99,7.20,6.72,4.20,3.78,3.09,3.63,3.06,2.54,Upgrade
16,Debt / FCF Ratio,1060.87,-,-167.31,-,-,-41.37,-,-,-,-,-,Upgrade
17,Return on Capital Employed (ROCE),-,-,-,1.31%,1.36%,0.59%,-,6.69%,4.84%,4.02%,4.94%,Upgrade
18,Earnings Yield,-680.28%,-613.00%,-264.70%,-241.55%,-254.29%,-210.31%,-100.42%,21.66%,36.86%,17.12%,28.39%,Upgrade
19,FCF Yield,16.08%,14.49%,-71.36%,-330.08%,-176.06%,-146.97%,-341.50%,-382.94%,-612.17%,-351.26%,-232.87%,Upgrade
20,Buyback Yield / Dilution,-,-,-,-,-,-0.00%,-,-,-,-,Upgrade,
21,Total Shareholder Return,-,-,-,-,-,-0.00%,-,-,-,-,Upgrade,
