,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,482,448,-,-,-
1,Enterprise Value,110,216,-,-,-
2,Last Close Price,3.01,2.58,-,-,-
3,PE Ratio,4.95,5.49,-,-,-
4,PS Ratio,0.54,0.67,-,-,-
5,PB Ratio,1.19,1.11,-,-,-
6,P/TBV Ratio,1.11,1.11,-,-,-
7,P/FCF Ratio,-,3.28,-,-,-
8,P/OCF Ratio,167.65,3.14,-,-,-
9,EV/Sales Ratio,0.16,0.32,-,-,-
10,EV/EBITDA Ratio,1.06,1.90,-,-,-
11,EV/EBIT Ratio,1.13,2.06,-,-,-
12,EV/FCF Ratio,-17.08,1.58,-,-,-
13,Debt / Equity Ratio,0.00,0.00,0.00,-,0.00
14,Debt / EBITDA Ratio,0.01,0.01,0.01,-,0.00
15,Debt / FCF Ratio,-,0.00,0.01,-,0.00
16,Asset Turnover,0.77,-,-,-,
17,Inventory Turnover,-,97.21,-,-,-
18,Quick Ratio,1.71,1.71,1.71,-,-
19,Current Ratio,1.76,1.76,1.76,-,-
20,Return on Equity (ROE),20.24%,-,-,-,
21,Return on Assets (ROA),7.69%,-,-,-,
22,Return on Capital (ROIC),16.46%,-,-,-,
23,Return on Capital Employed (ROCE),23.77%,25.90%,19.34%,-,-
24,Earnings Yield,15.76%,18.20%,-,-,-
25,FCF Yield,-1.34%,30.53%,-,-,-
26,Payout Ratio,0.00%,-,-,13.50%,13.50%
