,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,155.8,155.8,157.37,157.37
1,Cost of Revenue,112.47,112.47,118.24,118.24
2,Gross Profit,43.34,43.34,39.14,39.14
3,"Selling, General & Admin",16.96,16.96,11.9,11.9
4,Other Operating Expenses,-0.15,-0.15,-0.61,-0.61
5,Operating Expenses,18.53,18.53,14.97,14.97
6,Operating Income,24.81,24.81,24.16,24.16
7,Interest Expense,-0.01,-0.01,-0,-0
8,Interest & Investment Income,0.45,0.45,0.43,0.43
9,Earnings From Equity Investments,0.08,0.08,0.48,0.48
10,Currency Exchange Gain (Loss),0.13,0.13,-,-
11,EBT Excluding Unusual Items,25.47,25.47,25.07,25.07
12,Gain (Loss) on Sale of Assets,0,0,0,0
13,Pretax Income,25.47,25.47,25.07,25.07
14,Income Tax Expense,6.44,6.44,6.22,6.22
15,Earnings From Continuing Operations,19.03,19.03,18.85,18.85
16,Minority Interest in Earnings,0.06,0.06,-,-
17,Net Income,19.09,19.09,18.85,18.85
18,Net Income to Common,19.09,19.09,18.85,18.85
19,Shares Outstanding (Basic),130,130,120,120
20,Shares Outstanding (Diluted),130,130,120,120
21,EPS (Basic),0.15,0.15,0.16,0.16
22,EPS (Diluted),0.15,0.15,0.16,0.16
23,Free Cash Flow,13.51,13.51,50.14,50.14
24,Free Cash Flow Per Share,0.10,0.10,0.42,0.42
25,Gross Margin,27.82%,27.82%,24.87%,24.87%
26,Operating Margin,15.92%,15.92%,15.35%,15.35%
27,Profit Margin,12.25%,12.25%,11.98%,11.98%
28,Free Cash Flow Margin,8.67%,8.67%,31.86%,31.86%
29,EBITDA,26.51,26.51,26.38,26.38
30,EBITDA Margin,17.02%,17.02%,16.77%,16.77%
31,D&A For EBITDA,1.71,1.71,2.22,2.22
32,EBIT,24.81,24.81,24.16,24.16
33,EBIT Margin,15.92%,15.92%,15.35%,15.35%
34,Effective Tax Rate,25.29%,25.29%,24.80%,24.80%
