,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,13512,7045,6873,7861,9123,7566,7617,7265,5079,-,-,-
1,Market Cap Growth,-6.89%,-6.89%,-9.77%,8.20%,79.61%,-,-,-,-,-,-,-
2,Enterprise Value,12995,6438,6276,7291,8553,6927,7010,7278,5092,-,-,-
3,Last Close Price,39.93,20.82,20.23,23.14,26.85,22.27,22.34,21.31,14.90,-,-,-
4,PE Ratio,133.28,67.20,66.30,79.07,98.43,82.93,87.57,84.72,57.67,-,-,-
5,PS Ratio,19.14,9.84,10.38,12.50,15.10,12.47,12.78,11.91,8.14,-,-,-
6,PB Ratio,9.23,4.81,4.73,5.42,6.39,-,5.54,5.26,3.73,-,-,-
7,P/TBV Ratio,4.94,4.94,4.86,5.57,6.57,-,5.70,5.42,3.84,-,-,-
8,P/FCF Ratio,255.89,-,107.45,93.72,442.99,384.09,336.81,-,-815.02,-,-,-
9,P/OCF Ratio,47.03,46.67,46.99,49.00,66.42,51.46,50.91,54.53,35.12,-,-,-
10,EV/Sales Ratio,18.41,8.99,9.48,11.59,14.16,11.42,11.76,11.93,8.16,-,-,-
11,EV/EBITDA Ratio,86.83,46.33,48.29,55.51,70.08,49.64,58.15,59.66,40.85,-,-,-
12,EV/EBIT Ratio,151.58,73.58,77.21,87.33,-,71.29,89.79,88.55,59.24,-,-,-
13,EV/FCF Ratio,246.11,-,98.11,86.93,415.31,351.63,309.94,-,-817.00,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.01,0.01,0.00,-,0.05,0.06,0.07,0.07,0.21,0.13
15,Debt / EBITDA Ratio,0.29,0.19,0.06,0.06,0.11,-,0.45,0.66,0.85,0.85,1.00,0.60
16,Debt / FCF Ratio,0.81,-,0.13,0.11,0.33,-,2.74,-,-16.39,-5.40,-4.57,-
17,Asset Turnover,0.52,0.42,-,0.38,-,0.34,0.32,0.36,0.46,-,-,
18,Inventory Turnover,-,5.83,5.69,-,4.89,-,3.97,3.87,4.82,5.29,-,-
19,Quick Ratio,3.95,3.95,4.13,5.01,5.11,-,3.41,4.53,3.49,3.49,1.16,-
20,Current Ratio,4.77,4.77,4.61,5.63,5.70,-,3.87,5.21,3.94,3.94,1.61,-
21,Return on Equity (ROE),8.07%,7.09%,-,7.12%,-,6.23%,5.12%,7.04%,9.39%,12.26%,-,
22,Return on Assets (ROA),6.41%,2.60%,-,-0.23%,-,2.90%,3.07%,2.68%,3.37%,-,-,
23,Return on Capital (ROIC),7.41%,2.98%,-,-0.26%,-,3.38%,3.60%,3.19%,4.08%,7.67%,-,
24,Return on Capital Employed (ROCE),5.56%,5.68%,5.43%,5.57%,-,-,5.40%,5.47%,5.80%,4.54%,6.09%,-
25,Earnings Yield,0.75%,1.49%,1.51%,1.26%,1.02%,1.21%,1.14%,1.18%,1.73%,-,-,-
26,FCF Yield,0.39%,0.74%,0.93%,1.07%,0.23%,0.26%,0.30%,0.09%,-0.12%,-,-,-
27,Dividend Yield,0.20%,-,-,-,0.30%,-,-,-,-,-,-,-
28,Payout Ratio,26.99%,92.04%,-,-,1.17%,97.29%,3.88%,4.05%,5.01%,5.01%,6.33%,4.32%
29,Buyback Yield / Dilution,-6.71%,0.03%,-0.09%,0.02%,-33.41%,-33.47%,-33.11%,-33.40%,-,-,-,-
30,Total Shareholder Return,-6.52%,0.03%,-0.09%,0.02%,-33.11%,-33.47%,-33.11%,-33.40%,-,-,-,-
