,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Oct '22 Oct 1, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,318.63,344.71,289.65,393.2,-,622.49,603.46,754.3,754.3,132.13,-
1,Trading Asset Securities,240.72,270.98,316.53,199.16,-,79.03,86.2,-,-,-,-
2,Cash & Short-Term Investments,559.35,615.7,606.18,592.36,-,701.52,689.66,754.3,754.3,132.13,102.88
3,Cash Growth,-,-12.23%,-12.10%,-21.47%,-,430.92%,570.39%,-,-,-,-
4,Accounts Receivable,215.59,191.34,175.84,173.15,-,157.89,151.52,150.65,150.65,140.04,-
5,Other Receivables,1.67,1.66,1.16,1.24,-,1.05,1.21,1.24,1.24,1.26,-
6,Receivables,217.26,193,177,174.39,-,158.94,152.72,151.9,151.9,141.29,-
7,Inventory,96.7,80.57,75.48,82.46,-,94.15,93,85.4,85.4,70.07,-
8,Prepaid Expenses,-,-,-,1.63,-,-,-,2.5,2.5,-,-
9,Other Current Assets,64.78,13.89,21.39,4.81,-,21.64,34.71,29.94,29.94,35.79,-
10,Total Current Assets,938.1,903.15,880.05,855.65,-,976.25,970.09,1024,1024,379.3,-
11,"Property, Plant & Equipment",683.43,629.4,622.55,621.22,-,629.7,628.78,626.65,626.65,572.05,-
12,Long-Term Investments,24.89,77.05,67.07,66.76,-,-,-,-,-,-,-
13,Other Intangible Assets,38.6,38.79,39.18,39.68,-,39.98,39.57,39.99,39.99,39.77,-
14,Long-Term Deferred Tax Assets,8.39,6.16,5.66,5.96,-,10.71,12.25,11.71,11.71,8.62,-
15,Long-Term Deferred Charges,33.36,32.52,33.13,34.86,-,39.46,33.55,35.74,35.74,28.01,-
16,Other Long-Term Assets,10.97,6.83,7.72,1.23,-,2.79,4.23,2.82,2.82,4.95,-
17,Total Assets,1738,1694,1655,1625,-,1699,1688,1741,1741,1033,-
18,Accounts Payable,146.82,122.51,117.58,110.29,-,153.59,145.81,197.01,197.01,126.02,-
19,Accrued Expenses,25.79,36.09,19.1,28.52,-,25.78,15.86,25.32,25.32,30.55,-
20,Short-Term Debt,-,-,-,-,-,-,-,19.02,19.02,69.07,-
21,Current Portion of Long-Term Debt,-,-,2.98,-,-,36.64,11.13,6.3,6.3,-,-
22,Current Portion of Leases,5.85,4.46,-,3.42,-,4.44,-,4.9,4.9,4.59,-
23,Current Income Taxes Payable,10.91,3.84,11.39,6.22,-,3.45,8.82,5.37,5.37,4.8,-
24,Current Unearned Revenue,1.3,1.25,0.83,0.79,-,1.09,0.25,0.55,0.55,0.12,-
25,Other Current Liabilities,6.04,27.89,4.36,0.87,-,27.58,4.17,1.16,1.16,0.55,-
26,Total Current Liabilities,196.71,196.03,156.24,150.09,-,252.58,186.04,259.63,259.63,235.69,-
27,Long-Term Debt,34,-,-,-,-,15.37,64.99,65.17,65.17,63.14,-
28,Long-Term Leases,3.02,4,6.3,3.32,-,5.62,6.04,6.74,6.74,7.67,-
29,Long-Term Unearned Revenue,40.17,41.33,42,43.16,-,45.15,46.31,42.37,42.37,44.28,-
30,Long-Term Deferred Tax Liabilities,-,0,0,0.04,-,4.24,4.44,4.88,4.88,-,-
31,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,1.09,-
32,Total Liabilities,273.89,241.36,204.54,196.61,-,322.97,307.81,378.79,378.79,351.87,-
33,Common Stock,338.39,338.39,338.39,338.39,-,338.39,338.39,338.39,338.39,253.79,-
34,Additional Paid-In Capital,717.49,736.23,730.78,730.03,-,727.97,727.11,726.18,726.18,177.42,-
35,Retained Earnings,408.5,382.72,384.07,359.78,-,309.56,315.16,297.6,297.6,249.62,-
36,Comprehensive Income & Other,-0.55,-4.79,-2.43,0.56,-,-,-,-,-,-,-
37,Shareholders' Equity,1464,1453,1451,1429,-,1376,1381,1362,1362,680.83,639.98
38,Total Liabilities & Equity,1738,1694,1655,1625,-,1699,1688,1741,1741,1033,-
39,Total Debt,42.87,8.46,9.28,6.74,-,62.08,82.15,102.12,102.12,144.47,81.23
40,Net Cash (Debt),516.48,607.24,596.89,585.62,-,639.44,607.51,652.18,652.18,-12.34,21.65
41,Net Cash Growth,-,-5.04%,-1.75%,-10.21%,-,-,2706.55%,-,-,-,-
42,Net Cash Per Share,1.53,1.79,1.76,1.73,-,1.89,1.79,2.57,2.57,-0.05,0.09
43,Filing Date Shares Outstanding,338.39,338.39,338.39,338.39,338.56,338.39,338.39,338.39,338.39,253.79,253.74
44,Total Common Shares Outstanding,338.39,338.39,338.39,338.39,338.56,338.39,338.39,338.39,338.39,253.79,253.74
45,Working Capital,741.39,707.12,723.82,705.56,-,723.66,784.05,764.42,764.42,143.6,-
46,Book Value Per Share,4.33,4.29,4.29,4.22,-,4.07,4.08,4.03,4.03,2.68,2.52
47,Tangible Book Value,1425,1414,1412,1389,-,1336,1341,1322,1322,641.06,599.82
48,Tangible Book Value Per Share,4.21,4.18,4.17,4.10,-,3.95,3.96,3.91,3.91,2.53,2.36
49,Buildings,-,317.39,-,314.55,-,286.33,-,286.33,286.33,174.11,-
50,Machinery,-,425.24,-,21.2,-,375.79,-,19.21,19.21,279.67,-
51,Construction In Progress,-,93.18,-,84.36,-,121.45,-,110.15,110.15,225.51,-
