,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Revenue,155657,170530,177636,138832,151209,159075,201827,184347,220910,232172,235064,243214
1,Revenue Growth (YoY),2.94%,7.20%,-11.99%,-24.69%,-31.55%,-31.48%,-14.14%,-24.20%,-,-,-,-
2,Cost of Revenue,134565,150466,155925,122690,132689,142595,195778,178049,192207,204071,210986,215439
3,Gross Profit,21092,20064,21711,16142,18520,16480,6049,6298,28703,28102,24078,27776
4,"Selling, General & Admin",7232,7499,7576,5590,6430,6965,9313,8689,13809,14197,15923,15944
5,Operating Expenses,7232,7499,7576,5590,6430,6965,9313,8689,13809,14197,15923,15944
6,Operating Income,13860,12565,14135,10551,12090,9515,-3264,-2391,14894,13904,8155,11831
7,Interest Expense,-3866,-2934,-4266,-2859,-4264,-3783,-4326,-4466,-4991,-4280,-4122,-3849
8,Interest & Investment Income,923.15,804.6,383,339.6,587.83,870.45,1486,1408,2243,1760,1038,1450
9,Other Non Operating Income (Expenses),-6239,-5559,-7038,-3914,-2497,-11901,-1600,74.19,-2822,-2084,-2369,-1237
10,Pretax Income,4678,4876,3214,4118,5916,-5299,-7705,-5375,9324,9300,2701,8195
11,Earnings From Continuing Operations,4678,4876,3214,4118,5916,-5299,-7705,-5375,9324,9300,2701,8195
12,Minority Interest in Earnings,2185,2061,2798,1667,956,994.94,3349,2807,1476,609.59,2240,933.51
13,Net Income,6863,6937,6012,5785,6872,-4304,-4356,-2568,10800,9910,4940,9128
14,Net Income to Common,6863,6937,6012,5785,6872,-4304,-4356,-2568,10800,9910,4940,9128
15,Net Income Growth,-0.14%,-,-,-,-36.37%,-,-,-,-,-,-,-
16,Shares Outstanding (Basic),13,13,13,13,13,11,12,12,13,13,13,13
17,Shares Outstanding (Diluted),13,13,13,13,13,11,12,12,13,13,13,13
18,Shares Change (YoY),-2.05%,19.59%,10.92%,10.83%,2.16%,-18.22%,-7.91%,-7.85%,-,-,-,-
19,EPS (Basic),522.00,539.74,448.00,431.00,512.00,-400.43,-360.00,-212.00,822.00,754.00,376.00,694.50
20,EPS (Diluted),522.00,539.74,448.00,431.00,512.00,-400.43,-360.00,-212.00,822.00,754.00,376.00,694.50
21,EPS Growth,1.95%,-,-,-,-37.71%,-,-,-,-,-,-,-
22,Free Cash Flow,-245.18,-245.18,27254,25089,-19833,-19833,-,54200,-39015,-39015,19118,19118
23,Free Cash Flow Per Share,-18.65,-19.08,2030.82,1869.10,-1477.63,-1845.34,-,4475.07,-2969.54,-2968.54,1455.06,1454.53
24,Gross Margin,13.55%,11.77%,12.22%,11.63%,12.25%,10.36%,3.00%,3.42%,12.99%,12.10%,10.24%,11.42%
25,Operating Margin,8.90%,7.37%,7.96%,7.60%,8.00%,5.98%,-1.62%,-1.30%,6.74%,5.99%,3.47%,4.86%
26,Profit Margin,4.41%,4.07%,3.38%,4.17%,4.54%,-2.71%,-2.16%,-1.39%,4.89%,4.27%,2.10%,3.75%
27,Free Cash Flow Margin,-0.16%,-0.14%,15.34%,18.07%,-13.12%,-12.47%,-,29.40%,-17.66%,-16.80%,8.13%,7.86%
28,EBITDA,20680,19385,20885,17378,16210,13635,3700,4376,22328,21338,15764,19440
29,EBITDA Margin,13.29%,11.37%,11.76%,12.52%,10.72%,8.57%,1.83%,2.37%,10.11%,9.19%,6.71%,7.99%
30,D&A For EBITDA,6820,6820,6751,6826,4120,4120,6964,6766,7433,7433,7609,7609
31,EBIT,13860,12565,14135,10551,12090,9515,-3264,-2391,14894,13904,8155,11831
32,EBIT Margin,8.90%,7.37%,7.96%,7.60%,8.00%,5.98%,-1.62%,-1.30%,6.74%,5.99%,3.47%,4.86%
33,Revenue as Reported,155657,170530,177636,138832,151209,159075,201827,184347,220910,232172,235064,243214
