,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,33007,33007,6046,4394,5413,5413,7989,-,7868,7868,-,-
1,Cash & Short-Term Investments,33007,33007,6046,4394,5413,5413,7989,7868,7868,7868,-,-
2,Cash Growth,509.74%,509.74%,-24.32%,-44.16%,-31.20%,-31.20%,-,-,-,-,-,-
3,Accounts Receivable,33159,33159,34992,40539,47212,47212,34343,-,67135,67135,-,-
4,Other Receivables,1695,1695,1251,1459,1130,1130,1248,-,7699,7699,-,-
5,Receivables,34854,34854,36243,41998,48343,48343,35591,-,74834,74834,-,-
6,Inventory,160980,160980,114280,121713,144253,144253,78411,-,194789,194789,-,-
7,Prepaid Expenses,622.17,622.17,608.94,678.09,800.59,800.59,757.79,-,1442,1442,-,-
8,Other Current Assets,10382,10382,19133,16288,8616,8616,14843,-,11702,11702,-,-
9,Total Current Assets,239844,239844,176311,185070,207425,207425,137592,-,290635,290635,-,-
10,"Property, Plant & Equipment",207387,207387,220959,227958,240612,240612,248009,-,249234,249234,-,-
11,Long-Term Investments,2000,2000,2000,2000,-17904,-17904,3000,-,3000,3000,-,-
12,Other Intangible Assets,22821,22821,23085,23216,23486,23486,23612,-,23875,23875,-,-
13,Other Long-Term Assets,21864,21864,22614,23207,24033,24033,25223,-,18619,18619,-,-
14,Total Assets,493917,493917,444968,461452,477653,477653,437437,-,585362,585362,-,-
15,Accounts Payable,37206,37206,28754,31295,35569,35569,24718,-,51900,51900,-,-
16,Accrued Expenses,22352,22352,17661,13870,16982,16982,15104,-,16170,16170,-,-
17,Short-Term Debt,180942,180942,123011,139707,156475,156475,103262,-,173436,173436,-,-
18,Current Income Taxes Payable,327.48,327.48,451.17,194.5,47.48,47.48,424.75,-,108.91,108.91,-,-
19,Other Current Liabilities,9445,9445,11200,7219,7653,7653,6175,-,3666,3666,-,-
20,Total Current Liabilities,250273,250273,181077,192286,216727,216727,149685,-,245281,245281,-,-
21,Long-Term Debt,19300,19300,49300,56500,65843,65843,82064,-,98685,98685,-,-
22,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,8.26,-,57.79,57.79,-,-
23,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,825,825,-,-
24,Total Liabilities,269573,269573,230377,248786,282570,282570,231757,-,344849,344849,-,-
25,Common Stock,120910,120910,120910,120910,120910,120910,120910,-,120910,120910,-,-
26,Additional Paid-In Capital,2183,2183,2183,2183,2183,2183,2183,-,2183,2183,-,-
27,Retained Earnings,93856,93856,79982,75258,52853,52853,61460,-,90138,90138,-,-
28,Total Common Equity,216949,216949,203075,198351,175946,175946,184553,213231,213231,213231,-,-
29,Minority Interest,7395,7395,11516,14314,19137,19137,21127,-,27283,27283,-,-
30,Shareholders' Equity,224343,224343,214591,212666,195083,195083,205680,240513,240513,240513,-,-
31,Total Liabilities & Equity,493917,493917,444968,461452,477653,477653,437437,-,585362,585362,-,-
32,Total Debt,200242,200242,172311,196207,222318,222318,185327,272121,272121,272121,-,-
33,Net Cash (Debt),-167235,-167235,-166265,-191814,-216905,-216905,-177338,-264252,-264252,-264252,-,-
34,Net Cash Per Share,-12720.45,-13011.90,-12388.98,-14289.64,-16160.48,-20181.96,-14656.47,-21818.37,-20113.22,-20106.47,-,-
35,Filing Date Shares Outstanding,13.15,12.85,13.42,13.42,13.42,10.75,12.1,12.11,13.14,13.14,13.14,13.14
36,Total Common Shares Outstanding,13.15,12.85,13.42,13.42,13.42,10.75,12.1,12.11,13.14,13.14,13.14,13.14
37,Working Capital,-10429,-10429,-4766,-7216,-9302,-9302,-12092,-,45354,45354,-,-
38,Book Value Per Share,16501.85,16879.94,15131.83,14776.66,13108.86,16370.95,15252.82,16229.76,16229.76,16224.31,-,-
39,Tangible Book Value,194128,194128,179990,175135,152460,152460,160942,189355,189355,189355,-,-
40,Tangible Book Value Per Share,14766.00,15104.32,13411.72,13047.10,11359.03,14185.68,13301.39,14412.53,14412.53,14407.69,-,-
41,Buildings,181958,181958,-,-,-,-,-,-,-,-,-,-
42,Machinery,270694,270694,-,-,-,-,-,-,-,-,-,-
43,Construction In Progress,-,-,-,68.85,68.85,68.85,68.85,-,89.56,89.56,-,-
