,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,187410,163228,139046,148719,129373,113655,246656,215219,235774,205546,222474,397793,351847
1,Market Cap Growth,43.62%,43.62%,-43.63%,-30.90%,-45.13%,-44.71%,10.87%,-45.90%,-32.99%,-,-,-,-
2,Enterprise Value,362040,330055,316827,354847,365415,312119,445120,-,-,-,-,-,-
3,Last Close Price,15500.00,13500.00,11500.00,12300.00,10700.00,9400.00,20400.00,17800.00,18037.50,15725.00,17020.00,30432.50,26113.99
4,PE Ratio,7.94,6.38,5.43,10.35,32.36,-26.10,-,-,-,5.91,9.28,28.28,38.54
5,PS Ratio,0.31,0.25,0.22,0.24,0.20,0.16,0.32,0.26,0.27,0.22,0.31,0.83,1.45
6,PB Ratio,0.94,0.73,0.62,0.69,0.61,0.58,1.26,1.05,0.98,0.85,0.92,-,-
7,P/TBV Ratio,0.84,0.84,0.72,0.83,0.74,0.75,1.62,1.34,1.25,1.09,1.17,-,-
8,P/FCF Ratio,3.15,-,-,11.73,-8.88,-,-,-,-50.04,-,-,10.40,18.40
9,P/OCF Ratio,3.15,-,-,11.10,-9.34,-,-,-,21.57,-,-,9.93,17.57
10,EV/Sales Ratio,0.55,0.51,0.50,0.57,0.56,0.45,0.58,-,-,-,-,-,-
11,EV/EBITDA Ratio,4.70,4.21,4.29,5.21,7.18,8.23,10.11,-,-,-,-,-,-
12,EV/EBIT Ratio,7.27,6.46,6.42,7.67,12.65,19.57,23.73,-,-,-,-,-,-
13,EV/FCF Ratio,6.37,-,-,27.99,-25.07,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.89,0.89,0.89,0.80,0.92,1.14,1.14,0.90,1.13,1.13,1.13,-,-
15,Debt / EBITDA Ratio,2.60,2.42,2.58,2.06,2.82,3.43,4.08,12.52,15.55,3.05,3.19,-,-
16,Debt / FCF Ratio,3.86,-,-,13.59,-13.46,-,-,-,-57.76,-,-,-,-
17,Asset Turnover,1.26,1.45,1.57,1.18,1.27,1.39,-,-,1.51,-,-,-,
18,Inventory Turnover,3.80,3.34,4.37,5.29,3.69,3.68,5.12,-,-,3.95,-,-,-
19,Quick Ratio,0.27,0.27,0.27,0.23,0.24,0.25,0.25,0.29,-,0.34,0.34,-,-
20,Current Ratio,0.96,0.96,0.96,0.97,0.96,0.96,0.96,0.92,-,1.18,1.18,-,-
21,Return on Equity (ROE),8.34%,8.89%,6.02%,8.08%,12.13%,-10.58%,-,-8.94%,15.51%,-,-,-,
22,Return on Assets (ROA),7.01%,6.69%,7.80%,5.62%,6.33%,5.20%,-,-,6.36%,-,-,-,
23,Return on Capital (ROIC),8.16%,7.74%,8.88%,6.38%,7.24%,5.88%,-,-1.17%,7.26%,-,-,-,
24,Return on Capital Employed (ROCE),20.45%,20.98%,20.25%,17.54%,10.73%,6.11%,7.19%,-,-,14.34%,9.97%,-,-
25,Earnings Yield,13.70%,15.68%,18.42%,9.66%,3.09%,-3.83%,-0.17%,6.41%,9.79%,16.92%,10.78%,3.54%,2.59%
26,FCF Yield,31.77%,31.77%,23.21%,8.53%,-11.27%,12.79%,-1.88%,-,-2.00%,-19.36%,-0.35%,9.61%,5.43%
27,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,-,305.92%,165.57%
28,Buyback Yield / Dilution,-8.67%,2.05%,-19.59%,-10.92%,-10.83%,-2.16%,18.22%,7.91%,7.85%,-,-,-,-
29,Total Shareholder Return,1.19%,2.05%,-19.59%,-10.92%,-10.83%,-2.16%,18.22%,7.91%,7.85%,-,-,-,-
