,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,1216,1269,1289,1417,1554,1636,1663,1673,1779,1839,1859,1886,-,-,-
1,Trading Asset Securities,-,50.64,49.06,51.36,73.38,-,-,-,-,10,10,-,-,-,-,-
2,Cash & Short-Term Investments,1267,1267,1318,1340,1491,1554,1636,1663,1673,1789,1849,1859,1886,-,-,896.73
3,Cash Growth,-14.99%,-18.45%,-19.46%,-19.41%,-10.92%,-13.12%,-11.49%,-10.58%,-11.29%,-,-,107.34%,-,-,-,-
4,Accounts Receivable,-,123.72,135.7,89.19,99.24,86.37,106.41,77.05,161.24,105.97,88.75,66.47,75.99,-,-,-
5,Other Receivables,-,5.34,-,5.56,-,4.51,0.03,4.19,-,4.72,0.03,4.89,4.66,-,-,-
6,Receivables,-,129.05,135.72,94.75,99.25,90.88,106.45,81.23,161.25,110.69,89.01,71.36,80.65,-,-,-
7,Inventory,-,68.03,63.33,69.58,72.74,71.52,64.99,68.33,47.08,48.51,21.16,20.38,16.62,-,-,-
8,Prepaid Expenses,-,-,3.41,-,1.67,-,12.53,-,1.55,-,1.54,-,0.57,-,-,-
9,Other Current Assets,-,56.78,53.95,51.81,40.39,48.84,39.1,46.22,35.86,25.3,21.19,16.98,13.04,-,-,-
10,Total Current Assets,-,1521,1574,1556,1705,1765,1860,1858,1919,1973,1982,1968,1997,-,-,-
11,"Property, Plant & Equipment",-,236.25,216.62,205.49,198.82,134.43,120.63,109.73,109.62,101.13,101.53,90.12,92.79,-,-,-
12,Long-Term Investments,-,188.45,186.99,189.87,189.86,131.14,131.43,131.42,111.41,43.47,14.41,14.42,14.44,-,-,-
13,Goodwill,-,187.72,187.72,187.72,187.72,187.72,141.47,96.36,96.36,96.36,96.36,96.36,96.36,-,-,-
14,Other Intangible Assets,-,186.84,191.74,196.95,204.29,199.44,169.76,173.82,179.22,120.87,124.67,100.45,101.41,-,-,-
15,Long-Term Deferred Tax Assets,-,5.22,5.66,5.6,5.41,6.02,5.98,6.36,5.44,2.85,2.63,2.5,2.55,-,-,-
16,Long-Term Deferred Charges,-,18.35,13.72,10.15,7.8,5.33,6.04,5.99,6.59,6.76,7.21,5.01,4.77,-,-,-
17,Other Long-Term Assets,-,19.26,19.59,19.92,20.25,72.42,72.75,72.86,73.19,73.41,32.56,32.89,32.31,-,-,-
18,Total Assets,-,2363,2396,2372,2519,2502,2508,2455,2501,2418,2361,2310,2342,-,-,-
19,Accounts Payable,-,7.97,0.08,57.44,0.12,18.44,3.29,5.06,3.27,20,3.88,8.27,0.57,-,-,-
20,Accrued Expenses,-,4.75,14.78,4.68,46.55,4.64,10.22,2.54,44.79,2.6,17.09,2.75,36.68,-,-,-
21,Current Portion of Leases,-,6.5,9.03,10.54,12.03,11.79,10.18,10.18,10.93,9.92,9.96,9.44,8.27,-,-,-
22,Current Income Taxes Payable,-,7.21,1.91,8.25,1.67,7.29,1.15,4.7,0.43,5.18,0.31,6.38,0.01,-,-,-
23,Current Unearned Revenue,-,162.45,165.04,135.61,152.05,133.64,125.09,118.19,122.03,98.63,94.97,78.75,87.47,-,-,-
24,Other Current Liabilities,-,24.01,39.22,8.96,52.33,30.38,59.42,16.88,15.93,11.84,20.92,6.04,9.91,-,-,-
25,Total Current Liabilities,-,212.89,230.05,225.48,264.74,206.19,209.35,157.55,197.38,148.16,147.13,111.63,142.91,-,-,-
26,Long-Term Debt,-,15.58,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Long-Term Leases,-,4.4,5.25,4.2,3.85,5.83,7.5,9.85,9.82,12.23,13.98,16.18,17.49,-,-,-
28,Long-Term Unearned Revenue,-,44.55,85.12,42.31,99.67,38.18,112.59,17.97,113.84,18.82,51.09,21.82,55.85,-,-,-
29,Long-Term Deferred Tax Liabilities,-,12.06,12.59,13,13.75,13.71,5.55,5.79,6.27,3.27,3.82,3.71,3.81,-,-,-
30,Other Long-Term Liabilities,-,57.5,31.75,53.27,24.58,105.17,17.5,94.75,3.48,80.15,3.36,40.62,9.56,-,-,-
31,Total Liabilities,-,346.99,364.77,338.26,406.59,369.08,352.5,285.91,330.8,262.63,219.38,193.96,229.62,-,-,-
32,Common Stock,-,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,-,-,-
33,Additional Paid-In Capital,-,1671,1665,1660,1695,1688,1678,1667,1664,1664,1664,1664,1664,-,-,-
34,Retained Earnings,-,-91.74,-75.46,-71.05,-34.58,-6.94,22.39,51.61,52.1,37.76,25.53,20.59,15.89,-,-,-
35,Treasury Stock,-,-17.02,-11.94,-7.98,-,-,-,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,-0.34,-1.12,-1.42,0.24,-0.81,1.86,-3.16,0.69,-0.02,-1.4,-2.65,-2.24,-,-,-
37,Total Common Equity,1995,1995,2011,2013,2095,2114,2136,2149,2150,2135,2122,2115,2111,-,-,969.12
38,Minority Interest,-,20.67,20.86,20.33,17.52,18.43,19.35,19.5,19.96,20.13,20.12,0.46,1.11,-,-,-
39,Shareholders' Equity,2016,2016,2032,2033,2112,2133,2155,2169,2170,2155,2142,2116,2112,-,-,971
40,Total Liabilities & Equity,-,2363,2396,2372,2519,2502,2508,2455,2501,2418,2361,2310,2342,-,-,-
41,Total Debt,26.48,26.48,14.28,14.75,15.88,17.62,17.69,20.02,20.75,22.15,23.94,25.62,25.76,-,-,-
42,Net Cash (Debt),1241,1241,1304,1325,1475,1536,1619,1642,1653,1766,1825,1834,1861,-,-,896.73
43,Net Cash Growth,-15.87%,-19.24%,-19.47%,-19.32%,-10.76%,-13.03%,-11.29%,-10.43%,-11.17%,-,-,104.49%,-,-,-,-
44,Net Cash Per Share,2.86,2.89,2.99,3.05,2.93,3.54,2.01,3.33,3.40,4.49,3.74,4.29,3.72,-,-,2.31
45,Filing Date Shares Outstanding,433.33,432.65,433.02,433.3,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,251.97,495.15,387.63
46,Total Common Shares Outstanding,432.65,432.65,433.02,433.3,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,433.8,251.97,495.15,387.63
47,Working Capital,-,1308,1344,1331,1440,1559,1650,1701,1722,1825,1835,1856,1854,-,-,-
48,Book Value Per Share,4.61,4.61,4.64,4.65,4.83,4.87,4.92,4.95,4.96,4.92,4.89,4.88,4.87,-,-,2.48
49,Tangible Book Value,1621,1621,1631,1628,1703,1727,1824,1879,1875,1918,1901,1919,1913,-,-,906.15
50,Tangible Book Value Per Share,3.75,3.75,3.77,3.76,3.93,3.98,4.21,4.33,4.32,4.42,4.38,4.42,4.41,-,-,2.32
51,Buildings,-,-,99.83,-,99.83,-,52.25,-,52.48,-,50.82,-,51.76,-,-,-
52,Machinery,-,-,27.98,-,27.08,-,25.55,-,21.67,-,20.37,-,19.3,-,-,-
53,Construction In Progress,-,-,101.85,-,79.3,-,45.53,-,32.73,-,21.39,-,6.3,-,-,-
