,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,8560,8181,7708,6435,6767,9457,10936,12164,14715,12199,13418,13188,10411,15916,-,-,-
1,Market Cap Growth,-13.49%,-13.49%,-29.52%,-47.10%,-54.01%,-22.48%,-18.49%,-7.76%,41.33%,-23.36%,-,-,-,-,-,-,-
2,Enterprise Value,7340,6961,6425,5130,5250,7939,9337,10541,12968,10452,11613,11354,9516,15021,-,-,-
3,Last Close Price,19.78,18.91,17.80,14.85,15.60,21.80,25.21,27.97,33.83,28.05,30.85,30.30,23.92,36.57,-,-,-
4,PE Ratio,-,-,-,-,-,-,-,446.80,-,271.77,304.79,391.63,305.50,556.42,-,-,-
5,Forward PE,-,-,-,123.75,173.33,90.83,126.05,140.20,188.44,197.33,265.04,208.50,150.00,-,-,-,-
6,PS Ratio,20.42,19.50,19.97,17.27,19.51,28.75,33.16,37.88,48.55,43.79,55.97,59.47,50.56,82.10,-,-,-
7,PB Ratio,4.29,4.06,3.82,3.17,3.33,4.48,5.13,5.64,6.78,5.62,6.23,6.16,4.92,7.54,-,-,-
8,P/TBV Ratio,5.05,5.05,4.76,3.94,4.16,5.55,6.33,6.67,7.83,6.51,7.00,6.94,5.43,8.32,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-247.39,-,-,-,-,-188.58,-,-,-
10,P/OCF Ratio,-,-,-,-237.96,-,185.32,159.92,149.18,162.53,173.48,199.40,402.22,-,281.84,-,-,-
11,EV/Sales Ratio,17.50,16.59,16.64,13.77,15.14,24.14,28.31,32.82,42.79,37.52,48.44,51.20,46.22,77.48,-,-,-
12,EV/EBITDA Ratio,-,-,-,-54.82,-,-,-,-,-,-,648.99,1049.27,-,906.66,-,-,-
13,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,2088.80,35126.11,-,1420.92,-,-,-
14,EV/FCF Ratio,-,-,-,-,-,-,-,-,-218.03,-,-,-,-,-177.98,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,-,-
16,Debt / EBITDA Ratio,-,-,-,0.43,-,-,-,1.58,-,-,0.86,0.47,-,0.50,-,-,-
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-0.34,-,-,-,-,-0.31,-,-,-
18,Asset Turnover,-,0.14,0.19,0.13,0.17,0.11,0.14,0.10,0.18,0.10,0.12,0.07,-,-,-,-,
19,Inventory Turnover,-,-,0.34,1.02,0.26,1.00,0.90,1.07,0.43,1.71,0.42,2.09,0.66,-,-,-,-
20,Quick Ratio,-,-,6.56,6.32,6.36,6.01,7.98,8.33,11.07,9.29,12.82,13.17,17.30,13.76,-,-,-
21,Current Ratio,-,-,7.14,6.84,6.90,6.44,8.56,8.88,11.80,9.72,13.32,13.47,17.63,13.98,-,-,-
22,Return on Equity (ROE),-7.60%,-3.25%,-0.77%,-7.07%,-5.38%,-5.64%,0.18%,-0.17%,2.62%,2.28%,2.44%,0.77%,-,-,-,-,
23,Return on Assets (ROA),-,-2.34%,-0.51%,-2.37%,-5.22%,-3.82%,-0.95%,-1.10%,-1.84%,0.40%,0.34%,-0.75%,-,-,-,-,
24,Return on Capital (ROIC),-6.08%,-2.72%,-0.60%,-2.78%,-6.12%,-4.42%,-1.08%,-1.24%,-2.07%,0.43%,0.37%,-0.82%,-,-,-,-,
25,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,-,0.24%,0.01%,-,0.48%,-,-,-
26,Earnings Yield,-1.11%,-1.16%,-1.10%,-1.52%,-1.36%,-0.60%,-0.13%,0.22%,0.27%,0.37%,0.33%,0.26%,0.33%,0.18%,-,-,-
27,FCF Yield,-,-1.86%,-1.42%,-1.28%,0.01%,-0.37%,-0.50%,-0.40%,-0.66%,-0.16%,-0.42%,-0.65%,-0.53%,-,-,-,
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,0.25%,-,-,-,0.05%,-,-,-
29,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,0.01%,68.25%,-,-,-,-,-,-
30,Buyback Yield / Dilution,0.01%,13.99%,1.03%,45.79%,12.07%,-3.60%,-10.21%,-64.59%,-15.58%,2.71%,-56.22%,1.38%,-10.22%,-,-,-,-
31,Total Shareholder Return,0.01%,13.99%,1.03%,45.79%,12.07%,-3.60%,-10.21%,-64.59%,-15.58%,2.96%,-56.22%,1.38%,-10.22%,0.05%,-,-,-
