,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,140.41,83.58,113.75,81.81,105.71,70.35,87.72,63.93,106.33,61.66,69.67,39.38,67.32,44.09,53.4,27.35
1,Other Revenue,-,-0.48,0.48,-,1.18,-0.72,0.72,-,1.51,-0.74,0.74,-,1.7,-1.16,1.16,-
2,Revenue,140.41,83.1,114.23,81.81,106.89,69.63,88.44,63.93,107.84,60.92,70.4,39.38,69.03,42.93,54.56,27.35
3,Revenue Growth (YoY),31.35%,19.34%,29.16%,27.97%,-0.88%,14.29%,25.62%,62.33%,56.22%,41.91%,29.03%,44.02%,-,-,-,-
4,Cost of Revenue,-27.2,5.59,16.92,4.68,18.08,15.33,17.86,6.25,20.39,3.69,10.84,3.05,6.66,3.05,5.77,0.12
5,Gross Profit,167.61,77.5,97.31,77.13,88.81,54.3,70.58,57.68,87.45,57.24,59.57,36.33,62.37,39.88,48.79,27.23
6,"Selling, General & Admin",-112.19,37.34,37.81,37.05,47.1,36.73,35.21,27.58,40.63,25.91,24.52,22.82,26.24,22.18,22.61,18.68
7,Research & Development,-187.71,63.05,61.57,63.09,83.98,58.98,48.19,42.61,53.59,32.09,31.74,22.42,29.16,19.39,18.27,12.65
8,Other Operating Expenses,520.5,-1.22,0.95,-0.67,10.31,-3.56,-4.63,-0.24,10.48,-5,-0.08,-2.96,1.15,-0.86,-2.08,-0.04
9,Operating Expenses,217.26,99.77,102.18,100.34,141.2,92.54,79.98,68.57,105.57,53.46,56.4,43.35,56.74,41.34,38.34,31.29
10,Operating Income,-49.66,-22.26,-4.88,-23.21,-52.38,-38.23,-9.4,-10.89,-18.11,3.78,3.17,-7.02,5.63,-1.46,10.46,-4.06
11,Interest Expense,-17.02,-0.16,-0.19,-0.18,-0.2,-0.21,-0.22,-0.23,-0.27,-0.28,-0.34,-0.31,-0.16,-0.12,-0.12,-0.06
12,Interest & Investment Income,0.54,5.07,4.18,7.77,8.27,9.4,10.05,9.76,10.2,10.9,10.92,12.24,2.99,4.02,4.78,3.47
13,Earnings From Equity Investments,-,-,-0.01,0.01,2.66,-,-0.01,0.01,-0.13,0.03,-0.03,-,-,-,-,-
14,Currency Exchange Gain (Loss),-,-1.02,1.02,-,0.37,-1.95,1.95,-,3.52,-1.31,1.31,-,-0.08,0.18,-0.18,-
15,Other Non Operating Income (Expenses),1.27,-1.05,-0.72,0.64,-1.91,1.81,0.05,0.04,-3.33,3.28,-0.02,-0.02,0.08,-0.09,0.72,-0.79
16,EBT Excluding Unusual Items,-64.87,-19.43,-0.6,-14.97,-43.2,-29.18,2.41,-1.3,-8.12,16.4,15,4.89,8.47,2.53,15.66,-1.44
17,Gain (Loss) on Sale of Investments,22.63,3.45,-4.02,-22.06,-1,-0.25,-0.41,-0.38,2.38,-0.43,-0.74,0.04,2.31,-0.06,0.04,-
18,Gain (Loss) on Sale of Assets,-0.12,0,0,0.11,-0.08,0,0.16,0,-0.01,0.01,0,0,-,-,0,0
19,Other Unusual Items,0.07,-1.11,1.09,-0.05,17.48,-,-,-,16.41,0.02,-0.02,-,1.74,-,-,-
20,Pretax Income,-42.29,-17.09,-3.53,-36.97,-26.8,-29.43,2.16,-1.69,10.66,16,14.25,4.94,12.52,2.47,15.7,-1.44
21,Income Tax Expense,-3.99,-0.63,0.37,-0.33,1.75,0.82,1.16,-0.74,-3.5,3.75,1.26,0.88,0.56,0.3,0.34,0.2
22,Earnings From Continuing Operations,-38.3,-16.46,-3.89,-36.64,-28.55,-30.25,0.99,-0.95,14.16,12.25,12.99,4.05,11.96,2.17,15.36,-1.65
23,Minority Interest in Earnings,0.17,0.18,-0.52,0.17,0.91,0.92,0.15,0.45,0.18,-0.01,0.62,0.65,1.51,-0.28,-1.34,0.87
24,Net Income,-38.12,-16.28,-4.41,-36.47,-27.64,-29.33,1.14,-0.49,14.34,12.24,13.61,4.7,13.47,1.89,14.02,-0.78
25,Net Income to Common,-38.12,-16.28,-4.41,-36.47,-27.64,-29.33,1.14,-0.49,14.34,12.24,13.61,4.7,13.47,1.89,14.02,-0.78
26,Net Income Growth,-,-,-,-,-,-,-91.61%,-,6.41%,548.01%,-2.90%,-,-,-,-,-
27,Shares Outstanding (Basic),433,429,436,434,504,434,804,494,486,394,488,427,500,252,495,388
28,Shares Outstanding (Diluted),433,429,436,434,504,434,804,494,486,394,488,427,500,252,495,388
29,Shares Change (YoY),-13.99%,-1.03%,-45.79%,-12.07%,3.60%,10.21%,64.59%,15.58%,-2.71%,56.22%,-1.38%,10.22%,-,-,-,-
30,EPS (Basic),-0.09,-0.04,-0.01,-0.08,-0.05,-0.07,0.00,-0.00,0.03,0.03,0.03,0.01,0.03,0.01,0.03,-0.00
31,EPS (Diluted),-0.09,-0.04,-0.01,-0.08,-0.05,-0.07,0.00,-0.00,0.03,0.03,0.03,0.01,0.03,0.01,0.03,-0.00
32,EPS Growth,-,-,-,-,-,-,-94.90%,-,9.37%,314.81%,-1.53%,-,-,-,-,-
33,Free Cash Flow,-,-53.31,-10.26,-76.25,-3.3,-1.5,-5.92,11.55,-44.42,-21.93,-4.68,-10.04,14.68,-54.69,-17.44,-26.95
34,Free Cash Flow Per Share,-,-0.12,-0.02,-0.18,-0.01,-0.00,-0.01,0.02,-0.09,-0.06,-0.01,-0.02,0.03,-0.22,-0.04,-0.07
35,Dividend Per Share,-,-,-,-,-,-,-,-,0.070,-,-,-,0.020,-,-,-
36,Dividend Growth,-,-,-,-,-,-,-,-,250.00%,-,-,-,-,-,-,-
37,Gross Margin,119.37%,93.27%,85.18%,94.28%,83.09%,77.99%,79.80%,90.23%,81.09%,93.95%,84.61%,92.26%,90.35%,92.90%,89.42%,99.57%
38,Operating Margin,-35.37%,-26.79%,-4.27%,-28.37%,-49.01%,-54.91%,-10.63%,-17.03%,-16.80%,6.20%,4.50%,-17.82%,8.16%,-3.39%,19.16%,-14.85%
39,Profit Margin,-27.15%,-19.59%,-3.86%,-44.58%,-25.86%,-42.12%,1.29%,-0.77%,13.30%,20.08%,19.33%,11.93%,19.52%,4.40%,25.69%,-2.84%
40,Free Cash Flow Margin,-,-64.16%,-8.98%,-93.20%,-3.08%,-2.15%,-6.69%,18.07%,-41.19%,-36.00%,-6.65%,-25.51%,21.26%,-127.38%,-31.97%,-98.54%
41,EBITDA,-42.98,-15.58,2.49,-16.53,-45.7,-33.83,-2.45,-6.49,-13.71,6.43,7.55,-4.37,8.28,-0.64,12.17,-3.24
42,EBITDA Margin,-30.61%,-18.75%,2.18%,-20.21%,-42.76%,-48.59%,-2.78%,-10.15%,-12.72%,10.55%,10.72%,-11.09%,12.00%,-1.49%,22.30%,-11.86%
43,D&A For EBITDA,6.68,6.68,7.37,6.68,6.68,4.4,6.95,4.4,4.4,2.65,4.38,2.65,2.65,0.82,1.71,0.82
44,EBIT,-49.66,-22.26,-4.88,-23.21,-52.38,-38.23,-9.4,-10.89,-18.11,3.78,3.17,-7.02,5.63,-1.46,10.46,-4.06
45,EBIT Margin,-35.37%,-26.79%,-4.27%,-28.37%,-49.01%,-54.91%,-10.63%,-17.03%,-16.80%,6.20%,4.50%,-17.82%,8.16%,-3.39%,19.16%,-14.85%
46,Effective Tax Rate,-,-,-,-,-,-,53.94%,-,-,23.46%,8.83%,17.90%,4.46%,12.19%,2.14%,-
47,Revenue as Reported,-,83.1,114.23,81.81,106.89,69.63,88.44,63.93,107.84,60.92,70.4,39.38,69.03,42.93,54.56,27.35
