,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","May '21 May 31, 2021"
0,Cash & Equivalents,4564,2504,1558,1331,-,-
1,Short-Term Investments,-,11.03,-,21.31,-,-
2,Trading Asset Securities,1500,1275,1224,865.97,-,-
3,Cash & Short-Term Investments,6064,3790,2781,2218,-,-
4,Cash Growth,118.05%,70.85%,-,-,-,-
5,Accounts Receivable,195.92,102.03,91.02,69.42,-,-
6,Other Receivables,-,14.55,-,4.6,-,-
7,Receivables,195.92,116.57,91.02,74.02,-,-
8,Inventory,333.74,200.44,186.49,183.9,-,-
9,Other Current Assets,94.47,28.26,76.32,61.58,-,-
10,Total Current Assets,6688,4135,3135,2538,-,-
11,"Property, Plant & Equipment",975.54,711.62,606.59,551.65,-,-
12,Long-Term Investments,10.26,-,-,-,-,-
13,Other Intangible Assets,6.57,7.36,6.02,6.75,-,-
14,Long-Term Deferred Tax Assets,0.16,1.11,0.18,1.19,-,-
15,Other Long-Term Assets,99.91,117.91,130.34,40.9,-,-
16,Total Assets,7781,4973,3878,3138,-,-
17,Accounts Payable,337.11,133.11,73.4,54.65,-,-
18,Accrued Expenses,-,40.72,-,28.5,-,-
19,Current Portion of Leases,1.37,1.56,0.9,0.88,-,-
20,Current Income Taxes Payable,97.67,116.72,78.56,75.02,-,-
21,Current Unearned Revenue,54.27,37.25,14.47,13.95,-,-
22,Other Current Liabilities,1265,201.25,168.91,107.9,-,-
23,Total Current Liabilities,1756,530.61,336.24,280.91,-,-
24,Long-Term Leases,0.09,1.17,1.21,1.71,-,-
25,Long-Term Unearned Revenue,18.86,19.58,18.03,18.18,-,-
26,Long-Term Deferred Tax Liabilities,31.2,50.68,5.05,0.4,-,-
27,Total Liabilities,1806,602.03,360.53,301.19,-,-
28,Common Stock,0.07,0.06,0.06,0.06,-,-
29,Additional Paid-In Capital,3180,1695,1597,1597,-,-
30,Retained Earnings,2693,2619,1834,1167,-,-
31,Treasury Stock,-0,-0,-0,-0,-,-
32,Comprehensive Income & Other,96.44,48.81,80.15,69.72,-,-
33,Total Common Equity,5970,4362,3511,2833,-,-
34,Minority Interest,4.72,8.91,6.64,3.56,-,-
35,Shareholders' Equity,5975,4371,3517,2837,-,-
36,Total Liabilities & Equity,7781,4973,3878,3138,-,-
37,Total Debt,1.46,2.73,2.11,2.59,-,-
38,Net Cash (Debt),6063,3787,2779,2216,-,-
39,Net Cash Growth,118.16%,70.92%,-,-,-,-
40,Net Cash Per Share,5.99,3.95,2.76,2.24,-,-
41,Filing Date Shares Outstanding,1009,976,976,976,685.34,1000
42,Total Common Shares Outstanding,1009,976,976,976,685.34,1000
43,Working Capital,4933,3604,2799,2257,-,-
44,Book Value Per Share,5.92,4.47,3.60,2.90,-,-
45,Tangible Book Value,5964,4355,3505,2827,-,-
46,Tangible Book Value Per Share,5.91,4.46,3.59,2.90,-,-
47,Buildings,-,285.49,-,225.79,-,-
48,Machinery,-,131.75,-,104.62,-,-
49,Construction In Progress,-,356.25,-,244.44,-,-
50,Leasehold Improvements,-,9.54,-,5.56,-,-
