,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","May '21 May 31, 2021"
0,Market Capitalization,72048,46273,34746,33965,32794,-,-
1,Market Cap Growth,36.24%,36.24%,5.95%,-,-,-,-
2,Enterprise Value,65538,42110,31750,31464,31531,-,-
3,Last Close Price,70.85,45.85,34.88,34.10,32.92,-,-
4,PE Ratio,36.68,24.36,21.72,29.88,41.68,-,-
5,Forward PE,29.21,22.10,19.71,22.88,26.93,-,-
6,PS Ratio,14.39,9.66,8.95,10.53,12.27,-,-
7,PB Ratio,11.15,7.21,7.22,8.94,10.22,-,-
8,P/TBV Ratio,7.22,7.22,7.24,8.97,10.26,-,-
9,P/FCF Ratio,40.09,25.75,22.19,30.93,37.24,-,-
10,P/OCF Ratio,22.94,22.94,19.14,23.94,31.14,-,-
11,PEG Ratio,1.08,0.85,-,-,-,-,-
12,EV/Sales Ratio,13.68,8.79,8.18,9.75,11.80,-,-
13,EV/EBITDA Ratio,30.18,19.41,17.54,21.24,24.07,-,-
14,EV/EBIT Ratio,30.75,19.76,17.88,21.69,24.61,-,-
15,EV/FCF Ratio,36.47,23.43,20.28,28.66,35.80,-,-
16,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,-,-
17,Debt / FCF Ratio,0.00,0.00,0.00,0.00,0.00,-,-
18,Return on Capital Employed (ROCE),32.92%,32.92%,36.28%,37.90%,39.66%,-,-
19,Earnings Yield,2.64%,4.11%,4.60%,3.92%,3.45%,-,-
20,FCF Yield,2.49%,3.88%,4.51%,3.23%,2.69%,-,-
21,Buyback Yield / Dilution,1.01%,-0.72%,2.76%,4.71%,1.30%,-,-
22,Total Shareholder Return,1.68%,-0.72%,2.76%,4.71%,1.30%,-,-
