,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","May '21 May 31, 2021"
0,Revenue,2540,1918,1606,1380,984.89,520.6
1,Revenue Growth (YoY),58.21%,39.06%,63.03%,164.99%,-,-
2,Cost of Revenue,447.19,322.3,254.7,222.57,146.64,72.98
3,Gross Profit,2093,1596,1351,1157,838.25,447.62
4,"Selling, General & Admin",957.67,658.5,602.66,503.14,314.3,118.45
5,Research & Development,48.7,40.96,34.01,25.23,18.82,8.06
6,Operating Expenses,1007,699.09,636.34,529.13,332.97,126.35
7,Operating Income,1086,897.05,714.66,627.85,505.29,321.27
8,Interest Expense,-0.05,-0.06,-0.06,-0.02,-,-
9,Interest & Investment Income,38.99,23.73,23.76,6.5,6.66,5.04
10,Currency Exchange Gain (Loss),-,-13.95,-,-12.58,-1.87,-
11,Other Non Operating Income (Expenses),9.52,48.59,22.03,45.97,8.23,5.47
12,EBT Excluding Unusual Items,1135,955.37,760.39,667.72,518.31,331.79
13,Gain (Loss) on Sale of Investments,20.36,14.14,15.19,-3.07,-5.21,10.23
14,Pretax Income,1155,969.51,775.58,664.66,513.09,342.02
15,Income Tax Expense,174.64,187.33,109.56,100.31,75.85,52.5
16,Earnings From Continuing Operations,980.55,782.18,666.02,564.34,437.24,289.52
17,Minority Interest in Earnings,2.61,2.63,0.92,0.44,-,-
18,Net Income,983.16,784.81,666.94,564.78,437.24,289.52
19,Preferred Dividends & Other Adjustments,-,-,-,179.83,126.2,-
20,Net Income to Common,983.16,784.81,666.94,384.96,311.04,289.52
21,Net Income Growth,47.41%,38.96%,52.53%,95.08%,-,-
22,Shares Outstanding (Basic),988,958,995,721,685,1000
23,Shares Outstanding (Diluted),1013,960,1006,987,1055,1000
24,Shares Change (YoY),0.72%,-2.76%,-4.71%,-1.30%,-,-
25,EPS (Basic),0.99,0.82,0.67,0.53,0.45,0.29
26,EPS (Diluted),0.97,0.82,0.66,0.53,0.41,0.29
27,EPS Growth,46.97%,53.49%,59.31%,84.44%,-,-
28,Free Cash Flow,757.38,915.2,505.93,510.17,268.8,176.62
29,Free Cash Flow Per Share,0.75,0.95,0.50,0.52,0.25,0.18
30,Operating Margin,42.76%,46.76%,44.51%,45.51%,51.30%,61.71%
31,Profit Margin,38.70%,40.91%,41.54%,27.90%,31.58%,55.61%
32,Free Cash Flow Margin,29.81%,47.71%,31.51%,36.98%,27.29%,33.93%
33,EBITDA,1106,912.78,730.55,640.38,518.29,330.58
34,D&A For EBITDA,19.63,15.73,15.89,12.52,13.01,9.31
35,EBIT,1086,897.05,714.66,627.85,505.29,321.27
