,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,65,89,144,131,222,218,134,360,260,1150,-
1,Market Cap Growth,-32.42%,-32.42%,-35.06%,-40.00%,65.00%,-39.33%,-48.31%,-68.70%,-,-,-
2,Enterprise Value,96,80,163,99,222,139,19,265,173,1160,-
3,Last Close Price,0.09,0.12,0.20,0.46,0.77,0.91,0.56,1.50,1.30,5.75,-
4,PE Ratio,5.19,7.41,-,2.40,8.98,-16.47,-,23.97,-69.35,-,-
5,PS Ratio,0.09,0.13,0.23,0.22,0.39,0.55,0.47,1.68,1.63,6.93,-
6,PB Ratio,0.10,0.13,0.20,0.31,0.56,0.67,0.41,1.06,0.92,4.46,-
7,P/TBV Ratio,0.13,0.13,0.21,0.34,0.59,0.69,0.41,1.06,0.92,4.46,-
8,P/FCF Ratio,-,-,-,-,-4.66,-,-,-,-60.44,-,-
9,P/OCF Ratio,-,-0.44,-,-,-13.53,-,-53.20,-,37.85,-,-
10,EV/Sales Ratio,0.15,0.12,0.26,0.17,0.39,0.35,0.07,1.24,1.08,6.99,-
11,EV/EBITDA Ratio,5.26,4.55,-,0.84,2.17,2.98,1.21,17.70,12.04,31.71,-
12,EV/EBIT Ratio,14.70,12.14,-,0.91,2.35,3.59,2.51,36.75,25.49,39.40,-
13,EV/FCF Ratio,-0.32,-,-,-,-4.66,-,-,-,-40.15,-,-
14,Debt / Equity Ratio,0.08,0.08,0.04,0.06,0.03,0.04,-,-,-,0.05,0.16
15,Debt / FCF Ratio,-,-,-,-,-0.25,-,-,-,-,-,11.33
16,Return on Capital Employed (ROCE),0.93%,0.93%,-,25.62%,23.79%,11.81%,2.32%,2.12%,2.40%,11.38%,28.39%
17,Earnings Yield,18.44%,13.49%,14.88%,41.61%,11.14%,-6.07%,-2.37%,4.17%,-1.44%,0.69%,-
18,FCF Yield,-457.48%,-334.74%,-209.32%,-23.80%,-21.46%,-29.55%,-29.44%,-3.42%,-1.65%,-1.03%,-
19,Buyback Yield / Dilution,-145.74%,-150.00%,-141.24%,-20.00%,-13.61%,-9.92%,-20.06%,-20.97%,-33.37%,-20.33%,-
20,Total Shareholder Return,-145.74%,-150.00%,-141.24%,-20.00%,-13.61%,-9.92%,-20.06%,-20.97%,-33.37%,-20.33%,-
