,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+1 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+1 Quarters
0,Market Capitalization,853,1268,1553,3603,7431,5760,9828,12407,7261,4791,3350,Upgrade
1,Market Cap Growth,-64.80%,-64.80%,-79.11%,-37.45%,-24.38%,-53.57%,35.34%,158.94%,116.76%,-7.71%,-39.52%,Upgrade
2,Enterprise Value,2027,2679,2895,4892,8403,6255,9508,12836,7391,5029,3591,Upgrade
3,Last Close Price,0.72,1.05,1.29,2.99,6.09,4.70,7.98,9.99,6.35,4.33,3.11,Upgrade
4,PE Ratio,-,-110.27,-,-963.12,-,49.09,49.76,40.13,37.65,36.03,11.69,Upgrade
5,Forward PE,12.00,7.90,11.82,13.73,23.03,14.86,21.87,27.80,21.34,15.07,7.38,Upgrade
6,PS Ratio,0.21,0.31,0.37,0.88,1.92,1.71,3.37,4.55,3.49,2.94,1.72,Upgrade
7,PB Ratio,0.42,0.50,0.65,1.50,3.13,2.39,4.18,4.97,4.45,3.86,2.86,Upgrade
8,P/TBV Ratio,2.94,2.94,3.88,9.89,16.57,10.63,20.46,11.77,25.96,6.64,4.58,Upgrade
9,P/FCF Ratio,1.35,2.01,2.94,11.33,38.25,43.72,-,19.89,14.97,9.53,6.61,Upgrade
10,P/OCF Ratio,1.60,1.60,2.25,4.94,12.28,14.69,16.15,16.33,11.70,8.37,5.81,Upgrade
11,PEG Ratio,0.25,0.25,0.33,0.16,0.59,0.57,0.57,0.46,0.90,0.58,0.29,Upgrade
12,EV/Sales Ratio,0.49,0.65,0.69,1.19,2.17,1.86,3.26,4.71,3.55,3.09,1.84,Upgrade
13,EV/EBITDA Ratio,2.72,6.25,7.36,14.37,23.86,15.60,19.13,25.15,24.28,20.46,8.36,Upgrade
14,EV/EBIT Ratio,15.04,20.32,26.55,57.75,70.58,31.97,28.67,35.02,39.08,31.32,10.36,Upgrade
15,EV/FCF Ratio,3.21,4.24,5.48,15.38,43.25,47.48,-,20.58,15.24,10.00,7.09,Upgrade
16,Debt / Equity Ratio,0.59,0.59,0.67,0.64,0.65,0.54,0.40,0.32,0.63,0.54,0.62,Upgrade
17,Debt / FCF Ratio,2.38,2.38,3.04,4.80,7.89,9.80,-,1.27,2.12,1.34,1.42,Upgrade
18,Return on Capital Employed (ROCE),3.36%,3.36%,2.77%,2.19%,3.10%,4.97%,9.48%,11.18%,7.65%,11.06%,23.34%,Upgrade
19,Earnings Yield,-1.35%,-0.91%,-1.22%,-0.10%,0.94%,2.04%,2.01%,2.49%,2.66%,2.78%,8.55%,Upgrade
20,FCF Yield,74.07%,49.84%,34.00%,8.83%,2.61%,2.29%,3.54%,5.03%,6.68%,10.49%,15.13%,Upgrade
21,Dividend Yield,2.78%,0.95%,-,1.57%,1.64%,2.13%,1.81%,2.31%,2.50%,2.54%,7.39%,Upgrade
22,Buyback Yield / Dilution,-0.11%,0.02%,0.05%,-0.23%,1.53%,-3.54%,-13.37%,-14.23%,-7.39%,-1.26%,-0.19%,Upgrade
23,Total Shareholder Return,2.67%,0.97%,0.05%,1.35%,3.17%,-1.41%,-11.56%,-11.92%,-4.88%,1.28%,7.20%,Upgrade
