,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,429.47,281.12,298.02,212.77,309.56,336.02,303.87,294.06,427.56,287.23,261.54,238.82,270.26,228.65,252.85,201.78,360.44,229.49,166.04
1,Other Revenue,-52.48,52.48,-,95.56,-35.93,35.93,-,82.71,-40.75,40.75,-,68.76,-39.17,39.17,-,56.17,-20.69,13.3,7.4
2,Revenue,376.99,333.61,298.02,308.34,273.63,371.95,303.87,376.76,386.81,327.98,261.54,307.58,231.09,267.82,252.85,257.95,339.75,242.79,173.43
3,Revenue Growth (YoY),37.77%,-10.31%,-1.93%,-18.16%,-29.26%,13.41%,16.19%,22.49%,67.38%,22.47%,3.44%,19.24%,-31.98%,10.31%,45.79%,-,-,-,-
4,Cost of Revenue,333.42,310.01,272.28,286.1,230.91,322.46,267.36,315,324.65,282.31,230.9,268.75,196.01,223.13,208.83,204.26,268.06,193.88,141.27
5,Gross Profit,43.57,23.59,25.74,22.24,42.73,49.49,36.51,61.77,62.15,45.67,30.63,38.84,35.09,44.69,44.02,53.69,71.69,48.91,32.16
6,"Selling, General & Admin",10.62,11.96,10.2,9.67,17.07,10.78,9.47,11.47,14.96,8.36,7.76,12.31,9.09,7.18,6.95,11.27,11.52,7.65,6.05
7,Research & Development,11.79,13.66,7.86,11.24,6.67,14,9.64,11.99,13.74,10.2,8.91,10.23,7.44,7.31,9,7.02,12.79,7.74,5.37
8,Other Operating Expenses,0.77,0.95,1.35,0.89,0.13,0.63,0.59,3.75,-0.41,-0.11,0.2,1.73,0.31,0.31,0.79,6.4,-3.6,0.78,0.33
