,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2238,1726,1477,1708,2379,2686,2347,2526,2866,1880,2347,2566,3302,3597,-,-,-,-,-,-
1,Market Cap Growth,-35.74%,-35.74%,-37.09%,-32.38%,-16.97%,42.87%,0%,-1.54%,-13.21%,-47.73%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2036,1452,1138,1258,1929,2252,2385,2423,2762,1755,2175,2390,3126,3696,-,-,-,-,-,-
3,Last Close Price,21.80,16.80,14.34,16.19,22.55,25.46,27.56,29.50,33.46,21.95,27.25,29.80,38.34,41.77,-,-,-,-,-,-
4,PE Ratio,120.35,90.63,44.41,34.17,-,32.28,24.73,26.34,31.26,20.87,33.41,37.02,37.71,39.10,-,-,-,-,-,-
5,Forward PE,-,14.53,14.53,14.53,14.53,14.53,16.10,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,1.74,1.31,1.22,1.36,1.89,2.03,1.63,1.81,2.12,1.46,2.08,2.40,3.12,3.56,-,-,-,-,-,-
7,PB Ratio,1.46,1.13,0.97,1.12,1.54,1.74,1.54,2.46,2.83,1.90,2.45,2.72,3.54,3.94,-,-,-,-,-,-
8,P/TBV Ratio,1.19,1.19,1.02,1.18,1.62,1.78,1.58,2.56,2.92,1.97,2.54,2.82,3.63,4.05,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-24.98,-,-40.65,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,30.17,-,12.86,15.74,54.55,64.40,54.56,-,-59.01,-24.75,-,-,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,1.55,1.10,0.94,1.01,1.53,1.70,1.66,1.74,2.04,1.37,1.93,2.24,2.95,3.66,-,-,-,-,-,-
12,EV/EBITDA Ratio,29.50,24.18,18.86,14.65,20.71,18.54,18.48,19.09,23.08,17.73,25.34,25.69,29.77,29.30,-,-,-,-,-,-
13,EV/EBIT Ratio,103.76,70.10,-,24.41,31.43,24.40,23.59,23.93,29.03,23.19,34.52,33.61,37.40,35.12,-,-,-,-,-,-
14,EV/FCF Ratio,-12.39,-,-,-18.40,-,-34.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-
