,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,480.2,519.11,576.86,528.97,635.96,710.29,231.75,198.87,289.32,231.72,268.69,396.81,418.11,114.45,-,107.4,79.22,-,61.13
1,Trading Asset Securities,-,50.5,50.58,50.27,50.31,-,0.04,100.46,100.69,196.43,157.39,55.53,-,-,-,25.13,88.61,-,152.05
2,Cash & Short-Term Investments,480.2,569.61,627.44,579.24,686.27,710.29,231.79,299.33,390.01,428.15,426.07,452.34,418.11,114.45,132.52,132.52,167.82,213.18,213.18
3,Cash Growth,-30.03%,-19.81%,170.70%,93.51%,75.96%,65.90%,-45.60%,-33.83%,-6.72%,274.11%,221.51%,241.33%,149.14%,-46.31%,-37.84%,-,-,-,-
4,Accounts Receivable,623.15,565.03,546.76,594.31,608.1,642.16,561.73,612.27,619.64,535.21,482.27,523.92,576.27,471.21,-,443.12,455.59,-,262.56
5,Other Receivables,2.92,3.43,15.39,3.73,3.72,2.7,2.35,4.8,2.81,1.9,2.44,4.36,1.46,1.69,-,2.81,2.72,-,1.22
6,Receivables,626.07,568.45,562.15,598.04,611.82,644.86,564.08,617.07,622.45,537.11,484.71,528.28,577.73,472.9,-,445.93,458.3,-,263.78
7,Inventory,435.78,444.01,373.3,393.59,418.56,395.94,418.54,382.66,343.48,427.14,383.18,357.82,287.91,281.93,-,264.94,205.77,-,205.33
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,0.08,-,-,-,-,-
9,Other Current Assets,44.39,42.18,28.04,23.77,31.46,52.11,40.85,24.6,30.99,20.78,31.48,23.31,31.51,23.99,-,23.47,30.39,-,17.78
10,Total Current Assets,1586,1624,1591,1595,1748,1803,1255,1324,1387,1413,1325,1362,1315,893.35,-,866.87,862.29,-,700.07
11,"Property, Plant & Equipment",628.7,608.47,517.21,456.22,379.83,363.09,319.49,289.22,251.91,218.97,201.81,203.6,190.35,189.84,-,182.57,179.18,-,177.66
12,Other Intangible Assets,77.71,78.52,78.79,79.25,37.3,37.72,38.14,32.77,33.13,33.49,33.57,24.51,24.77,24.99,-,25.51,25.6,-,26.08
13,Long-Term Deferred Tax Assets,12.05,11.5,11.53,11.05,7.92,7.59,9.28,9,7.5,7.08,5.48,5.03,4.87,4.55,-,4.55,5.69,-,5.16
14,Long-Term Deferred Charges,4.42,4.8,6.45,6.89,6.28,4.11,3.16,2.02,-,2.09,2.22,1.67,1.25,1.1,-,0.72,0.23,-,-
15,Other Long-Term Assets,41.13,37.92,52.18,69.29,61.97,52.62,71.66,48.49,54.2,46.22,24.16,14.15,10.05,5.46,-,4.46,6.42,-,6.64
16,Total Assets,2350,2365,2257,2217,2241,2268,1697,1705,1734,1721,1593,1611,1547,1119,-,1085,1079,-,915.6
17,Accounts Payable,465.99,465.37,357.29,325.95,353.86,381.41,336.36,320.17,371.65,382.12,344.12,336.52,277.83,238.69,-,230.09,293.22,-,296.24
18,Accrued Expenses,9.55,11.14,8.23,17.18,12.38,10.51,7.23,19.37,12.35,8.26,6.77,15.63,5.44,8.74,-,15.67,12.4,-,6.65
19,Short-Term Debt,266.15,282.52,256.77,212.79,188.23,227.35,221.5,220.65,235.53,252.04,202.94,219.61,187.72,179.01,-,186.61,159.23,-,125.38
20,Current Portion of Long-Term Debt,-,-,23.53,19.02,48.05,29.55,29.56,29.56,1,1.06,2.66,1.06,3.81,0.53,-,0.54,-,-,-
21,Current Portion of Leases,6,5.94,-,6.25,-,-,-,-,-,1.62,-,2.72,-,2.72,-,4.61,11.36,-,22.04
22,Current Income Taxes Payable,2.3,0.44,4.8,3.99,5.51,6.24,7.74,6.15,3.54,2.6,1.1,1.54,1.18,0.42,-,0.92,8.14,-,6.81
23,Current Unearned Revenue,2.31,1.37,1.34,1.75,4.91,3.17,2.27,1.06,0.72,2.65,0.73,2.21,1.2,0.39,-,5.01,3.7,-,6.68
24,Other Current Liabilities,58.64,63.46,59.35,73.29,74.97,64.33,47.65,76.38,69.76,65.66,43.55,49.13,107.05,85.73,-,92.28,98.19,-,17.81
25,Total Current Liabilities,810.93,830.24,711.3,660.23,687.92,722.57,652.3,673.33,694.55,716,601.86,628.42,584.22,516.24,-,535.72,586.25,-,481.61
26,Long-Term Debt,-,-,-,-,-,19,19,19,48,48.5,48.5,48.5,49,29.5,-,29.5,-,-,-
27,Long-Term Leases,5.76,7.09,8.4,6.52,-,-,-,-,1.69,-,-,-,1.39,1.41,-,-,-,-,1.59
28,Long-Term Unearned Revenue,5.53,5.53,5.53,5.53,5.53,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0.01,-,0
30,Total Liabilities,822.22,842.86,725.23,672.28,693.45,741.57,671.3,692.33,744.25,764.5,650.36,676.92,634.61,547.15,-,565.23,586.25,-,483.2
31,Common Stock,104.36,104.36,104.36,104.36,104.36,104.36,84.24,84.24,84.24,84.24,84.24,84.24,84.24,63.18,-,63.18,63.18,-,63.18
32,Additional Paid-In Capital,992.02,992.02,992.02,992.02,992.02,992.02,524.18,524.18,524.18,524.18,524.18,524.18,524.18,218.46,-,218.46,218.46,-,218.46
33,Retained Earnings,455.19,450.05,454.62,447.58,451.56,430.38,417.26,404.4,380.99,348.11,333.89,325.37,303.52,290.5,-,237.8,211.52,-,150.77
34,Treasury Stock,-24.94,-23.84,-20.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Comprehensive Income & Other,1.6,-,1.46,1.09,-,-,-,-,-,-,-,-,-,-,-,-,0,-,0
36,Shareholders' Equity,1528,1523,1532,1545,1548,1527,1026,1013,989.41,956.53,942.31,933.79,911.94,572.14,519.44,519.44,493.16,432.4,432.4
37,Total Liabilities & Equity,2350,2365,2257,2217,2241,2268,1697,1705,1734,1721,1593,1611,1547,1119,-,1085,1079,-,915.6
38,Total Debt,277.91,295.55,288.69,244.59,236.29,275.91,270.05,269.21,286.22,303.21,254.1,271.9,241.91,213.17,221.26,221.26,170.59,149.01,149.01
39,Net Cash (Debt),202.29,274.06,338.75,334.65,449.98,434.39,-38.27,30.11,103.79,124.94,171.97,180.44,176.2,-98.72,-88.74,-88.74,-2.77,64.17,64.17
40,Net Cash Growth,-55.04%,-36.91%,-,1011.26%,333.56%,247.69%,-,-83.31%,-41.10%,-,-,-,-,-,-,-,-,-,-
41,Net Cash Per Share,2.02,2.42,3.37,3.14,4.33,5.29,-0.45,0.36,1.23,1.51,2.00,2.15,2.82,-2.87,-0.96,-1.42,-0.04,1.03,1.01
42,Filing Date Shares Outstanding,102.67,102.75,102.96,102.96,104.36,104.36,84.24,84.24,84.24,84.24,84.24,84.24,84.24,63.18,92.62,63.18,63.18,62.16,63.18
43,Total Common Shares Outstanding,102.67,102.75,102.96,104.36,104.36,104.36,84.24,84.24,84.24,84.24,84.24,84.24,84.24,63.18,92.62,63.18,63.18,62.16,63.18
44,Working Capital,775.51,794.01,879.63,934.4,1060,1081,602.96,650.33,692.37,697.18,723.57,733.33,731.03,377.11,-,331.14,276.04,-,218.46
45,Book Value Per Share,14.89,14.82,14.88,14.80,14.83,14.63,12.18,12.02,11.75,11.35,11.19,11.08,10.83,9.06,8.22,8.22,7.81,6.84,6.84
46,Tangible Book Value,1451,1444,1453,1466,1511,1489,987.54,980.06,956.28,923.04,908.74,909.28,887.17,547.15,493.92,493.92,467.56,406.32,406.32
47,Tangible Book Value Per Share,14.13,14.05,14.11,14.05,14.48,14.27,11.72,11.63,11.35,10.96,10.79,10.79,10.53,8.66,7.82,7.82,7.40,6.43,6.43
48,Buildings,-,124.84,-,105.79,-,105.79,-,82.96,-,82.96,-,81.38,-,81.38,-,75.6,-,-,75.6
49,Machinery,-,413.33,-,382.01,-,349.31,-,276.91,-,221.18,-,216.6,-,201.22,-,191.62,-,-,176.55
50,Construction In Progress,-,215.21,-,91.05,-,41.4,-,46.44,-,21.02,-,7.58,-,1.92,-,6.37,-,-,4.65
