,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,926.88,810.76,838.35,825.7,887.35,766.49,719.83,808.83,880.23,648.64,643.57,735.64,778.39,601.69,584.43,694.49,641.57,499,499
1,Other Revenue,-32.64,32.64,-,49.78,-23.74,23.74,-,63.2,-30.49,30.49,-,48.38,-20.89,20.89,-,36.61,-,-,-
2,Revenue,894.24,843.4,838.35,875.48,863.61,790.24,719.83,872.03,849.74,679.13,643.57,784.02,757.51,622.58,584.43,731.11,641.57,499,499
3,Revenue Growth (YoY),3.55%,6.73%,16.47%,0.40%,1.63%,16.36%,11.85%,11.23%,12.18%,9.08%,10.12%,7.24%,18.07%,24.77%,17.12%,-,-,-,-
4,Cost of Revenue,795.5,748.56,737.7,767.05,748.61,706.98,626.61,764.68,753.35,615.71,559.69,684.91,648.33,535.3,461.27,606.27,512.63,407.5,407.5
5,Gross Profit,98.73,94.85,100.65,108.43,114.99,83.26,93.22,107.35,96.39,63.43,83.88,99.11,109.17,87.28,123.16,124.84,128.93,91.5,91.5
6,"Selling, General & Admin",43.01,45,44.19,44.81,44.05,32.14,34.5,36.65,31.54,25.98,31.31,18.5,48.44,27.57,33.22,22.34,45.5,23.46,23.46
7,Research & Development,34.19,34.95,30.09,33.39,34.6,29.89,27.41,32.51,27.71,24.5,27.04,29.22,22.32,21.99,20.98,24.54,23.58,17.81,17.81
8,Other Operating Expenses,-0.14,1.85,0.43,3.93,1.09,0.98,-0.02,9.07,4.59,1.82,1.02,11.53,-2.13,0.37,0.45,35,-29.67,2.34,2.34
