,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2169,2100,1971,2432,2845,2920,2849,2784,2680,2942,3009,3389,3926,-,-,-,-,-,-,-
1,Market Cap Growth,-28.09%,-28.09%,-30.81%,-12.67%,6.17%,-0.74%,-5.32%,-17.84%,-31.73%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1451,1332,1234,1646,2059,2127,1914,1830,1726,2068,2200,2557,3036,-,-,-,-,-,-,-
3,Last Close Price,16.66,15.95,14.97,17.71,20.72,21.27,21.68,20.65,19.87,21.82,22.31,24.48,28.35,-,-,-,-,-,-,-
4,PE Ratio,20.80,20.10,16.80,18.77,20.96,19.52,20.37,21.71,22.34,23.13,22.39,22.70,21.95,-,-,-,-,-,-,-
5,Forward PE,-,11.87,11.87,11.87,11.87,11.87,11.87,11.87,12.26,13.46,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,0.62,0.61,0.58,0.72,0.88,0.90,0.88,0.89,0.88,1.00,1.05,1.21,1.43,-,-,-,-,-,-,-
7,PB Ratio,1.01,0.97,0.92,1.11,1.33,1.39,1.39,1.33,1.30,1.46,1.51,1.65,1.94,-,-,-,-,-,-,-
8,P/TBV Ratio,1.04,1.04,1.00,1.21,1.44,1.51,1.51,1.44,1.42,1.51,1.57,1.71,2.02,-,-,-,-,-,-,-
9,P/FCF Ratio,17.97,-,33.86,-21.67,-,-,-,14.63,17.73,42.80,121.32,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,8.09,8.09,7.84,23.27,29.99,27.10,-,9.23,11.20,12.44,14.77,16.68,23.40,-,-,-,-,-,-,-
11,EV/Sales Ratio,0.42,0.39,0.36,0.49,0.63,0.66,0.59,0.59,0.57,0.70,0.77,0.91,1.10,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,9.14,8.11,7.07,9.24,11.11,11.49,10.78,10.91,11.01,12.58,12.82,12.93,12.75,-,-,-,-,-,-,-
13,EV/EBIT Ratio,17.07,14.49,12.05,15.30,17.93,18.51,17.42,18.19,18.71,20.16,19.67,18.28,16.66,-,-,-,-,-,-,-
14,EV/FCF Ratio,12.02,-,21.21,-14.67,-,-,-,9.62,11.42,30.09,88.70,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,0.12,0.25,0.28,0.28,-,0.33,0.33
16,Debt / EBITDA Ratio,0.01,0.01,0.02,0.01,0.00,0.01,0.01,0.01,0.01,-,-,-,-,1.20,1.16,0.76,1.15,-,1.04,1.04
17,Debt / FCF Ratio,0.02,-,0.04,-0.02,-,-,-,0.01,0.01,-,-,-,-,1.49,3.08,-,3.79,-,-,-
18,Asset Turnover,1.33,1.25,1.23,1.31,1.34,1.23,1.08,1.31,1.31,1.08,1.05,1.24,1.44,-,-,-,-,1.39,-,
19,Inventory Turnover,8.58,8.71,8.34,7.68,8.50,8.75,7.94,7.27,9.98,8.89,6.49,6.70,10.08,9.31,-,-,-,-,7.27,-
20,Quick Ratio,2.26,2.26,2.45,2.45,1.88,2.47,3.06,2.87,2.56,2.66,2.50,3.51,3.53,2.71,0.84,-,0.96,-,0.84,0.84
21,Current Ratio,3.35,3.35,3.33,3.43,2.83,3.44,4.14,3.71,3.30,3.30,3.38,4.78,4.48,3.24,1.51,-,1.44,-,1.25,1.25
22,Return on Equity (ROE),4.42%,3.63%,6.01%,5.39%,7.06%,6.13%,7.43%,8.32%,5.37%,4.00%,5.96%,9.97%,9.18%,14.75%,26.44%,-,-,22.00%,-,
23,Return on Assets (ROA),2.06%,1.40%,2.54%,2.52%,3.17%,1.96%,3.28%,2.54%,2.66%,1.09%,2.69%,3.71%,4.40%,-,-,-,-,8.27%,-,
24,Return on Capital (ROIC),2.58%,1.74%,3.19%,3.19%,3.94%,2.43%,4.19%,3.31%,3.45%,1.36%,3.25%,4.42%,5.34%,8.11%,14.90%,-,-,11.67%,-,
25,Return on Capital Employed (ROCE),3.78%,4.09%,4.63%,4.75%,5.18%,5.27%,5.14%,4.61%,4.30%,4.88%,5.39%,6.53%,8.70%,9.11%,22.22%,-,23.04%,-,11.31%,5.65%
26,Earnings Yield,4.82%,4.97%,5.95%,5.33%,4.77%,5.12%,4.91%,4.61%,4.48%,4.32%,4.47%,4.41%,4.56%,-,-,-,-,-,-,-
27,FCF Yield,5.56%,5.75%,2.95%,-4.61%,-5.00%,-3.16%,1.50%,6.83%,5.64%,2.34%,0.82%,0.18%,-1.30%,-,-,-,-,-,-,-
28,Dividend Yield,3.88%,-,-,-,3.14%,-,-,-,3.02%,-,-,-,2.27%,-,-,-,-,-,-,-
29,Payout Ratio,81.93%,11.74%,422.36%,-,-,-,237.53%,-,0.05%,-,400.19%,-,1.35%,7.47%,6.69%,3.36%,2.98%,47.70%,37.23%,37.23%
30,Buyback Yield / Dilution,-3.89%,6.41%,-17.47%,-0.24%,-4.18%,1.38%,-0.44%,1.29%,1.66%,-35.60%,-34.59%,-34.17%,-32.91%,-0.36%,0.75%,0.54%,-,-,-,-
31,Total Shareholder Return,-0.02%,6.41%,-17.47%,-0.24%,-1.04%,1.38%,-0.44%,1.29%,4.68%,-35.60%,-34.59%,-34.17%,-30.64%,-0.36%,0.75%,0.54%,-,-,-,-
