,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,135,227,159,211,292,332,470,282,238,284,384
1,Market Cap Growth,7.14%,7.14%,-45.40%,-36.36%,-37.86%,17.86%,97.18%,-0.59%,-37.99%,-89.03%,-81.81%
2,Enterprise Value,-591,-531,-767,-472,-706,-539,-622,-700,-590,-369,-385
3,Last Close Price,0.08,0.13,0.10,0.13,0.17,0.20,0.28,0.17,0.14,0.17,0.23
4,PE Ratio,9.62,16.22,13.13,49.15,17.69,11.07,15.09,5.75,4.57,4.46,3.19
5,PS Ratio,1.39,2.34,2.42,14.29,9.45,6.76,8.92,4.53,3.54,2.88,2.09
6,PB Ratio,0.11,0.19,0.13,0.18,0.24,0.26,0.35,0.22,0.19,0.25,0.34
7,P/TBV Ratio,0.19,0.19,0.13,0.18,0.24,0.26,0.35,0.22,0.19,0.25,0.34
8,P/FCF Ratio,-,-,-,-484.33,-,8.48,-,1.61,0.86,3.38,-
9,P/OCF Ratio,-,-,-,-484.33,-,8.47,-,1.61,0.86,3.38,-
10,EV/FCF Ratio,2.93,-,-,-,-,-,-,-,-,-,-
11,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.01
12,Debt / FCF Ratio,-,-,-,-18.03,-,0.22,-,0.04,0.01,0.06,-
13,Return on Capital Employed (ROCE),2.08%,2.37%,2.18%,1.28%,2.32%,2.89%,2.68%,3.67%,4.20%,7.04%,13.65%
14,Earnings Yield,10.33%,6.17%,7.62%,2.03%,5.65%,9.04%,6.63%,17.39%,21.88%,22.41%,31.30%
15,FCF Yield,-149.22%,-89.09%,52.25%,-0.21%,-42.48%,11.80%,-6.69%,62.14%,115.73%,29.55%,-19.31%
16,Buyback Yield / Dilution,-0.14%,-0.27%,-,-,-,-,-,-,0.14%,-2.98%,-4.88%
17,Total Shareholder Return,-0.14%,-0.27%,-,-,-,-,-,-,0.14%,-2.98%,-4.88%
