,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,838.14,814.04,928.49,-,-,1019,652.35,688.49,616.78,404.94,325.38,404.46,588.03,689.77,538.02,309.89,460.55,474.69,347.49,253.24,Upgrade
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,11,-,55,-,-,-,-,Upgrade
2,Trading Asset Securities,0.02,-,-,-,-,8.97,7.28,-,-,10,2.81,4.35,2.52,57.43,53.62,160.57,98.75,159.93,-,195.89,Upgrade
3,Cash & Short-Term Investments,838.17,814.04,928.49,-,-,1028,659.63,688.49,616.78,414.94,328.2,408.81,590.55,758.2,591.64,525.46,559.3,634.62,347.49,449.13,Upgrade
4,Cash Growth,-,-20.82%,40.76%,-,-,147.78%,100.99%,68.41%,4.44%,-45.27%,-44.53%,-22.20%,5.59%,19.47%,70.26%,17.00%,27.13%,1.10%,-1.37%,34.38%,Upgrade
5,Accounts Receivable,701.44,696.16,496.24,-,-,464.35,377.34,435.76,455.4,578.23,491.69,620.13,441.38,621.93,529.76,682.49,640.28,457.79,267.04,397.13,Upgrade
6,Other Receivables,16.48,15.16,13.5,-,-,6.07,11.67,8.67,13.26,16.32,11.11,13.1,15.86,35.68,13.51,15.19,11.86,23.72,6.96,65.13,Upgrade
7,Receivables,717.92,711.33,509.75,-,-,470.42,389.01,444.42,468.66,594.55,502.81,633.23,457.24,657.61,543.27,697.68,652.14,481.51,273.99,462.26,Upgrade
8,Inventory,536.6,554.94,421.91,-,-,370.41,364.06,406.65,451.83,524.29,650.25,714.36,740.13,824.1,808.18,770.3,520.92,348.96,309.64,292.22,Upgrade
9,Other Current Assets,198.55,166.13,123.58,-,-,114.4,111.51,108.24,149.37,200.97,230.92,203.35,175.52,166.94,178.1,163.18,162.7,87.18,143.38,50.59,Upgrade
10,Total Current Assets,2291,2246,1984,-,-,1983,1524,1648,1687,1735,1712,1960,1963,2407,2121,2157,1895,1552,1075,1254,Upgrade
11,"Property, Plant & Equipment",1243,1149,1101,-,-,1068,1071,1088,1066,1077,1024,1015,941.14,930.08,901.22,822.23,691.96,599.06,566.85,541.85,Upgrade
12,Long-Term Investments,34.11,34.11,34.11,-,-,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,17.07,17.07,17.07,17.07,Upgrade
13,Goodwill,5.06,5.06,5.06,-,-,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,5.06,-,Upgrade
14,Other Intangible Assets,355.98,361.13,359.68,-,-,264.55,250.68,209.12,211.88,205.06,202.97,199.93,197.81,197.7,192.97,177.94,184.87,185.35,186,75.67,Upgrade
15,Long-Term Deferred Tax Assets,25.92,15.72,14.47,-,-,6.5,6.14,7.67,5.54,6.39,5.89,6.92,4.75,5.07,4.65,5.68,5.29,4.9,3.64,4.38,Upgrade
16,Long-Term Deferred Charges,25.21,24.84,15.66,-,-,14.86,18.04,15.7,18.25,18.51,17.97,19.54,17.44,21.57,19.85,15.71,14.27,13.95,13.97,12.79,Upgrade
17,Other Long-Term Assets,7.36,7.48,7.61,-,-,8.02,3.56,3.62,3.72,3.83,3.93,4.04,4.14,4.24,-,-,-,-,-,-,Upgrade
18,Total Assets,3988,3843,3521,-,-,3361,2889,2987,3008,3061,2983,3221,3144,3581,3255,3194,2814,2378,1867,1906,Upgrade
19,Accounts Payable,761.56,813.85,514.23,-,-,579.9,509.63,623.46,631.22,714.11,638.59,838.57,711.36,1111,1019,1200,940.44,638.31,381.62,487.75,Upgrade
20,Accrued Expenses,108.64,124.86,62.38,-,-,126.55,56.3,137.52,85.69,99.24,68.58,119.02,68.04,85.52,73.28,92.54,72.35,80.07,35.54,76.19,Upgrade
21,Short-Term Debt,701.95,641.9,557.64,-,-,499.88,336.33,327.78,381.04,621.73,674.38,723.44,841.05,880.21,615.53,460.5,303.56,307.53,110.44,60.62,Upgrade
22,Current Portion of Long-Term Debt,51.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
23,Current Portion of Leases,-,1.83,51.66,-,-,3.14,3.03,4.91,10.56,10.44,10.24,4.59,-,-,-,-,-,-,-,-,Upgrade
24,Current Income Taxes Payable,23.6,8.67,25.53,-,-,13.51,15.97,11.2,29.52,5.5,27.38,1.42,6.71,1.22,7.65,2.3,21.03,11.63,4.7,2.79,Upgrade
25,Current Unearned Revenue,21.63,22.07,21.49,-,-,16.71,15.59,15.05,20.95,17.79,18.33,16.13,19.54,16.12,23.39,17.96,25.83,14.45,12.25,-,Upgrade
26,Other Current Liabilities,42.69,16.54,52.38,-,-,9.25,49.64,10.82,42.22,13.62,16.33,9.81,17.23,13.23,17.12,8.95,43.47,20.92,35.75,23.34,Upgrade
27,Total Current Liabilities,1711,1630,1285,-,-,1249,986.48,1131,1201,1482,1454,1713,1664,2107,1756,1782,1407,1073,580.29,650.69,Upgrade
28,Long-Term Debt,-,-,-,-,-,50.06,50.19,50.06,50.05,-,-,20.04,-,-,-,-,-,-,-,-,Upgrade
29,Long-Term Leases,33.24,1.87,2.11,-,-,2.12,2.61,3.51,3.64,4.57,5.33,12.73,24.21,25.69,31.34,-,-,-,-,-,Upgrade
30,Long-Term Unearned Revenue,3.25,3.38,3.85,-,-,4.84,4.88,4.91,4.95,0.22,0.26,0.3,0.33,0.37,0.41,0.44,0.48,0.52,0.56,0.59,Upgrade
31,Long-Term Deferred Tax Liabilities,22.67,22.67,19.04,-,-,21.64,22.21,22.04,12.97,12.97,14.37,14.64,10.29,10.21,10.94,11.13,6.65,5.94,6.38,6.43,Upgrade
32,Other Long-Term Liabilities,10.97,17.05,16.76,-,-,1.88,1.47,2.14,1.96,1.92,1.42,2.45,-,-,-,-,-,-,-,-,Upgrade
33,Total Liabilities,1781,1675,1327,-,-,1329,1068,1213,1275,1502,1475,1763,1699,2143,1798,1794,1414,1079,587.23,657.71,Upgrade
34,Common Stock,331.21,332.91,332.91,-,-,332.91,302.51,302.51,302.51,302.51,302.51,302.51,302.51,302.51,302.51,302.51,302.54,302.54,302.54,302.54,Upgrade
35,Additional Paid-In Capital,700.54,715.82,724.63,-,-,720.37,565.48,563.53,559.27,554.99,550.71,546.43,545,545,545,545,551.83,551.81,551.77,551.75,Upgrade
36,Retained Earnings,1167,1122,1171,-,-,972,987.05,935.32,885.03,736.52,713.54,666.29,645.59,598.95,614.71,560.05,534.69,432.62,416.73,388.03,Upgrade
37,Treasury Stock,-8.17,-25.93,-34.11,-,-,-34.11,-45.01,-45.01,-45.01,-45.01,-45.01,-45.01,-45.01,-,-,-,-6.14,-6.14,-6.28,-6.28,Upgrade
38,Comprehensive Income & Other,-5.49,2.61,-17.52,-,-,24.04,-2.37,3.57,17.4,-2.88,-26.06,-23.71,-12.2,-18.4,-15.63,-17.25,-2.1,-0.24,-0.41,-0.28,Upgrade
39,Total Common Equity,2185,2147,2176,-,-,2015,1808,1760,1719,1546,1496,1447,1436,1428,1447,1390,1381,1281,1264,1236,Upgrade
40,Minority Interest,21.11,21.53,17.52,-,-,16.08,13.96,13.8,13.77,13.06,11.59,10.88,9.62,9.65,10.49,9.7,18.93,17.69,15.51,12.5,Upgrade
41,Shareholders' Equity,2206,2169,2194,-,-,2031,1822,1774,1733,1559,1507,1457,1446,1438,1457,1400,1400,1298,1280,1248,Upgrade
42,Total Liabilities & Equity,3988,3843,3521,-,-,3361,2889,2987,3008,3061,2983,3221,3144,3581,3255,3194,2814,2378,1867,1906,Upgrade
43,Total Debt,786.28,645.6,611.41,-,-,555.2,392.16,386.26,445.28,636.74,689.95,760.8,865.26,905.9,646.87,460.5,303.56,307.53,110.44,60.62,Upgrade
44,Net Cash (Debt),51.89,168.44,317.08,-,-,472.92,267.47,302.23,171.5,-221.8,-361.76,-352,-274.71,-147.7,-55.23,64.96,255.74,327.09,237.05,388.5,Upgrade
45,Net Cash Growth,-,-64.38%,18.55%,-,-,-,-,-,-,-,-,-,-,-,-,-83.28%,-32.51%,-38.60%,-17.50%,17.03%,Upgrade
46,Net Cash Per Share,0.16,0.50,0.97,-,-,1.58,0.88,0.98,0.58,-0.71,-1.22,-1.17,-0.89,-0.50,-0.18,0.21,0.85,1.04,0.83,1.24,Upgrade
47,Filing Date Shares Outstanding,326.96,329.65,328.4,-,327.6,329.65,298.22,298.22,298.22,298.22,298.22,298.22,298.22,302.51,302.51,302.51,302.54,302.54,302.54,302.54,Upgrade
48,Total Common Shares Outstanding,326.96,329.65,328.4,-,327.6,329.65,298.22,298.22,298.22,298.22,298.22,298.22,298.22,302.51,302.51,302.51,302.54,302.54,302.54,302.54,Upgrade
