,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,1343,1190,856.69,-,968.82,834.71,696.71,847.41,997.29,1182,1008,1170,1066,1323,1066,1088,1105,787.7,429.58,665.08,Upgrade
1,Other Revenue,-5.15,5.15,-,-,-4.97,4.97,-,19.86,-19.95,19.95,-,33.08,-14.09,14.09,-,22.71,-3.91,3.91,-,13.86,Upgrade
2,Revenue,1338,1195,856.69,-,963.85,839.68,696.71,867.27,977.34,1202,1008,1203,1052,1338,1066,1111,1101,791.61,429.58,678.94,Upgrade
3,Revenue Growth (YoY),38.79%,42.37%,22.96%,-,-1.38%,-30.17%,-30.90%,-27.91%,-7.06%,-10.10%,-5.46%,8.27%,-4.52%,68.97%,148.25%,63.66%,74.70%,29.68%,-19.05%,-5.04%,Upgrade
4,Cost of Revenue,1036,918.13,667.23,-,736.92,646.09,540.32,696.04,763.07,985.25,840.41,1036,886.9,1154,906.94,1007,836,603.94,338.21,534.01,Upgrade
5,Gross Profit,302.16,277.33,189.45,-,226.93,193.59,156.39,171.23,214.27,217.17,167.85,167.55,164.64,183.69,159.51,104.51,265.37,187.67,91.37,144.93,Upgrade
6,"Selling, General & Admin",130.83,141.89,113.39,-,98.89,95.53,87.65,61.84,94.72,91.32,75.52,72.05,84.99,62.86,87.54,1.72,81.73,73.9,51.76,64.19,Upgrade
7,Research & Development,48.43,35.55,33.5,-,35.99,31.4,27.88,50.78,39.47,34.08,36.41,66.11,33.29,35.97,24.15,57.14,24.07,19.11,15.25,30.73,Upgrade
8,Other Operating Expenses,2.35,4.7,5.06,-,-1.71,-1.08,-17.12,17.75,-9.86,-4.3,3.73,22.13,2.91,6.66,-6.4,24.72,-2.94,-7.81,2.35,21.57,Upgrade
9,Operating Expenses,181.05,192.01,145.9,-,131.54,130.12,97.06,140.38,117.28,125.23,109.23,165.77,115.26,111.12,96.75,89.48,109.48,96.93,60.86,120.91,Upgrade
10,Operating Income,121.11,85.32,43.55,-,95.39,63.48,59.32,30.84,96.98,91.95,58.62,1.78,49.38,72.57,62.76,15.03,155.89,90.74,30.51,24.02,Upgrade
11,Interest Expense,-4.19,-3.68,-3.14,-,-2.1,-2.79,-2.3,-3.65,-5.14,-5.19,-6.39,-8.31,-7.25,-5.36,-5.3,-7.19,-6.07,-3.03,-1.58,-1.03,Upgrade
12,Interest & Investment Income,7.19,8.52,8,-,6.06,8.23,5.7,0.42,-,2.15,4.37,5.66,6.8,6.8,5.7,15.05,1.15,1.23,5.61,10.46,Upgrade
13,Currency Exchange Gain (Loss),-3.15,3.15,-,-,-34.27,34.27,-,29.35,-13.01,13.01,-,-17.55,10.5,-10.5,-,-63.55,-3.25,3.25,-,-3.04,Upgrade
14,Other Non Operating Income (Expenses),-10.84,0.42,-1.92,-,26.9,5.73,-5.31,-32.71,31.95,2.99,-3.32,6.72,-10.93,-1.87,0.63,34.22,-36.18,-0.37,2.37,-13.52,Upgrade
15,EBT Excluding Unusual Items,110.12,93.72,46.49,-,91.99,108.92,57.41,24.25,110.78,104.91,53.29,-11.7,48.5,61.64,63.79,-6.44,111.54,91.83,36.9,16.89,Upgrade
16,Gain (Loss) on Sale of Investments,0.1,-1.13,-0,-,-6.15,-2.52,0.97,0.09,-0.1,-2.6,-0.05,3.14,3.36,-1.09,-1.04,-3.46,9.35,-0.79,-4.19,3.93,Upgrade
17,Gain (Loss) on Sale of Assets,-0.49,-0.36,-0.42,-,0.15,-0.15,0.07,-1.68,89.62,1.27,0.19,-0.82,0.16,-0.18,-,-0.08,-0.04,0,-0.01,-0.1,Upgrade
18,Asset Writedown,-5.41,-0.48,0.48,-,-6.61,-,-,8.93,-8.93,-,-,3.43,-3.43,-,-,2.09,-2.09,-,-,0.41,Upgrade
19,Other Unusual Items,-2.58,3.04,-0.41,-,-1.3,0.38,-,19.78,-12.9,2.84,-,24.82,-,-,-,20.84,-,-,-,25.34,Upgrade
20,Pretax Income,101.74,94.79,46.14,-,78.08,106.63,58.44,51.37,178.46,106.42,53.43,18.88,48.59,60.38,62.74,12.95,118.76,91.04,32.7,46.48,Upgrade
21,Income Tax Expense,1.88,9.04,1.85,-,7.58,15.05,6.38,0.94,29.64,16.35,5.39,-2.86,2.24,1.66,7.34,-11.6,15.35,12.49,3.77,6.13,Upgrade
22,Earnings From Continuing Operations,99.86,85.75,44.29,-,70.5,91.58,52.06,50.43,148.83,90.07,48.03,21.74,46.36,58.71,55.41,24.55,103.41,78.54,28.94,40.35,Upgrade
23,Minority Interest in Earnings,-1.37,-2.1,-1.6,-,-1.27,-1.35,-0.33,-0.14,-0.32,-0.91,-0.78,-1.04,0.28,0.62,-0.74,0.78,-1.33,-2.14,-0.24,-2.28,Upgrade
