,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q3 2019,Q2 2019,Q1 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+20 Quarters
0,Cash & Equivalents,106787,17694,17694,8605,5139,25373,17007,9158,15802,5148,-,6042,3720,24759,107009,23104,3509,2665,2830,20417,Upgrade
1,Short-Term Investments,13700,28720,28720,-,-,-,15655,24685,9030,15640,-,34000,19400,30955,40405,17310,23030,21182,24631,16714,Upgrade
2,Cash & Short-Term Investments,120487,46414,46414,8605,5139,25373,32662,33843,24832,20788,-,40042,23120,55714,147414,40414,26539,23847,27461,37131,Upgrade
3,Cash Growth,2244.70%,82.93%,42.10%,-74.57%,-79.31%,22.06%,-,-15.48%,7.40%,-62.69%,-,-0.92%,-12.88%,133.63%,436.82%,8.84%,-54.59%,-,-,-14.52%,Upgrade
4,Accounts Receivable,4240278,5836295,5836295,5353352,5596147,6229479,5678551,4835681,4494448,3914026,-,4586892,3175383,3342561,3061856,3383245,3888431,4241902,4270126,3588194,Upgrade
5,Other Receivables,389295,500119,500119,458929,460790,374510,246633,312065,428749,427170,-,690339,653555,235735,174175,146019,342625,291070,272859,279578,Upgrade
6,Receivables,4629573,6336414,6336414,5812280,6056936,6603989,5925184,5147746,4923197,4341196,-,5277231,3828938,3578296,3236031,3529264,4231056,4532972,4542985,3867772,Upgrade
7,Inventory,2.39,2.82,2.82,3.03,3.18,3.25,2.04,2.11,2.26,2.33,-,12220,2.84,2.95,4.24,4.56,4.16,4.81,3.26,3.48,Upgrade
8,Prepaid Expenses,6105,2558,2558,3648,4223,4946,5208,385.89,309.59,312.82,-,236.47,258.21,152.84,791.76,103.46,123.4,261.9,376.64,229.09,Upgrade
9,Other Current Assets,611.25,551.25,551.25,551.61,551.61,700.11,914.22,1683,2583,6258,-,4347,5172,551.25,551.25,2130,2018,200153,39721,49518,Upgrade
10,Total Current Assets,4756778,6385940,6385940,5825088,6066853,6635011,5963971,5183660,4950923,4368557,-,5334076,3857491,3634717,3384792,3571917,4259741,4757239,4610547,3954654,Upgrade
11,"Property, Plant & Equipment",30525,31643,31643,32566,33065,33563,34062,34174,31001,31461,-,32389,32873,33390,33272,32322,32793,33740,32047,32519,Upgrade
12,Other Long-Term Assets,2.86,4.76,4.76,3.86,5.27,5.59,4.14,10.57,12.07,15.84,-,18.57,16,16.76,17.09,17.84,24256,21.08,22.33,22.98,Upgrade
13,Total Assets,4787306,6417588,6417588,5857658,6099923,6668580,5998037,5217844,4981936,4400034,-,5366483,3890380,3668124,3418081,3604256,4316790,4791000,4642617,3987195,Upgrade
14,Accounts Payable,2525358,4241194,4241194,3189558,3463963,4085487,3543781,3015242,2444187,2070947,-,3028660,1481770,1693774,1538007,1304902,2044936,2815511,2358626,1848156,Upgrade
15,Accrued Expenses,8794,4568,4568,24440,30260,27366,30750,31286,13577,16745,-,18599,21152,23439,18047,27889,25944,3105,19486,94901,Upgrade
16,Short-Term Debt,1603300,1335000,1335000,2199600,2183400,1878000,1818585,1634365,1791950,1789950,-,1352699,1711200,1353350,1287090,1752540,1731990,1739732,1727576,1870665,Upgrade
17,Current Income Taxes Payable,2578,6537,6537,5243,1632,3792,6858,4810,1638,410.87,-,3143,808.18,3940,2361,1893,854.42,705.23,300.8,792.45,Upgrade
18,Other Current Liabilities,412521,605410,605410,220524,209687,463322,393201,327757,533657,325386,-,773669,495581,413992,407882,352823,341021,60893,366170,2583,Upgrade
19,Total Current Liabilities,4552551,6192709,6192709,5639365,5888943,6457967,5793176,5013461,4785008,4203439,-,5176770,3710511,3488495,3253388,3440048,4144746,4619946,4472159,3817097,Upgrade
20,Other Long-Term Liabilities,-,-,-,-,-,-,1088,1088,1088,1088,-,1088,1088,1088,1088,944,1112,1112,1112,944,Upgrade
21,Total Liabilities,4552551,6192709,6192709,5639365,5888943,6457967,5794264,5014549,4786096,4204527,-,5177858,3711599,3489583,3254476,3440992,4145858,4621058,4473271,3818041,Upgrade
22,Common Stock,82147,82147,82147,82147,82147,82147,82147,82147,82147,82147,-,82147,82147,82147,82147,82147,82147,82147,82147,82147,Upgrade
23,Additional Paid-In Capital,32390,32390,32390,32390,32390,32390,32390,32390,32390,32390,-,32390,32390,32390,32390,32390,32390,32390,32390,32390,Upgrade
24,Retained Earnings,119382,109506,109506,102921,95608,95240,88401,87923,80468,80134,-,73252,63408,63169,48233,47892,55560,54569,53973,53781,Upgrade
25,Treasury Stock,-8157,-8157,-8157,-8157,-8157,-8157,-8157,-8157,-8157,-8157,-,-8157,-8157,-8157,-8157,-8157,-8157,-8157,-8157,-8157,Upgrade
26,Comprehensive Income & Other,8993,8993,8993,8993,8993,8993,8993,8993,8993,8993,-,8993,8993,8993,8993,8993,8993,8993,8993,8993,Upgrade
