,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q3 2019,Q2 2019,Q1 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019",+20 Quarters
0,Revenue,3880043,3880444,3359291,2777755,3007892,4593187,3293956,2497352,2541141,2106020,2145514,4368526,1699484,2237670,2030605,1731800,3238413,3694624,3805003,3179887,Upgrade
1,Revenue Growth (YoY),29.00%,-15.52%,1.98%,11.23%,18.37%,118.10%,53.53%,-42.83%,49.52%,-5.88%,5.66%,152.25%,-47.52%,-39.43%,-46.63%,-45.54%,-3.59%,103.54%,9.98%,130.54%,Upgrade
2,Cost of Revenue,3873354,3876691,3353574,2771871,2998921,4582832,3279097,2491108,2523024,2100012,2137899,4335609,1688380,2217703,2004544,1720248,3213515,3679733,3755036,3101511,Upgrade
3,Gross Profit,6690,3753,5716,5884,8972,10355,14860,6243,18117,6008,7615,32917,11104,19967,26061,11552,24898,14892,49968,78376,Upgrade
4,"Selling, General & Admin",2693,3350,2875,2215,2026,3480,1743,1803,1750,2584,1576,6158,1413,6002,2219,3361,1464,2287,2042,1704,Upgrade
5,Operating Expenses,2693,3350,2875,2215,2026,3480,1743,1803,1750,2584,1576,6158,1413,6002,2219,3361,1464,2287,2042,1704,Upgrade
6,Operating Income,3996,403.58,2842,3669,6946,6875,13117,4440,16367,3424,6039,26759,9691,13965,23842,8191,23434,12605,47925,76672,Upgrade
7,Interest Expense,-48954,-54084,-59081,-81070,-64986,-48097,-45558,-44400,-31266,-40822,-35566,-35958,-36769,-38052,-38294,-69014,-47824,-31751,-8709,-78191,Upgrade
8,Interest & Investment Income,109805,163066,136314,209180,102458,134512,58515,89637,56338,117025,51953,60427,39594,63570,30010,60530,34370,20555,1277,5951,Upgrade
9,Other Non Operating Income (Expenses),-53395,-94744,-72479,-122638,-43958,-77773,-25477,-40359,-41020,-71230,-22153,-38923,-12216,-19495,-15132,490.45,-9663,-663.49,-40254,-4276,Upgrade
10,EBT Excluding Unusual Items,11452,14642,7596,9141,459.81,15517,597,9319,417.86,8397,273.56,12304,299.35,19989,426.4,196.54,317.4,745.54,239.33,156.96,Upgrade
11,Pretax Income,11452,14642,7596,9141,459.81,15517,597,9319,417.86,8397,273.56,12304,299.35,19989,426.4,196.54,317.4,745.54,239.33,156.96,Upgrade
12,Income Tax Expense,2372,3018,1564,1828,91.96,3200,119.4,1864,83.57,1734,54.71,2461,59.87,5303,85.28,39.31,63.48,149.11,47.87,31.39,Upgrade
13,Net Income,9080,11623,6031,7313,367.85,12317,477.6,7455,334.28,6663,218.85,9844,239.48,14686,341.12,157.23,253.92,596.43,191.47,125.57,Upgrade
14,Net Income to Common,9080,11623,6031,7313,367.85,12317,477.6,7455,334.28,6663,218.85,9844,239.48,14686,341.12,157.23,253.92,596.43,191.47,125.57,Upgrade
15,Net Income Growth,2368.42%,-5.63%,1162.86%,-1.90%,10.04%,84.86%,118.23%,-24.27%,39.59%,-54.63%,-35.84%,6160.49%,-5.69%,2362.38%,78.16%,25.22%,34.29%,670.11%,53.80%,-19.03%,Upgrade
16,Shares Outstanding (Basic),8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,Upgrade
17,Shares Outstanding (Diluted),8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,Upgrade
18,Shares Change (YoY),0.01%,0.07%,-1.74%,0.09%,0.68%,-0.11%,1.84%,-0.03%,0.63%,0.07%,0.82%,-0.47%,-2.64%,-0.30%,-2.82%,0.17%,0.72%,1.33%,2.53%,1.21%,Upgrade
19,EPS (Basic),1160.00,1485.00,771.15,934.00,47.00,1574.82,61.00,953.00,43.00,851.00,28.00,1258.00,31.00,1877.00,44.00,20.00,32.00,76.00,24.00,16.00,Upgrade
20,EPS (Diluted),1160.00,1485.00,771.15,934.00,47.00,1574.82,60.00,953.00,43.00,851.00,28.00,1258.00,31.00,1877.00,44.00,20.00,32.00,76.00,24.00,16.00,Upgrade
21,EPS Growth,2368.09%,-5.70%,1185.25%,-1.99%,9.30%,85.06%,114.29%,-24.24%,38.71%,-54.66%,-36.36%,6190.00%,-3.13%,2369.74%,83.33%,25.00%,33.33%,660.00%,50.00%,-20.00%,Upgrade
22,Free Cash Flow,-,453858,453858,-12804,-325734,-64101,-185530,166320,1810,-,-468496,375395,-391413,-152473,572062,-209795,214824,-16486,133599,-117185,Upgrade
23,Free Cash Flow Per Share,-,57985.15,58027.79,-1635.34,-41618.72,-8195.55,-23307.78,21261.44,232.78,-,-59940.29,47975.27,-50667.44,-19486.89,73788.49,-26685.94,27072.93,-2100.69,16746.31,-14931.66,Upgrade
24,Dividend Per Share,-,-,-,-,-,600.000,-,-,-,700.000,-,-,-,-,-,-,-,-,-,-,Upgrade
25,Dividend Growth,-,-,-,-,-,-14.29%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
