,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,18827,16477,10347,10347,13497,-,-,-
1,Market Cap Growth,59.25%,59.25%,-23.34%,-,-,-,-,-
2,Enterprise Value,18057,15601,9853,9847,13840,-,-,-
3,Last Close Price,47.30,40.71,25.10,24.89,32.19,-,-,-
4,PE Ratio,23.01,20.14,20.37,52.40,81.16,-,-,-
5,Forward PE,18.90,17.31,22.35,23.29,-,-,-,-
6,PS Ratio,2.87,2.51,2.24,3.19,4.46,-,-,-
7,PB Ratio,8.32,7.21,4.63,5.50,7.00,-,-,-
8,P/TBV Ratio,7.34,7.34,4.71,5.60,7.08,-,-,-
9,P/FCF Ratio,28.32,24.79,14.27,42.60,-671.95,-,-,-
10,P/OCF Ratio,19.37,19.37,12.59,33.86,326.54,-,-,-
11,PEG Ratio,0.35,0.35,0.37,0.38,-,-,-,-
12,EV/Sales Ratio,2.75,2.38,2.13,3.04,4.58,-,-,-
13,EV/EBITDA Ratio,18.76,16.70,18.12,56.43,99.24,-,-,-
14,EV/EBIT Ratio,21.20,18.18,21.05,93.09,212.10,-,-,-
15,EV/FCF Ratio,27.17,23.47,13.59,40.54,-689.03,-,-,-
16,Debt / Equity Ratio,0.06,0.06,0.08,0.19,0.43,0.54,0.30,-
17,Debt / FCF Ratio,0.20,0.20,0.25,1.47,-40.99,-,1.05,-
18,Return on Capital Employed (ROCE),36.95%,36.95%,20.46%,5.44%,3.15%,17.34%,29.20%,-
19,Earnings Yield,4.35%,4.96%,4.91%,1.91%,1.23%,-,-,-
20,FCF Yield,3.53%,4.03%,7.01%,2.35%,-0.15%,-,-,-
21,Dividend Yield,3.84%,3.96%,4.17%,0.87%,-,-,-,-
22,Buyback Yield / Dilution,-4.73%,-0.01%,-9.91%,-10.53%,-0.56%,-,-,-
23,Total Shareholder Return,-0.89%,3.95%,-5.74%,-9.66%,-0.56%,-,-,-
