,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,569.39,697.69,581.01,1148,114.97,145.21,-
1,Short-Term Investments,-,66.25,-,23.88,19.25,12.34,-
2,Trading Asset Securities,288.38,216.81,218,-,29,-,-
3,Cash & Short-Term Investments,857.76,980.75,799.01,1172,163.21,157.54,-
4,Cash Growth,7.35%,-16.29%,389.55%,643.66%,-,-,-
5,Accounts Receivable,318.93,321.25,289.9,373.99,295.89,374.87,-
6,Other Receivables,-,2.44,-,7.78,18.72,0.99,-
7,Receivables,318.93,323.68,289.9,381.77,314.61,375.86,-
8,Inventory,636.68,510.76,472.46,518.11,571.46,621.2,-
9,Other Current Assets,575.87,263.12,264.72,180.7,172.45,168.51,-
10,Total Current Assets,2389,2078,1826,2252,1222,1323,-
11,"Property, Plant & Equipment",725.77,725.58,734.96,745.75,763.93,798.09,-
12,Long-Term Investments,100.64,168.11,116.61,1.8,1.26,1.65,-
13,Other Intangible Assets,15.1,16.86,17.94,19.42,19.05,18.23,-
14,Long-Term Deferred Tax Assets,143.75,112.94,104.46,100.5,99.57,103.08,-
15,Other Long-Term Assets,92.49,27.02,22.09,26.03,30.5,30.41,-
16,Total Assets,3467,3129,2822,3146,2136,2275,-
17,Accounts Payable,584.59,518.61,359.45,424.15,382.99,565.96,-
18,Accrued Expenses,-,194.54,-,128.37,139.24,224.43,-
19,Short-Term Debt,60,100.01,-,520.28,215.82,29.97,-
20,Current Portion of Long-Term Debt,-,-,253.04,70,50,30,-
21,Current Portion of Leases,37.26,29.76,29.9,26.89,24.39,21.9,-
22,Current Income Taxes Payable,143.47,136.2,61.67,36.69,36.17,39.05,-
23,Current Unearned Revenue,-,38.82,-,41.42,74.19,81.12,-
24,Other Current Liabilities,480.28,33.46,318.74,65.94,221.31,107.7,-
25,Total Current Liabilities,1306,1051,1023,1314,1144,1100,-
26,Long-Term Debt,-,-,6.4,60.09,95.09,130.09,-
27,Long-Term Leases,24.38,35.8,40.1,50.94,60.37,73.08,-
28,Long-Term Unearned Revenue,11.45,12.39,13.33,14.26,15.2,16.23,-
29,Total Liabilities,1341,1100,1083,1439,1315,1320,-
30,Common Stock,398,397.96,397.96,396.96,360,360,-
31,Additional Paid-In Capital,792.27,792.27,792.27,772.89,-,-,-
32,Retained Earnings,613.92,511.21,230.66,229.19,147.42,282.08,-
33,Comprehensive Income & Other,301.09,307.6,306.03,306.06,303.48,307.9,-
34,Total Common Equity,2105,2009,1727,1705,810.9,949.98,-
35,Minority Interest,20.27,20.19,12.61,1.56,10.36,5.06,-
36,Shareholders' Equity,2126,2029,1740,1707,821.26,955.04,-
37,Total Liabilities & Equity,3467,3129,2822,3146,2136,2275,-
38,Total Debt,121.64,165.57,329.43,728.2,445.67,285.04,-
39,Net Cash (Debt),736.12,815.18,469.59,443.39,-282.45,-127.49,-
40,Net Cash Growth,56.76%,83.85%,-,-,-,-,-
41,Net Cash Per Share,1.85,2.05,1.18,1.22,-0.78,-0.35,-
42,Filing Date Shares Outstanding,398,397.96,397.96,397.96,360,360,360
43,Total Common Shares Outstanding,398,397.96,397.96,396.96,360,360,360
44,Working Capital,1084,1027,803.29,938.44,77.61,222.98,-
45,Book Value Per Share,5.29,5.05,4.34,4.30,2.25,2.64,-
46,Tangible Book Value,2090,1992,1709,1686,791.85,931.75,-
47,Tangible Book Value Per Share,5.25,5.01,4.29,4.25,2.20,2.59,-
48,Buildings,-,527.8,-,501.95,500.29,502.92,-
49,Machinery,-,300.35,-,267.13,263.63,261.35,-
50,Construction In Progress,-,0.76,-,10.73,1.39,0.89,-
51,Leasehold Improvements,-,60.73,-,49.32,24.73,28.1,-
