,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,3502,2604,1587,1413,1262,1787,1832
1,Revenue Growth (YoY),120.72%,84.29%,25.70%,-20.94%,-31.08%,-,-
2,Cost of Revenue,822.52,689.28,491.34,544.92,464.33,666.87,658.24
3,Gross Profit,2680,1915,1095,868.02,798.06,1120,1173
4,"Selling, General & Admin",2130,1487,962.52,770.61,710.47,916.77,917.23
5,Research & Development,78.32,71.42,54.39,58.36,51.93,54.99,49.76
6,Other Operating Expenses,20.67,3.17,21.49,1.68,3.28,4.84,0.95
7,Operating Expenses,2234,1562,1024,841.95,766.41,979.95,970.89
8,Operating Income,445.57,353.12,71.83,26.07,31.65,140.35,202.59
9,Interest Expense,-3.16,-4.57,-11.66,-10.68,-9.79,-7.78,-13.15
10,Interest & Investment Income,-,9.37,-,0.81,-,0.22,0.24
11,Earnings From Equity Investments,-3,-3.12,-2.88,-0.84,-0.39,-0.59,0.44
12,Currency Exchange Gain (Loss),2.8,-1.74,14.54,-2.19,-2.36,-1.6,-3.55
13,Other Non Operating Income (Expenses),36.39,81.99,36.16,62.64,59.19,73.69,14.95
14,EBT Excluding Unusual Items,478.6,435.04,107.99,75.81,78.3,204.29,201.51
15,Gain (Loss) on Sale of Investments,-10.09,-0.3,16.43,0.01,0.07,-,-
16,Gain (Loss) on Sale of Assets,-,0.06,-,0.04,-,2.28,0.05
17,Other Unusual Items,-,-,-,-,-,-2.52,2.52
18,Pretax Income,468.51,434.79,124.42,75.87,78.37,204.04,204.08
19,Income Tax Expense,56.09,74.07,23.48,1.57,15.59,39.53,29.82
20,Earnings From Continuing Operations,412.43,360.73,100.94,74.3,62.78,164.51,174.26
21,Minority Interest in Earnings,-11.23,-0.59,0.03,7.47,2.56,-0.23,0.35
22,Net Income,401.2,360.14,100.97,81.77,65.34,164.28,174.6
23,Net Income to Common,401.2,360.14,100.97,81.77,65.34,164.28,174.6
24,Net Income Growth,297.36%,340.46%,54.52%,-50.23%,-62.58%,-,-
25,Shares Outstanding (Basic),398,398,398,362,360,360,360
26,Shares Outstanding (Diluted),398,398,398,362,360,360,360
27,Shares Change (YoY),0.01%,9.91%,10.53%,0.56%,-,-,-
28,EPS (Basic),1.01,0.91,0.25,0.23,0.18,0.46,0.49
29,EPS (Diluted),1.01,0.91,0.25,0.23,0.18,0.46,0.49
30,EPS Growth,297.31%,300.73%,39.80%,-50.51%,-62.58%,-,-
31,Free Cash Flow,96.66,521.96,136.38,88.4,-106.17,139.1,132.97
32,Free Cash Flow Per Share,0.24,1.31,0.34,0.24,-0.29,0.39,0.37
33,Dividend Per Share,0.750,0.750,0.200,-,-,-,-
34,Dividend Growth,275.00%,-,-,-,-,-,-
35,Operating Margin,12.72%,13.56%,4.53%,1.84%,2.51%,7.85%,11.06%
36,Profit Margin,11.45%,13.83%,6.36%,5.79%,5.18%,9.19%,9.53%
37,Free Cash Flow Margin,2.76%,20.05%,8.59%,6.26%,-8.41%,7.78%,7.26%
38,EBITDA,481.83,387.39,106.15,55.34,68.02,174.71,229.99
39,D&A For EBITDA,36.26,34.27,34.32,29.27,36.37,34.36,27.4
40,EBIT,445.57,353.12,71.83,26.07,31.65,140.35,202.59
