,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,172,141,148,200,176,151,211,394,538,2500,4928
1,Market Cap Growth,-29.27%,-29.27%,-15.74%,32.65%,-16.92%,-61.75%,-60.68%,-84.23%,-89.09%,-54.91%,-20.58%
2,Enterprise Value,426,350,358,434,319,154,374,500,523,2368,4813
3,Last Close Price,0.11,0.09,0.09,0.12,0.11,0.10,0.14,0.32,0.48,2.23,4.33
4,PE Ratio,18.72,15.37,25.84,13.58,-19.17,-,-,-,-,-,-
5,Forward PE,-,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04,14.04
6,PS Ratio,0.31,0.26,0.26,0.33,0.25,0.21,0.39,0.95,1.19,6.29,8.24
7,PB Ratio,0.20,0.17,0.17,0.24,0.20,0.17,0.22,0.43,0.60,2.96,5.41
8,P/TBV Ratio,0.17,0.17,0.17,0.24,0.20,0.17,0.22,0.43,0.60,2.96,5.41
9,P/FCF Ratio,190.76,-,-1.97,-,-,-2.24,-,-,-4.69,-,25.95
10,P/OCF Ratio,2.50,2.50,13.67,-,-,-3.10,-,-,-5.48,-,24.86
11,PEG Ratio,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30
12,EV/Sales Ratio,0.77,0.63,0.62,0.71,0.44,0.22,0.70,1.21,1.16,5.96,8.05
13,EV/EBITDA Ratio,22.46,-,-33.88,-,-7.67,-,-,-,-,-,-
14,EV/EBIT Ratio,61.83,-,-,-,-,-,-,-,-,-,-
15,EV/FCF Ratio,471.30,-,-4.77,-,-,-2.30,-,-,-4.57,-,25.35
16,Debt / Equity Ratio,0.57,0.57,0.56,0.65,0.60,0.60,0.49,0.71,0.39,0.24,0.30
17,Debt / FCF Ratio,532.51,-,-6.42,-,-,-7.83,-,-,-3.07,-,1.45
18,Earnings Yield,5.34%,6.51%,3.87%,7.37%,-5.22%,-33.14%,-34.77%,-15.42%,-4.24%,-1.04%,0.77%
19,FCF Yield,0.52%,0.64%,-50.70%,-55.65%,-9.79%,-44.55%,-50.43%,0.77%,-21.30%,0.59%,3.85%
20,Buyback Yield / Dilution,-0.56%,-,-1.13%,-10.00%,-27.78%,-30.56%,-12.36%,-1.10%,-,-,-
21,Total Shareholder Return,-0.56%,-,-1.13%,-10.00%,-27.78%,-30.56%,-12.36%,-1.10%,-,-,-
