,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,15081,10466,16053,13268,19416,23304,29553,38669,23621,10487,10556,Upgrade
1,Market Cap Growth,-21.12%,-21.12%,-17.32%,-43.07%,-34.30%,-39.73%,25.11%,268.72%,123.77%,9.32%,10.96%,Upgrade
2,Enterprise Value,16038,8836,15439,9699,17380,19158,28615,36481,24008,10516,11648,Upgrade
3,Last Close Price,6.06,4.11,5.87,4.83,6.58,7.78,9.79,13.65,8.31,4.07,4.21,Upgrade
4,PE Ratio,23.90,15.05,20.45,22.81,22.63,16.71,21.18,30.01,20.83,12.05,12.50,Upgrade
5,Forward PE,19.94,11.11,14.70,13.32,12.31,14.73,15.48,24.65,18.29,10.62,12.69,Upgrade
6,PS Ratio,0.90,0.59,0.85,0.67,0.86,0.99,1.31,1.96,1.41,0.76,0.78,Upgrade
7,PB Ratio,1.27,0.85,1.24,1.07,1.42,1.64,2.07,3.44,2.27,1.33,1.44,Upgrade
8,P/TBV Ratio,0.96,0.96,1.38,1.19,1.56,1.80,2.28,3.93,2.59,1.58,1.76,Upgrade
9,P/FCF Ratio,28.38,-,32.39,-,30.23,-,35.67,-,20.36,-,14.90,Upgrade
10,P/OCF Ratio,12.74,-,20.24,-,22.46,-,25.02,-,17.26,-,12.51,Upgrade
11,PEG Ratio,1.13,0.48,0.55,0.49,0.62,0.75,0.57,0.95,1.22,0.58,2.39,Upgrade
12,EV/Sales Ratio,0.90,0.50,0.82,0.49,0.77,0.81,1.27,1.85,1.43,0.76,0.86,Upgrade
13,EV/EBITDA Ratio,22.48,15.24,20.44,14.25,18.99,15.07,23.78,26.74,18.76,9.70,10.50,Upgrade
14,EV/EBIT Ratio,40.23,20.20,28.49,21.32,26.11,18.96,29.11,31.99,21.37,11.44,12.36,Upgrade
15,EV/FCF Ratio,30.18,-,31.15,-,27.06,-,34.54,-,20.70,-,16.44,Upgrade
16,Debt / Equity Ratio,0.33,0.33,0.27,0.37,0.18,0.25,0.21,0.32,0.24,0.46,0.42,Upgrade
17,Debt / FCF Ratio,7.69,-,7.05,-,3.89,-,3.54,-,2.14,-,4.30,Upgrade
18,Return on Capital Employed (ROCE),3.11%,3.11%,3.49%,2.92%,4.39%,7.01%,6.20%,8.87%,9.12%,8.61%,11.09%,Upgrade
19,Earnings Yield,4.61%,6.65%,4.89%,4.38%,4.42%,5.99%,4.72%,3.33%,4.80%,8.30%,8.00%,Upgrade
20,FCF Yield,3.52%,5.08%,3.09%,5.18%,3.31%,2.03%,2.80%,2.45%,4.91%,9.20%,6.71%,Upgrade
21,Buyback Yield / Dilution,6.59%,6.87%,6.31%,4.91%,1.09%,-4.89%,-3.74%,-8.12%,-10.59%,0.60%,5.29%,Upgrade
22,Total Shareholder Return,7.93%,6.87%,6.31%,4.91%,1.09%,-4.89%,-3.74%,-8.12%,-10.59%,0.60%,5.29%,Upgrade
