,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,910.74,682.32,750.52,271.69,456.99,381.87,301.32,446.84,514.58,706.57,925.21,1032,1044,1128,694.72,2089
1,Other Revenue,-131.52,131.52,-,222.44,-87.85,87.85,-,192.95,-92.83,92.83,-,181.31,-81,81,-,-1518
2,Revenue,779.22,813.84,750.52,494.13,369.14,469.73,301.32,639.79,421.74,799.41,925.21,1213,963.34,1209,694.72,570.67
3,Revenue Growth (YoY),111.09%,73.26%,149.08%,-22.77%,-12.47%,-41.24%,-67.43%,-47.26%,-56.22%,-33.90%,33.18%,112.57%,-,-,-,-
4,Cost of Revenue,560.09,575.99,551.52,378.29,244.19,310.99,191.57,421.71,263.66,504.91,579.21,761.38,581.07,840.12,430.16,399.85
5,Gross Profit,219.14,237.85,199,115.84,124.95,158.74,109.74,218.08,158.09,294.5,346,451.69,382.27,369.32,264.56,170.82
6,"Selling, General & Admin",77.56,112.94,98,90.1,37.21,95.52,44.38,93.78,82.48,77.6,114.25,153.02,96.58,115.74,89.47,267.53
7,Research & Development,73.72,53.11,48.01,65.39,36.08,51.25,37.93,62.54,48.4,50.21,65.33,64.41,68.77,62.4,64.36,160.87
8,Other Operating Expenses,-36.9,-9.67,-15.27,13.42,-16.55,-10.34,-17.24,-8.66,-25.73,-32.37,-59.11,-36.03,-17.38,1.52,-0.27,-13.81
9,Operating Expenses,126.42,168.46,131.54,194.65,47.45,149.75,62.46,131.17,106.66,102.74,129.11,194.18,155.85,184.13,159.1,417.35
10,Operating Income,92.72,69.39,67.46,-78.8,77.5,8.99,47.29,86.91,51.43,191.75,216.89,257.51,226.42,185.18,105.46,-246.52
11,Interest Expense,-1.25,-2.88,-3.62,-1.16,-1.17,-1.63,-1.45,-1.51,-1.92,-5.34,-6.01,-6.74,-4.39,-2.07,-0.07,-0.27
12,Interest & Investment Income,7.87,4.33,5.79,5.27,7.99,31.43,13.42,11.78,12.38,13.25,3.32,0.37,0.42,0.5,5.65,7.55
13,Currency Exchange Gain (Loss),1.31,-1.31,-,-7.05,2.94,-2.94,-,1.75,-4.42,4.42,-,15.47,-3.87,3.87,-,-3.95
14,Other Non Operating Income (Expenses),-6.88,-0.76,-0.42,1.77,-4.67,2.23,-3.21,-3.95,3.11,-6.16,3.03,-8.55,9,-4.55,3.67,286.77
15,EBT Excluding Unusual Items,93.77,68.76,69.21,-79.97,82.59,38.08,56.04,94.97,60.58,197.93,217.23,258.07,227.58,182.93,114.71,43.57
