,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,1174,1890,2223,1919,2189,2220,2912,2987,2502,2602,3200,220.52,-,198.97,-,554.52
1,Cash & Short-Term Investments,1174,1890,2223,1919,2189,2220,2912,2987,2502,2602,3200,220.52,-,198.97,554.52,554.52
2,Cash Growth,-46.35%,-14.84%,-23.66%,-35.76%,-12.51%,-14.69%,-9.00%,1254.72%,-,1207.60%,477.17%,-60.23%,-,-,-,-
3,Accounts Receivable,2711,2514,2157,1775,1879,1971,2055,2287,2493,2666,2782,2478,-,1833,-,1362
4,Other Receivables,15.08,26.08,12.26,19.29,13.29,21.48,15.61,0.44,14.04,30.32,12,43.71,-,37.55,-,26.8
5,Receivables,2726,2540,2169,1795,1892,1993,2071,2287,2507,2696,2794,2522,-,1870,-,1389
6,Inventory,1032,1029,957.37,972.12,862.11,893.67,1042,903.92,1007,1092,1052,1213,-,1240,-,799.09
7,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,3.92,-,-,-,-
8,Other Current Assets,27.87,17.07,20.92,20.5,17.44,7.61,36.6,20.22,34.27,6.26,25.24,27.29,-,40.65,-,42.77
9,Total Current Assets,4961,5477,5371,4706,4960,5114,6061,6199,6050,6396,7072,3986,-,3349,-,2785
10,"Property, Plant & Equipment",606.32,557.39,492.45,460.43,365.24,326.21,297.44,255.99,220.37,197.01,175.45,183.17,-,185.77,-,44.53
11,Long-Term Investments,47.47,43.74,41.03,42.31,38.58,36.26,38.48,39.89,95.65,95.23,96.57,99.46,-,100.75,-,106.21
12,Goodwill,153.96,153.96,153.96,153.96,159.55,159.55,12.92,12.92,12.92,12.92,12.92,12.92,-,12.92,-,12.92
13,Other Intangible Assets,457.7,460.77,463.78,466.74,468.99,471.99,472.97,475.8,477.4,480.32,482.98,420.22,-,419.66,-,3.49
14,Long-Term Deferred Tax Assets,68.55,67.36,69.77,67.09,60.98,60.68,58.25,58.11,69.53,70.31,67.32,50.84,-,33.12,-,27.87
15,Long-Term Deferred Charges,40.79,46.74,52.35,58.11,62.79,67.03,71.3,75.88,78.85,79.69,83,86.29,-,81.09,-,14.87
16,Other Long-Term Assets,440.63,33.34,31.36,24.04,17.97,13.19,8.89,34.35,2.63,2.9,4.02,5.69,-,5.28,-,2.57
17,Total Assets,6776,6840,6676,5979,6134,6248,7022,7152,7007,7335,7995,4845,-,4188,-,2997
18,Accounts Payable,1244,1129,821,649.9,504.44,559.42,652.29,722.51,570.53,922.1,774.98,904.35,-,914.29,-,670.67
19,Accrued Expenses,131.97,142.66,129.6,228.43,186.79,219.71,209.67,346.65,259.09,323.46,249.51,318.16,-,222.02,-,163.6
20,Short-Term Debt,18.73,354.9,568.54,75.74,39.04,15.16,3.96,17.17,41.83,28.97,701.54,641.37,-,258.01,-,26.01
21,Current Portion of Leases,36.34,34.9,32.97,35.5,37.53,40.12,43.78,45.06,40.27,39.57,34.78,34.37,-,32.04,-,-
22,Current Income Taxes Payable,15.65,7.7,26.55,5.72,19.91,4.17,40.91,37.36,58.44,51.4,146.55,96.11,-,24.26,-,34.25
23,Current Unearned Revenue,56.91,49.99,55.47,65.75,38.4,51.64,47.4,25.96,20.44,25.25,37.65,61.57,-,181.19,-,98.09
24,Other Current Liabilities,186.01,153.73,188.78,162.83,173.44,271.81,137.4,105.64,169.8,139.89,239.77,245.98,-,449.02,-,136.64
25,Total Current Liabilities,1689,1873,1823,1224,999.55,1162,1135,1300,1160,1531,2185,2302,-,2081,-,1129
26,Long-Term Debt,30.24,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Long-Term Leases,21.88,30.78,38.29,45.01,52.58,64.22,74.27,83.41,85.25,84.57,89.41,98.26,-,113.24,-,-
28,Long-Term Unearned Revenue,1.77,1.94,2.11,2.28,2.7,2.86,3.08,3.45,3.81,4.03,4.25,4.46,-,3.38,-,3.69
29,Long-Term Deferred Tax Liabilities,5.06,5.06,5.16,5.06,6.79,6.84,3.75,3.79,11.11,11.11,11.11,11.11,-,11.11,-,11.11
30,Other Long-Term Liabilities,21.8,21.2,17.11,14.35,16.01,20.65,23.1,30.09,32.96,40.27,44.46,35.56,-,26.79,-,18.43
31,Total Liabilities,1770,1932,1886,1291,1078,1257,1240,1421,1294,1671,2334,2451,-,2235,-,1163
32,Common Stock,420,420,420,420,420,420,420,420,420,420,420,378,-,378,-,378
33,Additional Paid-In Capital,4196,4157,4119,4081,4068,4068,4070,4070,4086,4085,4083,1041,-,1035,-,1030
34,Retained Earnings,378.76,318.95,239.33,175.73,556.62,492.62,1290,1237,1203,1155,1153,970.5,-,534.61,-,421.61
35,Comprehensive Income & Other,0.66,0.86,0.75,0.75,0.97,1.05,0.19,0.52,0.69,-0.2,-1.01,-0.89,-,-0.94,-,-0.43
36,Total Common Equity,4995,4897,4779,4677,5046,4982,5780,5728,5709,5659,5655,2388,-,1947,1829,1829
37,Minority Interest,10.99,11.14,10.82,11.05,10.82,9.88,2.01,2.85,4.27,4.6,5.13,5.53,-,5.79,-,6.03
38,Shareholders' Equity,5006,4908,4790,4689,5057,4992,5782,5731,5714,5664,5661,2394,-,1953,1835,1835
39,Total Liabilities & Equity,6776,6840,6676,5979,6134,6248,7022,7152,7007,7335,7995,4845,-,4188,-,2997
40,Total Debt,107.2,420.58,639.79,156.25,129.15,119.5,122,145.64,167.34,153.12,825.73,774,-,403.29,26.01,26.01
41,Net Cash (Debt),1067,1470,1584,1763,2060,2100,2790,2842,2334,2449,2375,-553.49,-,-204.32,528.5,528.5
42,Net Cash Growth,-48.19%,-30.02%,-43.25%,-37.96%,-11.77%,-14.23%,17.50%,-,-,-,349.34%,-,-,-,-,-
43,Net Cash Per Share,2.50,3.51,3.73,4.05,4.80,5.34,6.40,6.80,5.46,5.81,6.11,-1.48,-,-0.55,1.40,1.40
44,Filing Date Shares Outstanding,420,420,420,420,420,420,420,420,420,420,420,378,378,378,376.87,378
45,Total Common Shares Outstanding,420,420,420,420,420,420,420,420,420,420,420,378,378,378,376.87,378
46,Working Capital,3271,3604,3548,3483,3961,3951,4926,4899,4889,4866,4888,1685,-,1269,-,1656
