,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,17615,14650,13255,13847,15863,15914,16750,18417,16464,17317,22680,22756,-,-,-,-,-
1,Market Cap Growth,-7.94%,-7.94%,-20.86%,-24.81%,-3.65%,-8.10%,-26.15%,-19.07%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,16559,13191,11682,11799,13815,13824,13961,16087,14134,14873,20310,23315,-,-,-,-,-
3,Last Close Price,41.94,34.88,31.56,32.97,37.77,37.06,39.01,40.88,36.55,38.44,50.35,50.11,-,-,-,-,-
4,PE Ratio,99.77,81.78,72.30,94.33,-,82.07,94.28,60.53,37.88,26.74,28.77,28.90,-,-,-,-,-
5,Forward PE,97.53,28.72,28.72,28.72,28.72,31.25,14.93,14.93,14.93,14.82,22.36,22.43,-,-,-,-,-
6,PS Ratio,6.30,5.16,5.46,6.65,9.71,8.94,9.14,8.52,5.91,5.15,5.81,5.28,-,-,-,-,-
7,PB Ratio,3.53,2.93,2.70,2.89,3.38,3.15,3.36,3.19,2.87,3.03,4.00,4.02,-,-,-,-,-
8,P/TBV Ratio,3.34,3.34,3.10,3.33,3.91,3.60,3.85,3.48,3.14,3.32,4.39,4.41,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,90.98,25.59,33.71,-,32.19,-,-600.61,-,-,-,-,-,-
10,P/OCF Ratio,491.63,491.63,-,-,38.06,18.80,24.51,23.69,25.12,-,315.65,-,-,-,-,-,-
11,EV/Sales Ratio,5.84,4.65,4.81,5.66,8.45,7.77,7.62,7.44,5.07,4.43,5.21,5.41,-,-,-,-,-
12,EV/EBITDA Ratio,80.59,78.91,76.53,127.71,-,57.76,65.40,40.51,24.93,20.16,22.29,25.81,-,-,-,-,-
13,EV/EBIT Ratio,109.82,87.49,86.18,156.99,-,62.64,71.74,42.63,25.84,20.73,22.75,26.31,-,-,-,-,-
14,EV/FCF Ratio,-71.16,-,-,-,79.23,22.23,28.10,-,27.63,-,-537.86,-,-,-,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.09,0.13,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.15,0.32,-,0.21,0.01,0.01
16,Debt / EBITDA Ratio,0.52,0.28,1.14,2.24,-,0.39,0.84,0.59,0.27,0.74,0.18,0.93,0.68,-,0.51,0.06,-
17,Debt / FCF Ratio,-,-,-,-,0.90,0.21,0.24,-,0.28,-,-4.05,-,-,-,-,-,1.33
18,Asset Turnover,0.46,0.48,0.47,0.33,0.24,0.28,0.17,0.36,0.24,0.42,0.58,-,-,-,-,-,
19,Inventory Turnover,2.16,2.17,2.32,2.29,1.65,1.11,1.29,0.79,1.77,1.00,1.88,2.05,-,-,-,-,-
20,Quick Ratio,2.31,2.31,2.37,2.41,3.03,4.08,3.62,4.39,4.06,4.32,3.46,2.74,1.19,-,0.99,-,1.72
21,Current Ratio,2.94,2.94,2.92,2.95,3.85,4.96,4.40,5.34,4.77,5.21,4.18,3.24,1.73,-,1.61,-,2.47
22,Return on Equity (ROE),4.81%,6.59%,5.35%,-1.94%,5.17%,3.18%,3.58%,2.31%,3.33%,11.95%,18.12%,-,-,35.59%,20.55%,-,
23,Return on Assets (ROA),3.40%,2.57%,2.67%,-3.25%,3.13%,0.34%,1.67%,3.07%,1.79%,6.25%,8.45%,-,-,-,-,-,
24,Return on Capital (ROIC),4.44%,3.22%,3.28%,-3.93%,3.76%,0.41%,2.01%,3.70%,2.20%,7.79%,11.23%,-,-,21.96%,14.17%,-,
25,Return on Capital Employed (ROCE),2.96%,2.96%,2.73%,1.55%,-,4.30%,3.83%,6.41%,9.35%,12.27%,15.38%,15.25%,30.46%,-,2.09%,-,-
26,Earnings Yield,1.02%,1.22%,1.38%,1.06%,0.85%,1.22%,1.06%,1.65%,2.64%,3.74%,3.48%,3.46%,-,-,-,-,-
27,FCF Yield,-1.32%,-1.59%,-1.34%,0.93%,1.10%,3.91%,2.97%,3.08%,3.11%,-0.14%,-0.17%,-1.64%,-,-,-,-,-
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,5.47%,-,-,-,-,-,-,-,-
29,Payout Ratio,201.35%,0.86%,2.55%,1.44%,-,0.19%,1949.68%,-,0.32%,0.12%,100.99%,2.95%,1.69%,1.44%,0.49%,159.21%,-
30,Buyback Yield / Dilution,-1.65%,0.54%,-6.31%,2.81%,-4.17%,-0.30%,6.58%,-12.17%,-12.08%,-10.59%,-12.48%,-3.20%,1.29%,-,-,-,-
31,Total Shareholder Return,-1.65%,0.54%,-6.31%,2.81%,-4.17%,-0.30%,6.58%,-12.17%,-6.61%,-10.59%,-12.48%,-3.20%,1.29%,-,-,-,-
