,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1268,796.35,798.19,690.33,739.35,548.38,412.91,411.73,415.35,196.38,225.74,231.4,238.17,140.83,129.66,133.16,186.94,118.36,81
1,Other Revenue,-128.64,128.64,-,209.52,-59.98,59.98,-,141.71,-45.61,45.61,-,65.46,-20.51,20.51,-,29.3,-8.24,8.24,-
2,Revenue,1139,924.99,798.19,899.85,679.37,608.36,412.91,553.44,369.74,241.99,225.74,296.86,217.65,161.34,129.66,162.46,178.71,126.6,81
3,Revenue Growth (YoY),67.66%,52.05%,93.31%,62.59%,83.74%,151.40%,82.91%,86.43%,69.87%,49.99%,74.11%,82.73%,21.79%,27.44%,60.06%,-,-,-,-
4,Cost of Revenue,831.8,681.75,592.95,695.11,479.91,483.42,326.47,412.1,284.32,199.57,174.59,252.08,149.9,131.45,93.25,120.88,118.22,96.82,59.18
5,Gross Profit,307.24,243.23,205.23,204.74,199.46,124.94,86.44,141.34,85.42,42.42,51.15,44.78,67.75,29.89,36.41,41.58,60.49,29.78,21.83
6,"Selling, General & Admin",38.27,36.27,31.32,31.93,26.02,21.88,21.62,19.19,17.44,17.04,12.26,11.99,10.98,9.23,9.51,6.09,10.33,8.15,6.75
7,Research & Development,43.78,29.6,26.88,26.2,22.06,20.25,16.41,28.27,7.67,6.81,8.17,10.23,7.78,6.95,6.08,13.15,4.51,4.75,3.58
8,Other Operating Expenses,4,2.18,-2.65,2.81,1.63,2.01,1.55,1.97,1.76,0.73,1.12,2.91,1.25,1.13,0.93,1.61,1.49,1.02,0.96
