,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,497.61,296.52,494.48,508.54,722.68,217.99,190.52,225.88,304.57,141.22,136.15,178.41,196.87,304.12,357.21,396.94,39.68,31.38,-
1,Cash & Short-Term Investments,497.61,296.52,494.48,508.54,722.68,217.99,190.52,225.88,304.57,141.22,136.15,178.41,196.87,304.12,357.21,396.94,39.68,31.38,69.77
2,Cash Growth,-31.14%,36.02%,159.54%,125.14%,137.27%,54.36%,39.93%,26.60%,54.70%,-53.56%,-61.88%,-55.05%,396.22%,869.21%,411.98%,-,-,-,-
3,Accounts Receivable,1608,1230,1245,1501,1259,898.42,825.56,796.05,436.52,386.16,412.98,414.94,277.26,233.52,220.93,258.48,248.22,200.77,-
4,Other Receivables,13.07,0.87,19.2,0.73,3.82,0.76,2.84,0.53,3.25,0.13,3.38,0.16,1.36,2.38,1.11,0.18,1.61,1.76,-
5,Receivables,1621,1230,1264,1501,1263,899.17,828.4,796.58,439.77,386.29,416.36,415.11,278.62,235.9,222.04,258.76,249.83,202.53,-
6,Inventory,1232,1144,1035,906.53,930.95,801.14,728.25,619.27,527.08,400.53,343.73,284.45,274.49,252.53,235.69,205.63,166.9,186.64,-
7,Other Current Assets,193.14,153,173.33,98.45,207.99,171.23,171.78,126.35,149.7,116.63,124.4,81.64,58.32,65.91,57.09,60.47,60.77,55.27,-
8,Total Current Assets,3544,2823,2967,3015,3125,2090,1919,1768,1421,1045,1021,959.61,808.3,858.46,872.03,921.8,517.17,475.83,-
9,"Property, Plant & Equipment",2222,2052,1812,1617,1514,1305,1132,1018,955.47,744.7,633.96,602.79,459.22,444.88,433.91,443.29,419.59,420.52,-
10,Other Intangible Assets,296.42,292.21,234.87,111.13,78.96,79.29,79.45,80.03,80.75,42.52,43,43.55,44.02,43.87,44.23,44.68,45.26,45.85,-
11,Long-Term Deferred Tax Assets,3.21,2.3,2.76,2.67,22.85,7.84,2.65,4.15,7.3,6.57,7.35,8.04,2.91,2.89,3.06,2.92,2.3,2.06,-
12,Long-Term Deferred Charges,109.59,60.03,-,77,48.81,50.97,60.95,64.56,76.26,75.38,80.57,84.84,74.12,71.8,62.56,58.74,73.47,49.61,-
13,Other Long-Term Assets,75.47,48.77,101.42,123.52,85.83,97.63,176.85,149.68,45.9,104.35,155.2,96.5,154.87,60.61,57.44,22.55,25.53,29.62,-
14,Total Assets,6251,5279,5118,4946,4875,3630,3370,3084,2587,2018,1941,1795,1543,1483,1473,1494,1083,1023,-
15,Accounts Payable,1897,1435,1479,1666,1710,1418,1203,997.26,777.14,597.72,583.71,523.17,443.47,393.08,368.37,333.15,210.52,241.78,-
16,Accrued Expenses,62.34,53.28,33.56,67.09,44.16,39.35,25.72,28.82,22.65,17.1,12,18.79,14.71,15.11,9.64,12.92,83.16,14.09,-
17,Short-Term Debt,984.28,820.71,745.74,458.35,521.46,501.68,493.2,483.75,418.82,303.79,252.06,153.89,98.5,107.39,124.18,149.18,128,111.5,-
18,Current Portion of Long-Term Debt,88.72,73.13,90.19,72.56,60.3,22.55,22.65,15.07,20.79,15,25.58,25.04,21.41,20.05,35.03,23.03,25,53.85,-
19,Current Portion of Leases,-,9.63,-,7.54,-,6.29,-,7.71,-,0.76,-,0.58,-,5.56,-,29.86,39.11,-,-
20,Current Income Taxes Payable,20.73,36.2,37.02,23.43,11.48,8.83,3.42,2.41,8.39,2.78,5.81,2.22,5.13,1.78,3.97,4.35,3.37,3.01,-
21,Current Unearned Revenue,137.82,180.4,198.01,199.51,127.81,172.65,145.89,147.24,54.14,47.97,27.55,55.79,5.06,15.7,3.64,6.88,5.58,26.76,-
22,Other Current Liabilities,139.74,46.99,105.67,129.06,173.71,31.25,91.39,48.41,6.37,1.49,1.49,2.41,0.93,2.93,5.54,22.75,13.68,1.17,-
23,Total Current Liabilities,3331,2655,2690,2623,2649,2200,1985,1731,1308,986.61,908.21,781.89,589.2,561.61,550.37,582.11,508.42,452.16,-
24,Long-Term Debt,731.73,596.39,505.45,508.47,536.83,30,40.07,40,42.56,52.57,55.01,55.06,20,20,30.06,30.04,40,58,-
25,Long-Term Leases,7.02,10.73,14.61,15.84,19.29,15.03,13.02,18.03,15.34,0.33,0.28,0.42,0.56,0.7,0.83,-,1.09,8.3,-
26,Long-Term Unearned Revenue,32.55,33.24,12.83,13.27,7.95,8.29,8.67,9.01,6.91,7.19,7.47,7.75,8.09,8.42,8.76,9.11,7.34,7.33,-
27,Long-Term Deferred Tax Liabilities,78.22,54.08,55.53,46.35,50.04,21.49,14.41,11.27,6.04,3.59,3.39,3.42,3.05,3.23,2.9,3.07,2.79,2.94,-
28,Other Long-Term Liabilities,-,-,-,-,171.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Total Liabilities,4181,3349,3278,3207,3434,2275,2061,1809,1379,1050,974.36,848.55,620.9,593.96,592.92,624.34,559.64,528.73,-
30,Common Stock,404.75,404.31,278.83,278.83,278.83,278.83,154.91,154.91,154.91,142.13,142.13,142.13,142.13,142.13,142.13,142.13,106.6,106.6,-
31,Additional Paid-In Capital,276.22,268.89,394.3,394.24,394.24,394.24,518.16,518.16,518.16,333.64,333.64,333.64,333.64,333.64,333.64,333.64,42.71,42.71,-
32,Retained Earnings,1221,1085,996.06,895.15,767.97,681.83,636.3,602.14,534.59,492.14,490.58,471.01,446.77,412.8,404.53,393.89,374.37,345.45,-
33,Comprehensive Income & Other,168.57,171.12,171.14,171.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Shareholders' Equity,2071,1930,1840,1739,1441,1355,1309,1275,1208,967.91,966.35,946.78,922.53,888.56,880.3,869.66,523.68,494.76,475.9
35,Total Liabilities & Equity,6251,5279,5118,4946,4875,3630,3370,3084,2587,2018,1941,1795,1543,1483,1473,1494,1083,1023,-
36,Total Debt,1812,1511,1356,1063,1138,575.54,568.93,564.56,497.52,372.45,332.94,234.99,140.47,153.71,190.11,232.12,233.2,231.65,251.66
37,Net Cash (Debt),-1314,-1214,-861.52,-554.21,-415.21,-357.55,-378.41,-338.68,-192.94,-231.23,-196.78,-56.58,56.41,150.42,167.1,164.82,-193.52,-200.27,-181.89
38,Net Cash Per Share,-3.25,-3.00,-2.13,-1.37,-1.19,-1.22,-0.94,-0.87,-0.52,-0.62,-0.53,-0.15,0.13,0.41,0.43,0.59,-0.66,-0.67,-0.70
39,Filing Date Shares Outstanding,404.75,404.31,404.3,404.3,404.3,404.3,404.3,404.3,404.3,370.97,370.97,370.97,370.97,370.97,370.97,370.97,278.22,278.22,258.85
40,Total Common Shares Outstanding,404.75,404.31,404.3,404.3,404.3,404.3,404.3,404.3,404.3,370.97,370.97,370.97,370.97,370.97,370.97,370.97,278.22,278.22,258.85
41,Working Capital,212.91,168.61,277.71,391.6,476.04,-110.59,-65.91,37.41,112.83,58.06,112.43,177.71,219.09,296.85,321.66,339.69,8.75,23.67,-
42,Book Value Per Share,5.12,4.77,4.55,4.30,3.56,3.35,3.24,3.15,2.99,2.61,2.60,2.55,2.49,2.40,2.37,2.34,1.88,1.78,1.71
43,Tangible Book Value,1774,1637,1605,1628,1362,1276,1230,1195,1127,925.39,923.35,903.23,878.52,844.69,836.08,824.97,478.42,448.92,430.15
44,Tangible Book Value Per Share,4.38,4.05,3.97,4.03,3.37,3.16,3.04,2.96,2.79,2.49,2.49,2.43,2.37,2.28,2.25,2.22,1.72,1.61,1.55
45,Buildings,-,542.55,-,500.91,-,375.03,-,360.04,-,234.15,-,240.05,-,234.15,-,232.13,231.23,231.23,-
46,Machinery,-,1236,-,1048,-,770.58,-,666.58,-,422.91,-,411.33,-,355.11,-,347.19,195.74,266.76,-
47,Construction In Progress,-,665.22,-,-,-,441.28,-,-,-,319.21,-,158.18,-,40.93,-,28.55,75.61,67.4,-
