,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,11987,9720,8094,7330,8178,8630,6368,5400,3227,4069,3319,2706,3383,2774,3212,3054,-,-,-,-
1,Market Cap Growth,12.63%,12.63%,27.10%,35.75%,153.45%,112.07%,91.89%,99.54%,-4.61%,46.67%,3.32%,-11.40%,-,-,-,-,-,-,-,-
2,Enterprise Value,13301,10934,8956,7885,8593,8987,6747,5739,3420,4301,3516,2763,3326,2624,3045,2890,-,-,-,-
3,Last Close Price,28.58,24.04,20.02,18.05,20.13,21.25,15.68,13.25,7.92,9.99,8.88,7.20,9.00,7.38,8.54,8.11,-,-,-,-
4,PE Ratio,25.79,19.65,18.18,19.55,26.51,34.64,31.04,32.72,21.77,38.80,34.43,29.68,40.16,34.90,43.15,42.43,-,-,-,-
5,PS Ratio,3.39,2.58,2.45,2.46,3.14,3.83,3.28,3.42,2.32,3.59,3.38,3.00,4.20,4.13,5.08,5.11,-,-,-,-
6,PB Ratio,5.59,4.69,4.19,3.98,4.70,5.99,4.70,4.12,2.53,3.37,3.43,2.80,3.57,3.01,3.62,3.47,-,-,-,-
7,P/TBV Ratio,5.48,5.48,4.94,4.57,5.02,6.34,4.99,4.39,2.70,3.61,3.59,2.93,3.75,3.16,3.80,3.65,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-19.70,-,-,-,-,-,-,-,-,138.75,-,-,-,-
9,P/OCF Ratio,-,-,-,39.50,-,57.79,59.18,454.20,-,-129.66,-84.36,-,-,32.31,42.30,40.81,-,-,-,-
10,EV/Sales Ratio,3.54,2.91,2.71,2.64,3.30,3.99,3.47,3.64,2.46,3.79,3.58,3.06,4.13,3.91,4.82,4.84,-,-,-,-
