,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,1119,1082,997,927,1038,1062,1050,984,1014,761,498,Upgrade
1,Market Cap Growth,16.70%,16.70%,-3.91%,-12.64%,-1.14%,7.88%,3.53%,29.28%,103.48%,73.77%,0%,Upgrade
2,Enterprise Value,1109,1062,956,878,976,995,992,920,961,728,483,Upgrade
3,Last Close Price,1.84,1.78,1.64,1.54,1.74,1.78,1.76,1.65,1.70,1.31,0.91,Upgrade
4,PE Ratio,-,-,-,-,-,-,-,-,-,-11.17,-,Upgrade
5,PS Ratio,10.22,9.79,7.90,6.68,8.67,10.41,10.96,13.58,23.03,21.55,7.29,Upgrade
6,PB Ratio,12.02,11.34,9.11,8.71,9.25,7.54,7.17,6.03,6.04,5.40,4.62,Upgrade
7,P/TBV Ratio,15.15,15.15,12.01,11.07,11.59,9.05,8.48,6.92,7.00,5.60,4.86,Upgrade
8,P/FCF Ratio,-,-,-,-129.14,-,-,-,-,-898.08,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-241.15,-,-,-,-,-1843.51,-,-,Upgrade
10,EV/Sales Ratio,10.15,9.60,7.57,6.33,8.16,9.75,10.36,12.69,21.82,20.60,7.07,Upgrade
11,EV/EBITDA Ratio,-,-,-,-523.16,-,-,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-1916.33,-,-170.58,-,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,-,-,-,-122.30,-,-,-,-,-850.88,-,-,Upgrade
14,Debt / Equity Ratio,0.27,0.27,0.22,0.21,0.26,0.21,0.04,0.05,0.05,0.08,0.14,Upgrade
15,Debt / FCF Ratio,-,-,-,-3.11,-,-,-,-,-6.73,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-0.39%,-,-4.93%,-,-,-,-,-,-,Upgrade
17,Earnings Yield,-2.03%,-2.09%,-2.76%,-4.15%,-2.75%,-3.28%,-3.13%,-0.48%,0.36%,-8.95%,-21.51%,Upgrade
18,FCF Yield,-,-1.42%,-0.77%,-1.34%,-0.64%,-1.68%,1.11%,-0.11%,-3.38%,-4.32%,Upgrade,
19,Buyback Yield / Dilution,-1.19%,-0.96%,-1.42%,-0.97%,-,-,-2.12%,-4.08%,-6.66%,-4.65%,-,Upgrade
20,Total Shareholder Return,-1.19%,-0.96%,-1.42%,-0.97%,-,-,-2.12%,-4.08%,-6.66%,-4.65%,-,Upgrade
