,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,49.24,160.27,123.81,130.24,89.71,196.59,116.28,216.93,121.97
1,Revenue Growth (YoY),-60.23%,23.06%,38.00%,-33.75%,-22.85%,-9.38%,-4.67%,-,-
2,Cost of Revenue,49.2,142.93,114.2,112.79,79.6,172.54,94.45,172.37,92.95
3,Gross Profit,0.04,17.34,9.61,17.44,10.11,24.05,21.82,44.55,29.02
4,"Selling, General & Admin",15.85,24.71,14.29,11.83,9.56,13.26,7.48,15.44,9.57
5,Other Operating Expenses,-0.8,-2.75,-0.9,-2.13,-3.86,-1.66,-2.9,-2.73,-2.21
6,Operating Expenses,15.05,21.96,13.39,9.7,5.69,11.6,4.58,12.71,7.37
7,Operating Income,-15.01,-4.62,-3.78,7.75,4.42,12.45,17.24,31.84,21.65
8,Interest Expense,-2.04,-1.98,-1.41,-1.02,-1.4,-1.75,-2.69,-3.05,-2.44
9,Interest & Investment Income,0.32,0.24,0.14,0.18,0.27,0.21,0.2,0.14,0.07
10,Earnings From Equity Investments,-,-,-,-,-,-1.55,-0.52,-0.19,-0.47
11,Currency Exchange Gain (Loss),0.02,-0.3,0.07,-2.62,0.8,-0.06,-0.06,-0.14,0.39
12,Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-0.24,-0.2
13,EBT Excluding Unusual Items,-16.7,-6.67,-4.99,4.29,4.1,9.3,14.17,28.37,18.99
14,Gain (Loss) on Sale of Assets,-,-,-,0.08,0.02,-,-,-,-
15,Other Unusual Items,-,-,-,-1.25,-,-,-,-,-
16,Pretax Income,-16.7,-6.67,-4.99,3.12,4.12,9.3,14.17,28.37,18.99
17,Income Tax Expense,-1.63,0.35,0.48,0.96,0.9,0.8,1.33,4.41,2.56
18,Earnings From Continuing Operations,-15.07,-7.02,-5.47,2.16,3.22,8.51,12.84,23.96,16.43
19,Minority Interest in Earnings,1.73,1.29,1.05,-,-,-0.06,-0.21,-0.15,-0.06
20,Net Income,-13.34,-5.73,-4.42,2.16,3.22,8.45,12.62,23.81,16.36
21,Net Income to Common,-13.34,-5.73,-4.42,2.16,3.22,8.45,12.62,23.81,16.36
22,Net Income Growth,-,-,-,-74.47%,-74.51%,-64.53%,-22.85%,-,-
23,Shares Outstanding (Basic),250,250,250,250,250,250,250,212,188
24,Shares Outstanding (Diluted),250,250,250,250,250,250,250,212,188
25,Shares Change (YoY),-,-,-,-,-,17.87%,33.33%,-,-
26,EPS (Basic),-0.05,-0.02,-0.02,0.01,0.01,0.03,0.05,0.11,0.09
27,EPS (Diluted),-0.05,-0.02,-0.02,0.01,0.01,0.03,0.05,0.11,0.09
28,EPS Growth,-,-,-,-74.47%,-74.51%,-69.91%,-42.14%,-,-
29,Free Cash Flow,-40.71,3.03,-19.76,10.13,7.61,-9.45,7.23,-9.55,20.24
30,Free Cash Flow Per Share,-0.16,0.01,-0.08,0.04,0.03,-0.04,0.03,-0.05,0.11
31,Operating Margin,-30.47%,-2.88%,-3.05%,5.95%,4.93%,6.33%,14.83%,14.68%,17.75%
32,Profit Margin,-27.10%,-3.57%,-3.57%,1.66%,3.59%,4.30%,10.86%,10.98%,13.42%
33,Free Cash Flow Margin,-82.68%,1.89%,-15.96%,7.78%,8.48%,-4.81%,6.22%,-4.40%,16.59%
34,EBITDA,-9.7,2.99,0.35,14.64,7.68,18.02,20.41,35.64,24.73
35,D&A For EBITDA,5.31,7.61,4.14,6.89,3.26,5.57,3.17,3.8,3.08
36,EBIT,-15.01,-4.62,-3.78,7.75,4.42,12.45,17.24,31.84,21.65
