,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 5, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,728,1125,1900,1455,863,558,495,385,333,-
1,Market Cap Growth,-22.68%,-22.68%,120.29%,160.99%,74.24%,44.81%,48.87%,-,-,-
2,Enterprise Value,804,1160,1938,1457,880,579,467,362,392,-
3,Last Close Price,2.91,4.50,7.60,5.82,3.45,2.23,1.98,1.54,1.33,-
4,PE Ratio,-,-,-,-,141.97,40.81,19.14,8.79,6.97,-
5,PS Ratio,3.23,5.00,6.07,5.30,3.47,1.66,1.29,0.96,0.83,-
6,PB Ratio,2.77,4.25,6.59,5.01,2.85,1.81,1.55,1.27,1.16,-
7,P/TBV Ratio,4.28,4.28,6.69,5.11,2.85,1.81,1.55,1.28,1.17,-
8,P/FCF Ratio,-,-,-103.11,-,43.01,-258.38,-,-137.80,-,-
9,P/OCF Ratio,-,-,178.63,88.73,31.48,60.68,-,-580.98,-,-
10,EV/Sales Ratio,3.57,5.15,6.19,5.31,3.54,1.73,1.22,0.90,0.97,-
11,EV/EBITDA Ratio,-,-,526.24,89.91,34.90,19.23,9.90,5.36,5.47,-
12,EV/EBIT Ratio,-,-,-,-,64.00,29.29,12.81,6.13,6.18,-
13,EV/FCF Ratio,-19.85,-,-105.14,-,43.90,-268.22,-,-129.43,-,-
14,Debt / Equity Ratio,0.43,0.43,0.32,0.22,0.17,0.17,0.22,0.21,0.41,-
15,Debt / FCF Ratio,-,-,-4.99,-,2.56,-23.89,-,-22.81,-,-
16,Return on Capital Employed (ROCE),-,-,-,-,4.46%,6.18%,11.13%,19.09%,21.77%,-
17,Earnings Yield,-2.82%,-1.82%,-0.59%,-0.17%,0.70%,2.45%,5.22%,11.38%,14.35%,-
18,FCF Yield,-5.57%,-3.60%,-0.97%,-0.71%,2.33%,-0.39%,-0.55%,-0.73%,3.82%,-
19,Buyback Yield / Dilution,-,-,-,-,-,-17.87%,-33.33%,-,-,
20,Total Shareholder Return,-,-,-,-,-,-17.87%,-33.33%,-,-,
