,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,36.7,55.82,30.4,43.91,28.73,40.57,71.48,121.42,-
1,Trading Asset Securities,-,-,-,-,-,-,5.17,-,-
2,Cash & Short-Term Investments,36.7,55.82,30.4,43.91,28.73,40.57,76.65,121.42,-
3,Cash Growth,20.72%,27.13%,5.83%,8.23%,-62.52%,-66.58%,-,-,-
4,Accounts Receivable,183.46,249.53,225.6,223.16,253.7,267.38,217.39,271.41,-
5,Other Receivables,11.66,4.11,6.93,2.17,1.41,0.4,1.48,1.72,-
6,Receivables,220.56,279.01,257.93,250.82,280.6,293.16,218.87,273.13,-
7,Inventory,49.56,12.99,57.6,15.73,22.89,18.65,31.67,16.59,-
8,Other Current Assets,19.85,29.3,27.8,30.4,36.59,51.27,24.64,33.8,-
9,Total Current Assets,326.66,377.11,373.74,340.86,368.81,403.66,351.84,444.93,-
10,"Property, Plant & Equipment",120.52,125.67,121.44,96.58,99.94,97.96,99.62,101.05,-
11,Long-Term Investments,-,-,-,-,-,-,0.5,0.42,-
12,Long-Term Accounts Receivable,13.96,13.83,4.18,3.88,3.57,2.6,1.28,0.76,-
13,Long-Term Deferred Tax Assets,3.16,1.12,0.93,0.21,0.24,0.2,0.2,0.27,-
14,Other Long-Term Assets,0.3,0.6,3.38,0.2,-,-,-,-,-
15,Total Assets,464.6,518.34,503.66,441.73,472.56,504.41,453.42,547.43,-
16,Accounts Payable,69.65,123.43,136.4,87.93,125.73,145.01,112.35,168.05,-
17,Accrued Expenses,32,33.31,28.91,28.72,-,-,-,-,-
18,Short-Term Debt,44.7,19.7,12.9,9.9,4.05,10,14,32.66,-
19,Current Portion of Long-Term Debt,48.91,48.86,29.48,29.56,29.31,40.27,32.31,60.91,-
20,Current Portion of Leases,2.95,4.31,3.18,2.11,2.99,2.24,1.46,1.62,-
21,Current Income Taxes Payable,0.21,0.46,0.52,0.52,0.14,0.49,0.71,1.67,-
22,Current Unearned Revenue,0.81,1,0.63,1.19,1.79,0.77,2.54,-,-
23,Other Current Liabilities,9.1,13.01,6.53,8.97,35.7,38.81,32.98,36.82,-
24,Total Current Liabilities,208.33,244.08,218.55,168.91,199.71,237.59,196.35,301.73,-
25,Long-Term Leases,8.97,10.61,14.6,3.81,7.65,5.35,5.22,4.6,-
26,Other Long-Term Liabilities,0.84,2.09,1.99,1.01,2.58,1.91,0.63,-,-
27,Total Liabilities,218.13,256.79,235.13,173.72,209.94,244.85,202.19,306.33,-
28,Common Stock,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,-
29,Additional Paid-In Capital,95.99,95.99,95.99,95.99,95.99,95.99,95.99,95.99,-
30,Retained Earnings,115.99,129.33,135.06,139.48,137.32,134.1,125.66,113.03,-
31,Comprehensive Income & Other,30.38,30.4,30.36,30.37,27.14,27.3,27.16,27.97,-
32,Total Common Equity,244.53,257.89,263.58,268,262.62,259.56,250.97,239.17,-
33,Minority Interest,1.94,3.66,4.95,-,-,-,0.25,1.94,-
34,Shareholders' Equity,246.47,261.55,268.53,268,262.62,259.56,251.22,241.1,-
35,Total Liabilities & Equity,464.6,518.34,503.66,441.73,472.56,504.41,453.42,547.43,-
36,Total Debt,105.53,83.49,60.17,45.38,44,57.87,52.98,99.79,-
37,Net Cash (Debt),-68.83,-27.66,-29.76,-1.47,-15.27,-17.29,23.67,21.63,-
38,Net Cash Per Share,-0.28,-0.11,-0.12,-0.01,-0.06,-0.07,0.09,0.10,-
39,Filing Date Shares Outstanding,250,250,250,250,250,250,250,250,187.5
40,Total Common Shares Outstanding,250,250,250,250,250,250,250,250,187.5
41,Working Capital,118.33,133.04,155.19,171.95,169.11,166.07,155.49,143.2,-
42,Book Value Per Share,0.98,1.03,1.05,1.07,1.05,1.04,1.00,0.96,-
43,Tangible Book Value,244.53,257.89,263.58,268,262.62,259.56,250.97,239.17,-
44,Tangible Book Value Per Share,0.98,1.03,1.05,1.07,1.05,1.04,1.00,0.96,-
45,Land,-,3.1,-,3.1,-,3.1,-,3.1,-
46,Machinery,-,169.15,-,140.01,-,133.85,-,128.59,-
47,Construction In Progress,-,12.99,-,-,-,-,-,-,-
