,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Operating Revenue,11048,9444,10462,11522,10868,9968,11927,12841,14358,15463,12489,19685,17726,12338,10069,6698
1,Other Revenue,-23.14,23.14,-,42.53,-29.89,29.89,-,48.4,-30.47,30.47,-,64.68,-30.21,30.21,-,65.97
2,Revenue,11025,9467,10462,11565,10838,9998,11927,12889,14328,15494,12489,19749,17695,12368,10069,6764
3,Revenue Growth (YoY),1.72%,-5.31%,-12.28%,-10.28%,-24.36%,-35.47%,-4.50%,-34.73%,-19.03%,25.27%,24.04%,191.99%,-,-,-,-
4,Cost of Revenue,10337,9465,9736,11312,10041,9835,11122,12174,13511,15436,11607,19302,16959,11960,9599,6343
5,Gross Profit,687.94,1.88,725.94,252.67,796.51,162.85,804.32,715.99,816.78,57.27,882.46,447.41,735.92,407.88,469.02,421.06
6,"Selling, General & Admin",86.93,64.81,83.17,125.2,85.05,62.96,80.06,182.66,82.03,68.93,67.23,196.55,86.68,71.1,61.3,75.56
7,Research & Development,30.91,29.85,34.33,35.57,28.87,24.45,32.6,32,29.02,33.76,19.24,29.07,28.82,29.99,22.73,38.29
8,Other Operating Expenses,-63.52,14.96,11.23,49.6,7.6,2.67,-4.01,43.98,9.26,-5.4,2.57,41.23,0.68,-5.69,-0.86,31.2
9,Operating Expenses,36.68,110.09,143.49,208.99,101.07,98.36,122.73,241.41,118.82,104.62,101.15,256.92,114.62,83.45,110.54,137.89
10,Operating Income,651.27,-108.21,582.46,43.68,695.44,64.49,681.59,474.58,697.96,-47.34,781.3,190.48,621.29,324.43,358.49,283.17
11,Interest Expense,-13.11,-19.03,-9.64,-19.04,-8.14,-12.92,-3.84,-4.25,-9.49,-10.91,-2.71,-30.07,-9.09,-43.27,-24.47,-4.99
12,Interest & Investment Income,44.69,15.64,34.09,-,20.32,28.79,7.03,34.2,29.72,17.04,7.87,19,0.8,8.78,1.89,13.59
13,Currency Exchange Gain (Loss),7.72,-7.72,-,-20.76,20.76,-20.76,-,-11.1,1.11,-1.11,-,-10.4,11.44,-11.44,-,-1.25
14,Other Non Operating Income (Expenses),7.99,3.68,-8.3,10.45,-14.98,-0.91,-3.62,19.63,-22.61,-9.28,5,15.54,-21.1,16.12,-23.37,-3.61
15,EBT Excluding Unusual Items,698.55,-115.63,598.61,14.33,713.39,58.68,681.16,513.07,696.7,-51.6,791.46,184.55,603.34,294.62,312.54,286.91
16,Impairment of Goodwill,-,-,-,-,-,-,-,-26.33,-,-,-,-33.9,16.26,-16.26,-,-
17,Gain (Loss) on Sale of Investments,-53.28,8.1,25.35,14.26,-37.18,16.85,11.23,-40.76,27.05,6.01,-0.78,23.43,-18.19,28.27,-21.33,-35.4
18,Gain (Loss) on Sale of Assets,0.05,-1.71,2.6,-0.65,9.49,0.66,0.45,0.56,0.14,-,-,-0.21,0.03,1.48,2.92,0
19,Asset Writedown,-361.94,291.04,-291.04,271.32,-271.32,270.61,-270.61,-87.97,-343.92,431.45,-431.45,268.48,-305.59,81.55,-81.55,-
20,Legal Settlements,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.93
21,Other Unusual Items,-14.61,14.6,0.01,47.81,-13.03,13.03,-,27.49,-0.09,0.09,-,30.63,-0.03,0.03,-,27.05
22,Pretax Income,268.77,196.4,335.53,347.08,401.35,359.84,422.23,386.07,379.87,385.94,359.24,472.98,295.83,389.69,212.59,277.63
