,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Cash & Equivalents,995.18,644.86,888.79,523.08,711.9,469.92,944.6,487.87,2093,1189,716.74,1478,1737,1299,-,623.98
1,Trading Asset Securities,104.37,82.77,176.63,2.54,7.43,22.52,6.9,2.42,134.86,106.09,1.86,102.43,302.54,362.45,-,29.81
2,Cash & Short-Term Investments,1100,727.63,1065,525.62,719.33,492.45,951.5,490.29,2228,1295,718.6,1581,2039,1662,653.78,653.78
3,Cash Growth,52.86%,47.76%,11.97%,7.20%,-67.71%,-61.96%,32.41%,-68.98%,9.23%,-22.08%,9.91%,141.77%,-,-,-,-
4,Accounts Receivable,1312,1578,1554,1161,1271,1577,1336,1029,1546,1506,1260,1435,1333,1321,-,884.92
5,Other Receivables,115.86,92.85,94.8,59.66,93,68.16,75.42,66.18,97.99,79.67,128.99,63.24,47.11,41.49,-,31.14
6,Receivables,1428,1671,1649,1221,1364,1646,1411,1095,1644,1586,1389,1498,1380,1362,-,916.06
7,Inventory,3946,3368,2689,2475,2681,2792,2109,3952,3376,3016,4263,4015,5020,4369,-,2663
8,Other Current Assets,1903,1478,1595,1396,1695,1456,1113,1248,679.83,486.74,1027,742.3,1369,1426,-,765.73
9,Total Current Assets,8377,7245,6998,5618,6459,6385,5585,6786,7928,6383,7398,7837,9809,8819,-,4999
10,"Property, Plant & Equipment",3502,3537,3615,3702,3701,3723,3603,3547,3401,3424,3182,3237,2969,2965,-,2757
11,Long-Term Investments,204.93,201.99,197.77,195.35,184.37,181.86,182.84,181.54,156.94,152.44,146.37,142.82,141.33,137.41,-,121.91
12,Goodwill,169.84,169.84,169.84,169.84,169.84,169.84,169.84,169.84,196.17,196.17,196.17,196.17,213.8,213.8,-,230.07
13,Other Intangible Assets,285.55,288.36,291.24,293.64,296.54,299.44,300.66,287.85,289.11,291.33,294.09,296.85,298.72,301.34,-,278.49
14,Long-Term Deferred Tax Assets,189.61,186.23,176.28,172.67,124.81,139.04,154.1,186.99,142.33,134.44,166.63,162.3,114.99,114.76,-,88.84
15,Long-Term Deferred Charges,9.74,11.51,13.56,15.43,15.74,17.58,19.72,21.69,23.84,23.48,25.58,23.86,24.84,26.37,-,26.42
16,Other Long-Term Assets,269.11,242.8,220,219.65,216.38,201.71,208.53,284.18,352.37,303.49,439.67,372.38,389.97,309.69,-,336.96
17,Total Assets,13007,11882,11682,10386,11168,11118,10223,11465,12489,10909,11849,12268,13961,12887,-,8838
18,Accounts Payable,1515,1536,1382,1330,2219,2447,1974,2043,2223,2407,2251,3067,2358,1947,-,2219
19,Accrued Expenses,274.18,163.88,129.71,264.72,171.32,149.28,122.35,254.43,140.07,136.68,90.04,329.05,69.63,89.98,-,132.71
20,Short-Term Debt,1917,2115,1769,562.87,952.29,937.04,184.98,498.28,978.94,683.91,1430,154.23,3100,4527,-,1108
21,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,29.32,29.32,75.01,85.04,-,81.76
22,Current Income Taxes Payable,-,49.15,91.94,57.9,75.21,27.77,122.28,120.17,117.42,67.54,142.63,235.11,134.77,117.99,-,58.38
23,Current Unearned Revenue,2337,1382,1405,1502,1352,1359,1362,2418,3112,2112,2387,3066,4243,2546,-,1750
24,Other Current Liabilities,487.37,402.09,354,379.69,374.65,493.87,554.65,554.8,688.84,572.32,471.91,619.83,839,724.85,-,398.35
25,Total Current Liabilities,6531,5648,5132,4098,5144,5414,4320,5888,7260,5979,6801,7500,10821,10037,-,5748
26,Long-Term Debt,-,-,-,-,-,-,-,0.1,2.06,2.06,21.54,21.54,203.43,193.42,-,381.24
27,Long-Term Unearned Revenue,77.99,57.82,58.96,63.76,68.97,69.11,67.29,69.8,52.27,54.33,51.77,50.15,51.59,56.15,-,57.65
28,Long-Term Deferred Tax Liabilities,70.24,71.07,71.07,71.15,73.67,74.3,70.54,69.93,81.92,80.06,76.77,73.83,62.27,62.08,-,61.62
29,Other Long-Term Liabilities,9.43,9.49,9.54,9.6,15.26,15.32,15.33,15.39,15.4,14.87,14.95,15.19,19.67,15.16,-,15.07
30,Total Liabilities,6688,5786,5272,4242,5302,5573,4474,6044,7412,6130,6966,7661,11158,10364,-,6264
31,Common Stock,557.95,557.95,557.95,557.95,557.95,557.95,557.95,557.95,557.95,557.95,557.95,557.95,457.52,457.52,-,457.52
32,Additional Paid-In Capital,1419,1419,1419,1419,1419,1419,1419,1419,1419,1419,1419,1419,31.42,31.42,-,31.42
33,Retained Earnings,3212,3038,3309,3069,2840,2549,2765,2457,2178,1897,1971,1729,1415,1144,-,1177
34,Comprehensive Income & Other,122.21,118.77,117.2,114.15,119.22,119.46,117.66,113.79,114.23,114.12,113.94,113.78,114.64,114.27,-,114.24
35,Total Common Equity,5311,5134,5403,5161,4936,4645,4860,4548,4270,3988,4062,3820,2019,1747,1780,1780
36,Minority Interest,1008,961.86,1007,983.58,929.96,900.13,889.81,873.11,807.63,790.44,820,787.17,784.69,776.67,-,794.1
37,Shareholders' Equity,6319,6096,6410,6144,5866,5545,5750,5421,5077,4778,4882,4608,2804,2524,2574,2574
38,Total Liabilities & Equity,13007,11882,11682,10386,11168,11118,10223,11465,12489,10909,11849,12268,13961,12887,-,8838
39,Total Debt,1917,2115,1769,562.87,952.29,937.04,184.98,498.38,981,685.97,1481,205.09,3379,4805,1571,1571
40,Net Cash (Debt),-817.54,-1387,-703.4,-37.26,-232.96,-444.6,766.52,-8.09,1247,608.72,-762.08,1376,-1340,-3143,-917.37,-917.37
41,Net Cash Per Share,-1.51,-2.45,-1.26,-0.07,-0.42,-0.79,1.37,-0.01,2.21,1.10,-1.36,3.03,-2.90,-6.92,-2.00,-2.01
42,Filing Date Shares Outstanding,557.95,557.95,557.95,557.95,557.95,557.95,557.95,557.95,557.95,557.95,557.95,557.95,457.52,457.52,458.06,457.52
43,Total Common Shares Outstanding,557.95,557.95,557.95,557.95,557.95,557.95,557.95,557.95,557.95,557.95,557.95,557.95,457.52,457.52,458.06,457.52
44,Working Capital,1846,1597,1866,1520,1315,971.48,1264,897.18,667.79,404.05,596.79,336.61,-1012,-1218,-,-749.9
45,Book Value Per Share,9.52,9.20,9.68,9.25,8.85,8.33,8.71,8.15,7.65,7.15,7.28,6.85,4.41,3.82,3.89,3.89
46,Tangible Book Value,4856,4676,4942,4697,4470,4176,4389,4090,3784,3500,3572,3327,1506,1232,1271,1271
47,Tangible Book Value Per Share,8.70,8.38,8.86,8.42,8.01,7.48,7.87,7.33,6.78,6.27,6.40,5.96,3.29,2.69,2.78,2.78
48,Buildings,-,1391,-,1390,-,1399,-,1022,-,978.64,-,938.5,905.7,905.82,-,898.19
49,Machinery,-,5058,-,4895,-,4660,-,4192,-,4082,-,3873,3649,3607,-,3587
50,Construction In Progress,-,141.38,-,260.21,-,366.67,-,850.08,-,701.44,-,590.91,496.84,452.45,-,103.94
