,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020"
0,Market Capitalization,7086,7209,6991,7772,8481,8598,9256,9190,9028,9340,10121,10852,14094,-,-,-,-
1,Market Cap Growth,-16.16%,-16.16%,-24.47%,-15.42%,-6.06%,-7.95%,-8.54%,-15.32%,-35.95%,-,-,-,-,-,-,-,-
2,Enterprise Value,8911,9558,8702,8935,9644,9943,9380,8751,8589,9522,11703,12976,16218,-,-,-,-
3,Last Close Price,12.70,12.92,12.53,13.27,14.48,14.68,15.81,14.99,14.73,15.24,16.51,17.14,22.26,-,-,-,-
4,PE Ratio,9.26,9.45,7.94,7.85,8.01,7.76,8.43,8.14,8.50,8.51,9.30,9.86,13.95,-,-,-,-
5,Forward PE,8.82,8.23,5.75,5.82,6.58,6.67,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,0.17,0.17,0.17,0.18,0.19,0.19,0.19,0.17,0.16,0.15,0.15,0.17,0.24,-,-,-,-
7,PB Ratio,1.33,1.14,1.15,1.21,1.38,1.47,1.67,1.60,1.67,1.84,2.12,2.22,3.06,-,-,-,-
8,P/TBV Ratio,1.48,1.48,1.50,1.57,1.81,1.92,2.22,2.09,2.21,2.47,2.89,3.04,4.24,-,-,-,-
9,P/FCF Ratio,-,-28.46,-,-,12.42,-186.31,-,3.62,-,6.23,3.93,-,9.81,-,-,-,-
10,P/OCF Ratio,-,-142.31,-,-,8.34,26.69,-,3.15,-,4.68,3.23,-,7.25,-,-,-,-
