,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,15304,13100,12518,10819,13241,12881,14498,16659,18497,16617,9483,7570,11977,11145,15682,11113,9525,-,-,-,-
1,Market Cap Growth,1.70%,1.70%,-13.65%,-35.06%,-28.41%,-22.48%,52.88%,120.05%,54.43%,49.10%,-39.53%,-31.88%,25.75%,-,-,-,-,-,-,-,-
2,Enterprise Value,14411,12266,11349,9302,11745,11495,12937,15200,17037,15480,8251,6172,10579,9693,14087,10601,9012,-,-,-,-
3,Last Close Price,53.47,45.75,43.72,37.22,44.70,43.48,48.94,55.65,61.79,55.51,31.68,24.81,39.25,36.52,51.40,36.14,30.97,-,-,-,-
4,PE Ratio,23.62,19.98,18.53,16.33,21.83,19.07,20.95,26.30,31.45,38.73,39.00,39.08,59.58,58.87,72.78,51.69,52.09,-,-,-,-
5,Forward PE,19.71,15.77,12.00,9.89,12.88,13.69,16.44,21.87,54.77,41.41,50.22,41.96,74.23,41.46,56.21,43.20,-,-,-,-,-
6,PS Ratio,5.16,4.42,4.20,3.72,4.70,4.08,4.31,5.09,6.07,6.79,5.87,6.15,11.08,12.05,15.86,11.79,11.06,-,-,-,-
7,PB Ratio,4.88,4.15,4.22,3.50,4.20,4.31,5.22,5.78,6.72,6.68,4.23,3.39,5.55,5.33,7.61,5.20,4.59,-,-,-,-
8,P/TBV Ratio,4.46,4.46,4.47,3.69,4.43,4.53,5.52,6.09,7.08,7.07,4.43,3.50,5.74,5.51,7.88,5.38,4.75,-,-,-,-
