,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,681.75,638.3,777.79,1214,1130,662.43,915.13,826.6,753.51,1116,1182,1160,1198,1351,1545,1434,512.85,459.3,-,185.19
1,Trading Asset Securities,539.49,497.87,518.53,418.4,458.44,782.33,669.47,846.79,720.32,60.12,71.08,211.38,200.46,100.65,50.24,200.03,-,-,-,241.6
2,Cash & Short-Term Investments,1221,1136,1296,1632,1588,1445,1585,1673,1474,1176,1253,1372,1399,1452,1595,1634,512.85,459.3,426.8,426.8
3,Cash Growth,-23.12%,-21.36%,-18.19%,-2.45%,7.78%,22.86%,26.47%,21.99%,5.36%,-19.02%,-21.46%,-16.03%,172.76%,216.15%,273.80%,282.78%,-,-,-,-
4,Accounts Receivable,556.59,584.81,493.92,382.57,323.46,327.04,275.08,259.56,258.23,274.11,265.54,226.67,189.94,222.14,235.9,200.29,200.44,139.14,-,140
5,Other Receivables,4.1,2.5,1.9,1.39,1.16,1.18,1.43,2.29,4.95,4.09,1.38,0.79,0.83,1.37,1.1,0.94,0.3,1.12,-,1.35
6,Receivables,560.68,587.31,495.83,383.96,324.63,328.22,276.51,261.85,263.18,278.2,266.92,227.46,190.77,223.51,237,201.23,200.77,140.26,-,141.35
7,Inventory,568.91,493.4,412.35,423.69,421.89,461.84,501.5,532.41,555.3,600.49,390.13,289.87,229.65,163.47,131.76,108.3,107.34,98.73,-,98.14
8,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02,-,0.02,0.02,0.02,-,0.21
9,Other Current Assets,98.78,93.86,67.86,52.03,96.72,49.82,72.56,90.59,170.07,86.05,77.56,67.82,51.35,37.31,51.44,37.96,27.1,20.87,-,11.77
10,Total Current Assets,2450,2311,2272,2492,2432,2285,2435,2558,2462,2141,1988,1957,1871,1876,2016,1981,848.08,719.19,-,678.26
11,"Property, Plant & Equipment",950.04,858.6,748.32,697.23,603.03,512.28,456.25,422.1,382.1,344.83,309.58,342.62,267.88,260.06,241.68,234.58,218.67,209.02,-,190.87
12,Long-Term Investments,99.12,219.77,224.36,223.51,10.43,125.36,119.06,119.06,-,120.03,-,-,-,-,-,-,-,-,-,-
