,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,818.74,767.95,713.95,623.96,828.37,700.04,624,884.84,1051,594.27,396.3,394.72,194.86,234.12,246.69,233.81,261.98,184.75,164.74,192.54
1,Other Revenue,-18.38,18.38,-,39.3,-14.07,14.07,-,119.57,-30.2,30.2,-,10.71,-5.14,5.14,-,15.57,-8.56,8.56,-,0.88
2,Revenue,800.37,786.33,713.95,663.26,814.3,714.11,624,1004,1021,624.47,396.3,405.43,189.72,239.26,246.69,249.38,253.42,193.32,164.74,193.42
3,Revenue Growth (YoY),-1.71%,10.11%,14.41%,-33.97%,-20.25%,14.35%,57.46%,147.74%,438.19%,161.00%,60.65%,62.58%,-25.13%,23.76%,49.74%,28.93%,-,-,-,-
4,Cost of Revenue,506.49,503.47,460.52,419.42,509.22,471.71,429.71,659.84,710.35,458.13,300.23,296.05,134.53,159.71,161.47,176.29,154.25,121.81,111.27,131.45
5,Gross Profit,293.88,282.86,253.43,243.84,305.08,242.4,194.29,344.57,310.71,166.34,96.07,109.38,55.2,79.55,85.22,73.09,99.17,71.51,53.47,61.98
6,"Selling, General & Admin",63.04,55.01,60.47,41.97,53.64,58.79,63.09,50.68,68.72,55.45,45.32,26.94,19.04,24.74,19.99,3.41,22.3,18.83,16.28,18.48
7,Research & Development,31.48,39.9,20.42,28.69,31.53,33.37,24.83,30.98,27.98,24.95,20.43,10.02,9.12,11.12,7.06,7.5,6.36,5.98,3.43,5.62
8,Other Operating Expenses,-19.92,4.57,2.63,11.54,-4.1,4.35,3.57,7.49,1.19,6.15,-3.04,3.45,1.14,0.29,0.54,5.64,0.34,-0.75,1.31,1.56
9,Operating Expenses,74.15,105.75,88.33,84.6,82.31,98.12,90.1,89.47,97.06,89.33,67.29,42.91,28.37,36.33,29,15.68,29.85,21.6,23.77,25.67
10,Operating Income,219.73,177.11,165.1,159.24,222.78,144.28,104.19,255.1,213.65,77.01,28.78,66.47,26.83,43.22,56.22,57.41,69.32,49.91,29.7,36.31
11,Interest Expense,-4.4,-0.01,-0.91,-0.03,-0.05,-0.08,-0.06,-0.03,-0.07,-0.22,-0.03,-0.01,-0.01,-0.01,-,-,-,-,-,-0.02
12,Interest & Investment Income,1.8,4.58,5.34,9.22,6.4,7.41,6.67,7.78,5.75,9.74,6.75,11.7,8.54,8.71,12.29,5.15,2.47,2.32,2.29,1.22
13,Currency Exchange Gain (Loss),-7.45,7.45,-,5.35,-9.53,9.53,-,29.06,-16.18,16.18,-,-6.24,1.61,-1.61,-,-6.57,-1.03,1.03,-,-0.56
14,Other Non Operating Income (Expenses),5.91,-4.15,3.55,-9.53,8.79,4.2,-5.85,-40.32,35.26,5.42,-1.56,2.08,-2.14,-0.15,-0.57,3.77,-4.12,-0.18,-0.7,-0.11
15,EBT Excluding Unusual Items,215.59,184.98,173.08,164.25,228.39,165.34,104.96,251.59,238.41,108.14,33.93,74,34.82,50.17,67.93,59.75,66.64,53.07,31.29,36.85
16,Gain (Loss) on Sale of Investments,4.46,1.65,7.04,3.4,4.78,10.58,7.43,-1.1,3.7,2.16,29.17,1.2,0.84,0.87,0.5,0.03,-,-,-,1.6
17,Gain (Loss) on Sale of Assets,-1.64,0.05,0.04,0.02,-,-0.69,-0.01,-,-,0.04,-0.44,-,0,-,0,-0.01,-,-,-,-
18,Asset Writedown,0,-0,-,-0.03,0.03,-0.03,-,-0.22,0.07,-0.07,-,-0.49,0.1,-0.1,-,0.33,-0.33,-,-,-
19,Other Unusual Items,-6.34,0.17,0.1,10.84,0.09,-0.09,-,6.91,-0,0,-,1.19,0.05,-0.05,-,2.52,1.03,-1.03,-,0.07
20,Pretax Income,211.95,186.97,180.26,178.48,233.27,175.13,112.38,257.18,242.16,110.28,62.67,75.9,35.8,50.89,68.43,62.62,67.35,52.04,31.29,38.52
21,Income Tax Expense,29.82,20.32,26.74,21.85,31.73,21.87,14.77,32.71,24.77,15.73,11.14,10.48,4.2,5.73,9.56,8.93,9.59,7.35,4.56,5.18
22,Earnings From Continuing Operations,182.13,166.65,153.51,156.63,201.54,153.26,97.6,224.47,217.39,94.55,51.53,65.42,31.6,45.16,58.87,53.69,57.76,44.69,26.73,33.34
23,Minority Interest in Earnings,-0.95,-0.53,-0.73,-1.06,-0.58,-0.14,-0.77,0.06,0.08,0.05,-,-,-,-,-,-,-,-,-,-
24,Net Income,181.18,166.13,152.78,155.58,200.96,153.12,96.84,224.52,217.48,94.6,51.53,65.42,31.6,45.16,58.87,53.69,57.76,44.69,26.73,33.34
25,Net Income to Common,181.18,166.13,152.78,155.58,200.96,153.12,96.84,224.52,217.48,94.6,51.53,65.42,31.6,45.16,58.87,53.69,57.76,44.69,26.73,33.34
26,Net Income Growth,-9.84%,8.50%,57.77%,-30.71%,-7.60%,61.86%,87.93%,243.20%,588.17%,109.49%,-12.47%,21.84%,-45.28%,1.06%,120.22%,61.04%,-,-,-,-
27,Shares Outstanding (Basic),283,286,288,287,288,62,285,283,286,285,288,281,286,286,287,239,209,219,212,213
28,Shares Outstanding (Diluted),287,286,294,291,298,69,293,286,300,285,288,281,286,286,287,239,209,219,212,213
29,Shares Change (YoY),-3.44%,316.16%,0.12%,1.84%,-0.66%,-75.86%,1.88%,1.76%,4.71%,-0.37%,0.45%,17.50%,36.59%,30.58%,35.48%,12.49%,-,-,-,-
30,EPS (Basic),0.64,0.58,0.53,0.54,0.70,2.46,0.34,0.79,0.76,0.33,0.18,0.23,0.11,0.16,0.21,0.22,0.28,0.20,0.13,0.16
31,EPS (Diluted),0.63,0.58,0.52,0.53,0.68,2.23,0.33,0.78,0.73,0.33,0.18,0.23,0.11,0.16,0.21,0.22,0.28,0.20,0.13,0.16
32,EPS Growth,-6.63%,-73.93%,57.58%,-31.96%,-6.98%,570.47%,84.46%,237.26%,557.22%,110.27%,-12.86%,3.70%,-59.94%,-22.61%,62.55%,43.16%,-,-,-,-
33,Free Cash Flow,78.14,-48.04,-132.57,99.78,119.79,94.13,-64.49,154.98,316.18,23.6,-51.56,-24.38,-56.03,-26.95,-28.93,72.73,54.56,67,-9.75,30.99
34,Free Cash Flow Per Share,0.27,-0.17,-0.45,0.34,0.40,1.37,-0.22,0.54,1.06,0.08,-0.18,-0.09,-0.20,-0.09,-0.10,0.30,0.26,0.31,-0.05,0.15
35,Dividend Per Share,-,-,-,1.300,-,-,-,1.210,-,-,-,0.421,-,-,-,0.421,-,-,-,-
36,Dividend Growth,-,-,-,7.39%,-,-,-,187.46%,-,-,-,0%,-,-,-,-,-,-,-,-
37,Gross Margin,36.72%,35.97%,35.50%,36.76%,37.47%,33.94%,31.14%,34.31%,30.43%,26.64%,24.24%,26.98%,29.09%,33.25%,34.55%,29.31%,39.13%,36.99%,32.46%,32.04%
38,Operating Margin,27.45%,22.52%,23.13%,24.01%,27.36%,20.20%,16.70%,25.40%,20.92%,12.33%,7.26%,16.40%,14.14%,18.06%,22.79%,23.02%,27.36%,25.82%,18.03%,18.77%
