,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,6368541,370575,252291,204643,1635961,356980,953347,235133,1629030,881715,1240688,587408,4418041,150941,400774,235764,918450,640130,241938,416201,Upgrade
1,Revenue Growth (YoY),289.28%,3.81%,-73.54%,-12.97%,0.43%,-59.51%,-23.16%,-59.97%,-63.13%,484.14%,209.57%,149.15%,381.03%,-76.42%,65.65%,-43.35%,-24.80%,64.35%,-59.88%,25.26%,Upgrade
2,Cost of Revenue,3644053,242285,123724,118105,944163,207211,392561,75450,814629,523623,679332,337299,2872588,74550,284505,195648,668022,515126,103664,259138,Upgrade
3,Gross Profit,2724488,128290,128567,86538,691798,149769,560786,159683,814401,358092,561355,250109,1545453,76391,116268,40116,250428,125004,138274,157063,Upgrade
4,"Selling, General & Admin",897848,164166,183609,144544,354269,197358,250244,178413,385439,267360,308019,193716,602841,136659,119683,137687,171025,89235,97898,76314,Upgrade
5,Operating Expenses,897848,164166,183609,144544,354269,197358,250244,178413,385439,267360,308019,193716,602841,136659,119683,137687,171025,89235,97898,76314,Upgrade
6,Operating Income,1826640,-35876,-55042,-58006,337530,-47589,310543,-18730,428962,90732,253337,56393,942612,-60269,-3415,-97571,79403,35769,40376,80748,Upgrade
7,Interest Expense,-34274,-60008,-,-253589,-60314,-66351,-74521,-76534,-77789,-47986,-11085,-60740,-42984,-18628,-373701,-20604,-41739,-2484,-6067,-3095,Upgrade
8,Interest & Investment Income,39611,21433,180372,-,17601,32040,40538,45771,65993,29058,22355,23391,19084,371611,-,6738,12475,16352,46135,15467,Upgrade
