,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,12900023,14074502,15987504,15929787,16680103,14102094,13442811,12674650,10293352,11906489,11603082,13709252,21597817,24584749,14484104,11125556,9238303,7783730,6775873,5883862,4803152,Upgrade
1,Market Cap Growth,-0.20%,-0.20%,18.93%,25.68%,62.05%,18.44%,15.86%,-7.55%,-52.34%,-51.57%,-19.89%,23.22%,133.79%,215.85%,113.76%,89.09%,92.34%,17.86%,6.65%,-11.93%,-23.93%,Upgrade
2,Enterprise Value,18408466,22270655,23560606,23044379,23346883,20304672,18917744,18109647,15037152,16587809,16226832,18022298,25948836,30570617,19197339,15529677,11703999,9495581,8066007,6438786,4850446,Upgrade
3,Last Close Price,33500.00,36550.00,41550.00,41400.00,42860.60,36236.24,34604.86,32627.44,26331.83,30458.46,29457.86,34805.00,54159.16,61649.26,36059.27,33523.52,29726.64,25055.31,21533.34,18698.57,14963.26,Upgrade
4,PE Ratio,26.38,27.52,-,39.16,-,30.92,20.62,21.35,-,21.80,28.03,19.49,-,24.15,11.47,11.19,9.02,9.99,9.45,7.05,5.48,Upgrade
5,Forward PE,19.38,20.73,23.68,25.94,31.29,18.22,18.82,19.12,13.74,9.96,8.33,10.30,17.20,19.74,11.18,9.79,9.19,8.30,7.52,6.69,4.53,Upgrade
6,PS Ratio,1.79,1.96,6.49,6.50,5.29,4.43,4.23,3.43,2.58,2.74,1.63,2.14,3.89,4.72,8.49,5.07,4.54,3.51,2.69,2.59,1.83,Upgrade
7,PB Ratio,1.40,0.97,1.21,1.20,1.25,1.04,1.02,0.96,0.79,0.89,0.90,1.07,1.67,1.82,1.11,1.15,0.94,1.16,1.09,0.95,0.76,Upgrade
8,P/TBV Ratio,1.47,1.47,1.76,1.74,1.81,1.52,1.49,1.42,1.16,1.34,1.34,1.59,2.46,2.76,1.66,1.72,1.40,1.40,1.34,1.17,0.93,Upgrade
