,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+4 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+4 Quarters
0,Cash & Equivalents,68305,68305,33852,-,94957,25734,178187,-,79204,18443,-,59877,271690,258250,138759,-,45844,21419,48965,9545,Upgrade
1,Short-Term Investments,-,-,-,-,41000,41002,13102,-,41102,6102,-,6102,6103,856044,1231444,-,67850,-,-,-,Upgrade
2,Cash & Short-Term Investments,68305,68305,33852,135957,135957,66736,191290,120305,120305,24546,65979,65979,277792,1114294,1370204,113694,113694,21419,48965,9545,Upgrade
3,Cash Growth,-49.76%,2.35%,-82.30%,13.01%,13.01%,171.88%,189.92%,82.34%,-56.69%,-97.80%,-95.18%,-41.97%,144.33%,5102.32%,2698.33%,1091.19%,1003.07%,-,-,-,Upgrade
4,Accounts Receivable,123598,123598,51184,-,284399,517116,821836,-,1677351,2012336,-,2353526,1868572,2558137,1320781,-,1803867,556644,216567,118426,Upgrade
5,Other Receivables,1507880,1507880,1449126,-,1067158,864898,753702,-,404577,596224,-,247189,8358,422700,443237,-,78957,-,-,-,Upgrade
6,Receivables,1631477,1631477,1500309,-,1351557,1382014,1575538,-,2081928,2608561,-,2600715,1876930,3492295,2483962,-,2069311,685161,293042,118426,Upgrade
7,Inventory,-,-,-,-,77641,57817,53367,-,43172,37494,-,99743,95543,135907,127885,-,119667,45398,3553,-,Upgrade
8,Prepaid Expenses,5835,5835,8462,-,7147,10437,18485,-,13365,17206,-,4235,399.68,6827,3605,-,123942,119.18,58.9,53.03,Upgrade
