,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+4 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+4 Quarters
0,Revenue,233299,239261,251237,247554,338365,212349,735600,659762,687833,765638,1206061,1452507,2220038,2943305,1997226,1086597,665890,686438,306319,162446,Upgrade
1,Revenue Growth (YoY),-31.05%,12.67%,-65.85%,-62.48%,-50.81%,-72.27%,-39.01%,-54.58%,-69.02%,-73.99%,-39.61%,33.67%,233.39%,328.78%,552.01%,568.90%,73.58%,392.75%,56.40%,289.88%,Upgrade
2,Cost of Revenue,227847,233516,245080,241712,316175,235640,737940,643293,651724,733184,1128676,1310074,2083129,2795918,1868734,1018669,579884,619776,297775,147938,Upgrade
3,Gross Profit,5451,5745,6157,5842,22189,-23292,-2341,16468,36109,32455,77385,142433,136908,147387,128492,67928,86006,66662,8544,14508,Upgrade
4,"Selling, General & Admin",8281,7616,7581,6828,6515,115535,117951,63612,129128,16246,119953,12347,125867,24105,70268,64897,20998,3860,2529,2417,Upgrade
5,Operating Expenses,8281,7616,7581,6828,6515,115535,117951,63612,129128,16246,119953,12347,125867,24105,70268,64897,20998,3860,2529,2417,Upgrade
6,Operating Income,-2830,-1871,-1424,-985.85,15675,-138826,-120291,-47144,-93019,16209,-42568,130085,11042,123282,58224,3031,65007,62803,6015,12090,Upgrade
7,Interest Expense,-,-,-,-,-25.17,-,-17241,-18013,-21665,-21158,-25535,-32670,-101068,-93384,-82460,-86529,-19928,-426.4,-391.76,-405.72,Upgrade
8,Interest & Investment Income,25952,25791,35632,19888,47832,224075,13546,13128,227167,34767,241086,85741,168576,40858,61839,4944,915.13,7.09,4.09,4.32,Upgrade
9,Earnings From Equity Investments,-,-,-,-,17399,11053,14880,-1625,22527,27265,-810.81,-,-2797,-3936,-4842,-130.55,60.86,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),-9348,-933.7,9638,10576,-3127,5527,166258,129643,-6526,5384,-28139,7176,-124927,43739,31459,565054,1134209,7723,-456.4,-35.69,Upgrade
11,Pretax Income,13774,22986,43846,29478,77753,101829,57152,75988,128484,62467,144033,190332,-49175,110560,64220,486369,1180264,70107,5171,11653,Upgrade
12,Income Tax Expense,2844,4686,8850,5988,10299,39943,27418,25973,47894,23117,12308,31587,-69507,32975,34648,118754,160623,12244,1214,2422,Upgrade
13,Earnings From Continuing Operations,10930,18300,34996,23490,67454,61886,29734,50015,80590,39350,131726,158746,20332,77585,29573,367615,1019642,57862,3957,9231,Upgrade
14,Minority Interest in Earnings,-,-,-,-,-10321,-24406,-16067,-6888,-27298,-2435,18095,-50002,-4114,-12453,-340.82,-66131,-180029,-1212,-,-,Upgrade
15,Net Income,10930,18300,34996,23490,57133,37480,13667,43127,53292,36915,149821,108744,16218,65132,29232,301484,839613,56651,3957,9231,Upgrade
16,Net Income to Common,10930,18300,34996,23490,57133,37480,13667,43127,53292,36915,149821,108744,16218,65132,29232,301484,839613,56651,3957,9231,Upgrade
17,Net Income Growth,-80.87%,-51.17%,156.07%,-45.53%,7.21%,1.53%,-90.88%,-60.34%,228.60%,-43.32%,412.53%,-63.93%,-98.07%,14.97%,638.78%,3165.83%,5437.23%,397.18%,-78.88%,337.62%,Upgrade
18,Shares Outstanding (Basic),385,385,385,-,378,367,385,386,383,387,4454,385,372,385,383,385,59,59,58,59,Upgrade
19,Shares Outstanding (Diluted),385,385,385,-,378,367,385,424,383,423,4454,385,743,385,383,385,355,59,58,59,Upgrade
20,Shares Change (YoY),1.75%,4.78%,-0.12%,-,-1.25%,-13.13%,-91.35%,10.12%,-48.46%,9.81%,1063.57%,-0.14%,109.10%,549.67%,554.40%,549.64%,241.01%,-,-,293.62%,Upgrade
21,EPS (Basic),28.39,47.53,90.90,-,151.00,102.00,35.45,111.82,139.09,95.45,33.64,282.73,43.64,169.09,76.36,782.73,14160.91,955.48,67.64,155.70,Upgrade
22,EPS (Diluted),28.39,47.53,90.90,-,151.00,102.00,35.45,101.82,139.09,87.27,33.64,282.73,21.82,169.09,76.36,782.73,2361.82,955.48,67.64,155.70,Upgrade
23,EPS Growth,-81.20%,-53.40%,156.38%,-,8.56%,16.88%,5.41%,-63.99%,537.50%,-48.39%,-55.95%,-63.88%,-99.08%,-82.30%,12.89%,402.71%,1523.75%,-,-,11.18%,Upgrade
24,Free Cash Flow,21358,21358,-7860,-7860,249577,-270699,599023,599023,245104,-,3954959,174280,502027,3228166,-,-2902195,-130762,-28166,39433,45233,Upgrade
