,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,1740,1973,1433,2393,1415,3048,1652,2585,861.16
1,Revenue Growth (YoY),21.39%,-17.57%,1.26%,-21.50%,-14.32%,17.93%,91.81%,-,-
2,Cost of Revenue,972.96,1121,784.45,784.94,481.3,975.88,446.74,773.78,240.3
3,Gross Profit,766.76,852.11,648.67,1608,934.04,2073,1205,1811,620.86
4,"Selling, General & Admin",1064,1115,1214,1298,1171,1245,1735,850.48,1276
5,Research & Development,1892,1683,1783,1979,2035,1842,1772,1234,1219
6,Other Operating Expenses,480.31,-525.96,254.25,-778.45,380.36,-545.51,62.15,-312.52,-43.81
7,Operating Expenses,3437,4107,3252,4166,3586,3059,3569,2120,2626
8,Operating Income,-2670,-3255,-2603,-2558,-2652,-986.44,-2364,-308.37,-2005
9,Interest Expense,-85.86,-78.29,-68.37,-36.31,-19.13,-11.97,-21.79,-43.8,-68.71
10,Interest & Investment Income,104.76,167.28,167.92,126.85,131.07,82.69,97.64,76.98,95.01
11,Earnings From Equity Investments,-11.88,-10.78,-10.03,-1.52,-0.84,-36.85,-3.38,-4.02,-2.03
12,Currency Exchange Gain (Loss),-25.7,178.81,-246.65,-5.97,-447.47,69.36,63.07,392.69,-57.83
13,Other Non Operating Income (Expenses),247.65,6.91,12.57,9.73,11.2,8.4,5.13,52.25,-49.34
14,EBT Excluding Unusual Items,-2441,-2991,-2748,-2465,-2978,-874.81,-2224,165.72,-2088
15,Gain (Loss) on Sale of Investments,-5.36,-241.24,-517.32,-547.71,-344.45,-12472,-1566,-7002,-3393
16,Gain (Loss) on Sale of Assets,-34.95,-2.77,-1.73,-1.13,-0.26,-1.64,-3.55,-0.79,-0.82
17,Other Unusual Items,-,-2.37,-,3.3,-,-,-,1.53,-1.53
18,Pretax Income,-2481,-3237,-3267,-3011,-3322,-13349,-3793,-6836,-5483
19,Income Tax Expense,-3.99,114.72,-124.22,-125.52,-114.3,115.54,-80.04,-10.28,-150.39
20,Earnings From Continuing Operations,-2477,-3352,-3143,-2885,-3208,-13464,-3713,-6826,-5333
21,Minority Interest in Earnings,20.43,34.63,19.88,-2.14,50.34,26.68,10.28,-8.86,9.02
22,Net Income,-2457,-3317,-3123,-2887,-3158,-13437,-3703,-6834,-5324
23,Net Income to Common,-2457,-3317,-3123,-2887,-3158,-13437,-3703,-6834,-5324
24,Shares Outstanding (Basic),32441,32487,31958,31966,31898,10338,9404,9404,8842
25,Shares Outstanding (Diluted),32441,32487,31958,31966,31898,10338,9404,9404,8842
26,Shares Change (YoY),1.51%,1.63%,0.19%,209.21%,239.18%,9.93%,6.36%,-,-
27,EPS (Basic),-0.08,-0.10,-0.10,-0.09,-0.10,-1.30,-0.39,-0.73,-0.60
28,EPS (Diluted),-0.08,-0.10,-0.10,-0.09,-0.10,-1.30,-0.39,-0.73,-0.60
29,Free Cash Flow,-4174,-2095,-2496,-5129,-3045,-2349,-1209,-489.33,-1949
30,Free Cash Flow Per Share,-0.13,-0.06,-0.08,-0.16,-0.10,-0.23,-0.13,-0.05,-0.22
31,Operating Margin,-153.47%,-164.99%,-181.65%,-106.88%,-187.41%,-32.36%,-143.13%,-11.93%,-232.85%
32,Profit Margin,-141.22%,-168.16%,-217.90%,-120.64%,-223.10%,-440.80%,-224.15%,-264.39%,-618.21%
33,Free Cash Flow Margin,-239.92%,-106.20%,-174.14%,-214.34%,-215.17%,-77.07%,-73.20%,-18.93%,-226.35%
34,EBITDA,-2140,-2770,-2099,-2243,-2296,-725.95,-2151,-107.69,-1806
35,D&A For EBITDA,530.11,484.53,504.45,314.26,356.77,260.5,213.57,200.68,199.39
36,EBIT,-2670,-3255,-2603,-2558,-2652,-986.44,-2364,-308.37,-2005
