,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,63283,46388,38824,69281,74301,104878,183053,-,-,-
1,Market Cap Growth,-33.04%,-33.04%,-47.75%,-33.94%,-59.41%,-,-,-,-,-
2,Enterprise Value,58976,40726,30674,57798,59816,80346,223917,-,-,-
3,Last Close Price,1.71,1.32,1.16,2.07,2.22,3.13,5.50,-,-,-
4,PS Ratio,13.92,11.63,10.35,16.76,17.26,20.06,31.73,-,-,-
5,PB Ratio,2.46,1.90,1.52,2.40,2.27,2.88,4.66,-,-,-
6,P/TBV Ratio,1.92,1.92,1.54,2.43,2.30,2.91,4.71,-,-,-
7,EV/Sales Ratio,14.78,10.21,8.18,13.98,13.89,15.37,38.81,-,-,-
8,Debt / Equity Ratio,0.24,0.24,0.26,0.20,0.16,0.08,0.05,-2.30,-2.46,-
9,Earnings Yield,-9.80%,-13.37%,-18.27%,-9.37%,-9.20%,-18.54%,-11.49%,-,-,-
10,FCF Yield,-10.64%,-14.52%,-13.03%,-11.89%,-12.44%,-6.03%,-2.39%,-,-,-
11,Buyback Yield / Dilution,-1.57%,-1.51%,-1.63%,-0.19%,-209.21%,-239.18%,-9.93%,-6.36%,-,-
12,Total Shareholder Return,-1.57%,-1.51%,-1.63%,-0.19%,-209.21%,-239.18%,-9.93%,-6.36%,-,-
