,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,7627,9423,7153,7963,10374,16530,8926,11428,-
1,Short-Term Investments,1193,1100,4689,6213,4052,4991,7939,5890,-
2,Trading Asset Securities,724,521.81,1033,632.12,466.68,272.55,2186,-,-
3,Cash & Short-Term Investments,9544,11045,12875,14808,14892,21793,19051,17318,-
4,Cash Growth,-25.87%,-25.41%,-13.55%,-32.05%,-21.83%,25.84%,-,-,-
5,Accounts Receivable,3569,3754,4849,5277,4963,5201,3206,3369,-
6,Other Receivables,79.11,74.87,78.56,73.24,110.84,65.31,108.78,8700,-
7,Receivables,3649,3829,4949,5366,5085,5267,3315,12122,-
8,Inventory,1105,506.13,569.04,617.11,567.42,496.14,667.16,715.52,-
9,Prepaid Expenses,-,-,-,-,-,-,146.5,-,-
10,Restricted Cash,208.66,210.09,92.51,0.35,101.01,0.32,477.55,493.36,-
11,Other Current Assets,1723,1350,845.43,733.08,752.25,527.6,596.71,1077,-
12,Total Current Assets,16230,16940,19331,21524,21398,28084,24254,31726,-
13,"Property, Plant & Equipment",7581,7728,7776,7314,3819,3341,2505,2242,-
14,Long-Term Investments,6813,6663,6565,6731,9810,4338,4565,3807,-
15,Other Intangible Assets,251.68,325.68,326.81,332.89,280.01,224.59,93.49,108.03,-
16,Long-Term Accounts Receivable,19.74,46.28,241.46,313.79,442.53,327.2,222.48,130.23,-
17,Long-Term Deferred Tax Assets,743.73,725.44,817.6,689.7,586.08,457.2,538.86,450.28,-
18,Other Long-Term Assets,911.35,459.18,543.56,521.56,330,171.8,52.53,14.78,-
19,Total Assets,32550,32888,35601,37427,36667,36944,32232,38479,-
20,Accounts Payable,522.26,841.56,765.71,848.86,627.44,470.4,328.01,616.84,-
21,Accrued Expenses,367.92,470.36,452.84,639.92,429.37,680.38,246.34,460.68,-
22,Short-Term Debt,539.54,176.7,159.77,319.16,280.8,0.38,188.89,575.56,-
23,Current Portion of Long-Term Debt,89.72,17.73,11.22,2.3,1.53,-,23.53,1930,-
24,Current Portion of Leases,124.87,146.41,167.91,183,199.38,155.5,109.57,109.52,-
25,Current Income Taxes Payable,13.49,21.7,10.19,17.75,4.16,5.85,6.43,33.16,-
26,Current Unearned Revenue,439.99,379.33,262.5,328.21,268.05,343.26,138.54,244.05,-
27,Other Current Liabilities,1876,1234,1123,983.8,1061,1139,864.16,5853,-
28,Total Current Liabilities,3974,3287,2953,3323,2872,2795,1905,9822,-
29,Long-Term Debt,4658,5423,4764,3997,1830,1328,52446,48711,-
30,Long-Term Leases,109.02,145.29,199.16,105.23,186.18,228.8,134.45,184.11,-
31,Long-Term Unearned Revenue,295.54,330.31,333.65,382.15,212.07,177.8,405.07,358.87,-
32,Long-Term Deferred Tax Liabilities,6.21,10.38,8.89,9.59,46.99,43.32,10.41,7.61,-
33,Other Long-Term Liabilities,802.95,535.77,647.3,595.73,416.01,384.33,290.74,327.14,-
34,Total Liabilities,9846,9733,8905,8413,5564,4957,55193,59411,-
35,Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,0,0,-
36,Additional Paid-In Capital,73664,71740,71796,71318,70940,70156,2366,1058,-
37,Retained Earnings,-55091,-52634,-49317,-46194,-43307,-40149,-25415,-21713,-
38,Comprehensive Income & Other,4116,4053,4186,3846,3442,1886,-36.83,-413.32,-
39,Total Common Equity,22689,23159,26665,28970,31075,31893,-23086,-21068,-
40,Minority Interest,15.13,-3.95,30.96,43.64,28.31,94.57,125.41,135.69,-
41,Shareholders' Equity,22705,23155,26696,29014,31103,31987,-22961,-20933,-
42,Total Liabilities & Equity,32550,32888,35601,37427,36667,36944,32232,38479,-
43,Total Debt,5521,5910,5302,4607,2498,1712,52903,51510,-
44,Net Cash (Debt),4023,5136,7573,10201,12394,20080,-33852,-34192,-
45,Net Cash Growth,-46.88%,-49.65%,-38.89%,-49.20%,-,-,-,-,-
46,Net Cash Per Share,0.12,0.16,0.24,0.32,0.39,1.94,-3.60,-3.64,-
47,Filing Date Shares Outstanding,35142,33469,33469,33469,33507,33282,33282,11717,8842
48,Total Common Shares Outstanding,35142,33469,33469,33469,33507,33282,11717,10213,8842
49,Working Capital,12256,13653,16378,18201,18526,25289,22349,21904,-
50,Book Value Per Share,0.65,0.69,0.80,0.87,0.93,0.96,-1.97,-2.06,-
51,Tangible Book Value,22438,22834,26338,28637,30795,31668,-23180,-21176,-
52,Tangible Book Value Per Share,0.64,0.68,0.79,0.86,0.92,0.95,-1.98,-2.07,-
53,Buildings,4566,4567,4567,4561,1283,974.31,960.03,961.22,-
54,Machinery,5193,4862,4412,3489,2907,2008,1577,1284,-
55,Construction In Progress,134.32,126.67,150.33,439.68,351.31,805.86,344.17,132.36,-
56,Leasehold Improvements,-,412.07,368.31,236.22,230.05,216.96,216.96,197.33,-
