,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,4370,8704,4092,7744,4455,3869,4250,3814,1600,1885
1,Revenue Growth (YoY),6.79%,12.40%,-8.14%,100.13%,4.81%,1.46%,165.63%,102.37%,-68.29%,-52.06%
2,Cost of Revenue,3957,7740,3749,6999,4088,3430,3993,3626,1533,1810
3,Gross Profit,413.43,964.22,342.98,745.35,366.77,439.62,257.03,188.19,67.33,74.26
4,"Selling, General & Admin",83.53,74.86,97.51,76.98,89.81,59.9,84.7,54.14,57.94,21.66
5,Other Operating Expenses,-2.97,-,-,-,0.06,-0.18,1.12,-1.16,-0.86,-
6,Operating Expenses,80.57,74.86,76.01,76.98,89.87,59.71,85.82,52.99,52.11,26.63
7,Operating Income,332.86,889.35,266.97,668.37,276.9,379.9,171.21,135.21,15.22,47.63
8,Interest Expense,-105.82,-101.74,-90.49,-64.26,-51.69,-28.13,-19.15,-6.45,-0.73,-0.78
9,Interest & Investment Income,80.99,66.55,63.93,35.26,22.61,9.15,6.25,6.17,15.45,18.2
10,Earnings From Equity Investments,-,-,-,-,-,-,-,104.97,6.54,-
11,Currency Exchange Gain (Loss),-32.01,1.88,-2.48,-5.58,1.26,10.28,-0.21,-30.26,5.62,-0.13
12,Other Non Operating Income (Expenses),-2.81,-13.72,-4.54,-8.1,-3.23,-2,0.37,-0.37,-,-
13,EBT Excluding Unusual Items,273.21,842.32,233.39,625.67,245.85,369.21,158.48,209.27,42.11,64.92
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,405.99,-,-
15,Other Unusual Items,-,-,-,-,0.57,-,-,-,-,-
16,Pretax Income,273.21,842.32,233.39,625.67,246.42,369.21,158.48,615.26,42.11,64.92
17,Income Tax Expense,50.11,162.61,51.55,115.13,60.01,91.46,50.48,5.9,-6.8,7.71
18,Earnings From Continuing Operations,223.1,679.7,181.83,510.54,186.41,277.75,108,609.36,48.91,57.21
19,Minority Interest in Earnings,-12.71,-36.36,-40.01,-53.59,-30.49,-58.77,-20.94,6.41,-,-
20,Net Income,210.39,643.34,141.82,456.95,155.93,218.98,87.05,615.78,48.91,57.21
21,Net Income to Common,210.39,643.34,141.82,456.95,155.93,218.98,87.05,615.78,48.91,57.21
22,Net Income Growth,48.35%,40.79%,-9.05%,108.67%,79.12%,-64.44%,77.98%,976.37%,-74.03%,-56.20%
23,Shares Outstanding (Basic),692,692,692,692,692,692,692,692,692,692
24,Shares Outstanding (Diluted),692,692,692,692,692,692,692,692,692,692
25,Shares Change (YoY),-,-,-,-,-,-,-,-,-0.14%,33.63%
26,EPS (Basic),0.30,0.93,0.21,0.66,0.23,0.32,0.13,0.89,0.07,0.08
27,EPS (Diluted),0.30,0.93,0.21,0.66,0.23,0.32,0.13,0.89,0.07,0.08
28,EPS Growth,48.35%,40.79%,-9.05%,108.67%,79.12%,-64.44%,77.98%,976.38%,-73.99%,-67.22%
29,Free Cash Flow,-,400.23,123.22,378.55,-4.17,-403.38,222.35,-246.88,-27.05,-17.63
30,Free Cash Flow Per Share,-,0.58,0.18,0.55,-0.01,-0.58,0.32,-0.36,-0.04,-0.03
31,Dividend Per Share,0.310,0.150,-,-,-,-,-,-,-,-
32,Operating Margin,7.62%,10.22%,6.52%,8.63%,6.22%,9.82%,4.03%,3.55%,0.95%,2.53%
33,Profit Margin,4.81%,7.39%,3.47%,5.90%,3.50%,5.66%,2.05%,16.15%,3.06%,3.04%
34,Free Cash Flow Margin,-,4.60%,3.01%,4.89%,-0.09%,-10.42%,5.23%,-6.47%,-1.69%,-0.94%
35,EBITDA,352.98,909.75,286.25,689.61,297.21,400.09,191.57,150.45,17.44,49.03
36,D&A For EBITDA,20.12,20.4,19.28,21.24,20.3,20.19,20.36,15.24,2.21,1.39
37,EBIT,332.86,889.35,266.97,668.37,276.9,379.9,171.21,135.21,15.22,47.63
