,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Revenue,308.69,308.69,291.57,220.29,220.29,210.4
1,Revenue Growth (YoY),40.13%,46.72%,-,-,-,-
2,Cost of Revenue,146.23,146.23,140.6,85.19,85.19,85.81
3,Gross Profit,162.46,162.46,150.97,135.1,135.1,124.59
4,"Selling, General & Admin",199.56,199.56,229.69,119.33,119.33,114.48
5,Research & Development,73.73,73.73,79.59,59.69,59.69,57.18
6,Other Operating Expenses,0.53,0.53,-11.04,0.43,0.43,-2.02
7,Operating Expenses,273.83,273.83,298.24,179.45,179.45,169.64
8,Operating Income,-111.37,-111.37,-147.27,-44.35,-44.35,-45.05
9,Interest Expense,-5.24,-5.24,-4.04,-2.6,-2.6,-2.9
10,Interest & Investment Income,45.63,45.63,42.34,19.79,19.79,15.11
11,Earnings From Equity Investments,-101.35,-101.35,-194.46,-168.01,-168.01,-235.34
12,Currency Exchange Gain (Loss),6.38,6.38,9.11,7.76,7.76,-1.68
13,EBT Excluding Unusual Items,-165.95,-165.95,-294.32,-187.41,-187.41,-269.85
14,Gain (Loss) on Sale of Investments,-7.51,-7.51,247.63,-2.72,-2.72,5.79
15,Gain (Loss) on Sale of Assets,-0.04,-0.04,0.06,-,-,-
16,Pretax Income,-173.51,-173.51,-46.63,-190.12,-190.12,-264.07
17,Income Tax Expense,1.47,1.47,0.87,1.14,1.14,4.32
18,Earnings From Continuing Operations,-174.98,-174.98,-47.5,-191.27,-191.27,-268.39
19,Minority Interest in Earnings,-0.67,-0.67,-0.51,-0.33,-0.33,-0.04
20,Net Income,-175.65,-175.65,-48.01,-191.59,-191.59,-268.43
21,Net Income to Common,-175.65,-175.65,-48.01,-191.59,-191.59,-268.43
22,Shares Outstanding (Basic),1048,1048,1015,1015,1015,1015
23,Shares Outstanding (Diluted),1048,1048,1015,1015,1015,1015
24,Shares Change (YoY),3.29%,3.29%,-,-,-,-
25,EPS (Basic),-0.17,-0.17,-0.05,-0.19,-0.19,-0.26
26,EPS (Diluted),-0.17,-0.17,-0.05,-0.19,-0.19,-0.26
27,Free Cash Flow,-55.26,-55.26,47.98,26.41,26.41,8.73
28,Free Cash Flow Per Share,-0.05,-0.05,0.05,0.03,0.03,0.01
29,Gross Margin,52.63%,52.63%,51.78%,61.33%,61.33%,59.22%
30,Operating Margin,-36.08%,-36.08%,-50.51%,-20.13%,-20.13%,-21.41%
31,Profit Margin,-56.90%,-56.90%,-16.47%,-86.97%,-86.97%,-127.58%
32,Free Cash Flow Margin,-17.90%,-17.90%,16.46%,11.99%,11.99%,4.15%
33,EBITDA,-106.94,-106.94,-142.85,-39.9,-39.9,-40.39
34,EBITDA Margin,-34.64%,-34.64%,-48.99%,-18.11%,-18.11%,-19.20%
35,D&A For EBITDA,4.43,4.43,4.42,4.44,4.44,4.65
36,EBIT,-111.37,-111.37,-147.27,-44.35,-44.35,-45.05
37,EBIT Margin,-36.08%,-36.08%,-50.51%,-20.13%,-20.13%,-21.41%
