,Fiscal Quarter,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,575.59,575.59,189.84,-,-,145.5
1,Trading Asset Securities,282.69,282.69,192.32,-,-,188.57
2,Cash & Short-Term Investments,858.28,858.28,382.16,-,334.07,334.07
3,Cash Growth,156.92%,156.92%,-,-,-,-
4,Accounts Receivable,97.47,97.47,68.69,-,-,42.01
5,Other Receivables,16.36,16.36,16.78,-,-,311.66
6,Receivables,113.82,113.82,85.48,-,-,353.67
7,Inventory,0.66,0.66,0.67,-,-,0.69
8,Prepaid Expenses,19.44,19.44,-,-,-,-
9,Restricted Cash,-,-,0.88,-,-,0.01
10,Other Current Assets,10277,10277,9244,-,-,8784
11,Total Current Assets,11269,11269,9713,-,-,9473
12,"Property, Plant & Equipment",146.65,146.65,140.15,-,-,148.5
13,Long-Term Investments,204.19,204.19,413.97,-,-,331.89
14,Goodwill,3.65,3.65,3.65,-,-,3.65
15,Other Intangible Assets,13.73,13.73,13.54,-,-,15.37
16,Long-Term Deferred Tax Assets,23.27,23.27,17.81,-,-,4.69
17,Other Long-Term Assets,163.03,163.03,165.04,-,-,169.05
18,Total Assets,11824,11824,10467,-,-,10146
19,Accounts Payable,10168,10168,9159,-,-,8677
20,Accrued Expenses,80.88,80.88,155.35,-,-,49.4
21,Current Portion of Long-Term Debt,339.2,339.2,289.65,-,-,105.28
22,Current Portion of Leases,10.65,10.65,9.87,-,-,9.07
23,Current Income Taxes Payable,6.61,6.61,8.61,-,-,4.61
24,Current Unearned Revenue,10.34,10.34,12.65,-,-,9.6
25,Other Current Liabilities,103.6,103.6,73.67,-,-,54.72
26,Total Current Liabilities,10720,10720,9709,-,-,8910
27,Long-Term Debt,145.35,145.35,147.9,-,-,158.95
28,Long-Term Leases,11.19,11.19,7.6,-,-,4.9
29,Long-Term Unearned Revenue,12.64,12.64,9.48,-,-,11.82
30,Long-Term Deferred Tax Liabilities,0.02,0.02,0.17,-,-,0.09
31,Total Liabilities,10889,10889,9874,-,-,9086
32,Common Stock,1079,1079,1015,-,-,1015
33,Additional Paid-In Capital,2060,2060,1562,-,-,1562
34,Retained Earnings,-3031,-3031,-2680,-,-,-2024
35,Comprehensive Income & Other,820.73,820.73,692.73,-,-,505.76
36,Total Common Equity,929.02,929.02,589.3,-,1058,1058
37,Minority Interest,5.94,5.94,4.34,-,-,2.06
38,Shareholders' Equity,934.96,934.96,593.64,-,1060,1060
39,Total Liabilities & Equity,11824,11824,10467,-,-,10146
40,Total Debt,506.39,506.39,455.02,-,278.2,278.2
41,Net Cash (Debt),351.89,351.89,-72.86,-,55.88,55.88
42,Net Cash Growth,529.79%,529.79%,-,-,-,-
43,Net Cash Per Share,0.34,0.34,-0.07,-,0.06,0.06
44,Filing Date Shares Outstanding,1079,1079,1079,1015,1015,1015
45,Total Common Shares Outstanding,1079,1079,1015,1015,1015,1015
46,Working Capital,549.64,549.64,4.63,-,-,563.07
47,Book Value Per Share,0.86,0.86,0.58,-,1.04,1.04
48,Tangible Book Value,911.64,911.64,572.11,-,1039,1039
49,Tangible Book Value Per Share,0.84,0.84,0.56,-,1.02,1.02
50,Buildings,162.65,162.65,162.09,-,-,161.95
51,Machinery,97.04,97.04,91.9,-,-,91.14
52,Leasehold Improvements,3.17,3.17,0.46,-,-,0.46
