,Fiscal Quarter,Current,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,9550,10165,10186,-,-,-,-
1,Enterprise Value,9178,10250,10223,-,-,-,-
2,Last Close Price,8.85,9.42,9.44,-,-,-,-
3,PS Ratio,7.05,8.38,9.03,-,-,-,-
4,PB Ratio,9.57,10.12,10.05,-,-,-,-
5,P/TBV Ratio,10.38,10.38,10.31,-,-,-,-
6,EV/Sales Ratio,7.09,8.45,9.06,-,-,-,-
7,Debt / Equity Ratio,0.54,0.54,0.54,0.77,-,0.26,0.26
8,Debt / FCF Ratio,-,-,-,4.15,-,7.92,31.87
9,Asset Turnover,0.10,0.11,-,-,-,-,
10,Inventory Turnover,-,890.30,883.57,-,-,-,-
11,Quick Ratio,0.09,0.09,0.09,0.05,-,-,0.08
12,Current Ratio,1.05,1.05,1.05,1.00,-,-,1.06
13,Return on Equity (ROE),-74.86%,-91.58%,-,-,-72.14%,-,
14,Return on Assets (ROA),-2.35%,-2.50%,-,-,-,-,
15,Return on Capital (ROIC),-19.32%,-22.36%,-,-,-8.28%,-,
16,Earnings Yield,-7.02%,-6.25%,-6.46%,-,-,-,-
17,FCF Yield,-0.79%,-0.38%,0.48%,-,-,-,-
18,Buyback Yield / Dilution,-1.65%,-3.29%,-3.29%,-,-,-,-
19,Total Shareholder Return,-1.65%,-3.29%,-3.29%,-,-,-,-
