,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,1478,1016,1146,1031,2613,715.59,-,365.03,-,-,-,236.21,236.21
1,Trading Asset Securities,-,50.26,551.64,403.22,600.69,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,1528,1528,1567,1549,1632,2613,715.59,365.03,365.03,-,-,376.26,236.21,236.21
3,Cash Growth,-6.33%,-41.51%,119.03%,324.41%,347.02%,-,-,-2.98%,54.54%,-,-,-,-,-
4,Accounts Receivable,-,146.44,127.64,83.29,103.8,113.65,101.85,-,168.56,-,-,-,114.8,114.8
5,Other Receivables,-,0.75,0.53,0.52,0.43,0.97,0.99,-,0.98,-,-,-,0.55,0.55
6,Receivables,-,147.19,128.17,83.81,104.23,114.62,102.84,-,169.54,-,-,-,115.36,115.36
7,Inventory,-,833.11,859.92,808.93,716.26,543.84,268.42,-,281.31,-,-,-,79.94,79.94
8,Prepaid Expenses,-,-,-,-,-,-,5.13,-,4.57,-,-,-,1.19,1.19
9,Other Current Assets,-,101.91,166.26,390.4,411.13,390.92,272.06,-,202.18,-,-,-,70.14,70.14
10,Total Current Assets,-,2611,2722,2832,2863,3663,1364,-,1023,-,-,-,502.85,502.85
11,"Property, Plant & Equipment",-,199.84,204.66,211.4,218.21,219.57,225.81,-,227.12,-,-,-,101.3,101.3
12,Other Intangible Assets,-,13.48,16.19,19.13,28.22,35.16,43.2,-,53.41,-,-,-,43.93,43.93
13,Long-Term Deferred Charges,-,7.95,8.87,9.85,11.28,7.54,8.66,-,11.12,-,-,-,6.81,6.81
14,Other Long-Term Assets,-,23.83,23.67,23.76,23.79,30.61,25.89,-,2.47,-,-,-,61.6,61.6
15,Total Assets,-,2856,2975,3097,3145,3956,1668,-,1317,-,-,-,716.48,716.48
16,Accounts Payable,-,58.01,66.02,59.74,53.15,73.4,80.7,-,76.8,-,-,-,88.66,88.66
17,Accrued Expenses,-,43.4,27.37,15.17,46.25,3.56,3.63,-,40.14,-,-,-,3.12,3.12
18,Short-Term Debt,-,229.16,353.47,378.51,376.16,1080,913.66,-,690.8,-,-,-,100.03,100.03
19,Current Portion of Long-Term Debt,-,0.34,-,-,-,26.25,20.2,-,16.18,-,-,-,-,-
20,Current Portion of Leases,-,-,1.37,1.36,2.38,-,1.96,-,1.87,-,-,-,-,-
21,Current Income Taxes Payable,-,-,-,8.07,-,2.91,-,-,-,-,-,-,-,-
22,Current Unearned Revenue,-,168.39,161.35,220.62,242.36,239.97,130.06,-,4.06,-,-,-,15.36,15.36
23,Other Current Liabilities,-,28,26.2,29.08,33.88,47.75,21.33,-,6.96,-,-,-,22.65,22.65
24,Total Current Liabilities,-,527.29,635.78,712.53,754.17,1474,1172,-,836.82,-,-,-,229.83,229.83
25,Long-Term Debt,-,-,-,-,-,32.37,44.45,-,56.53,-,-,-,36.32,36.32
26,Long-Term Leases,-,-,-,0.17,0.17,-,1.04,-,2.05,-,-,-,-,-
27,Long-Term Unearned Revenue,-,10.98,10.83,12.8,21.54,25.95,46.47,-,51.72,-,-,-,48.5,48.5
28,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,7.18,-,-,-,12.99,12.99
29,Total Liabilities,-,538.27,646.61,725.5,775.88,1532,1263,-,954.29,-,-,-,327.64,327.64
30,Common Stock,-,410,410,410,410,410,360,-,360,-,-,-,360,360
